EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUSTRIA, KREMSMUENSTER (TAWES) (STAID: 11).
Blended and updated with sources: 102147 911012 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
102147,19790101,    0,    0
102147,19790102,    0,    0
102147,19790103,    0,    0
102147,19790104,    0,    0
102147,19790105,    0,    0
102147,19790106,    0,    0
102147,19790107,    0,    0
102147,19790108,    0,    0
102147,19790109,   16,    0
102147,19790110,    3,    0
102147,19790111,    7,    0
102147,19790112,   21,    0
102147,19790113,   12,    0
102147,19790114,    8,    0
102147,19790115,   20,    0
102147,19790116,   99,    0
102147,19790117,    0,    0
102147,19790118,    0,    0
102147,19790119,    0,    0
102147,19790120,   30,    0
102147,19790121,   50,    0
102147,19790122,    0,    0
102147,19790123,   10,    0
102147,19790124,  111,    0
102147,19790125,    0,    0
102147,19790126,    0,    0
102147,19790127,    0,    0
102147,19790128,   49,    0
102147,19790129,   17,    0
102147,19790130,   34,    0
102147,19790131,   16,    0
102147,19790201,    0,    0
102147,19790202,  118,    0
102147,19790203,    0,    0
102147,19790204,    0,    0
102147,19790205,   97,    0
102147,19790206,    9,    0
102147,19790207,   44,    0
102147,19790208,   26,    0
102147,19790209,   12,    0
102147,19790210,    8,    0
102147,19790211,    1,    0
102147,19790212,   14,    0
102147,19790213,    0,    0
102147,19790214,    0,    0
102147,19790215,   68,    0
102147,19790216,    0,    0
102147,19790217,   12,    0
102147,19790218,   24,    0
102147,19790219,    3,    0
102147,19790220,    0,    0
102147,19790221,    0,    0
102147,19790222,    0,    0
102147,19790223,    0,    0
102147,19790224,    8,    0
102147,19790225,   30,    0
102147,19790226,    0,    0
102147,19790227,    0,    0
102147,19790228,    0,    0
102147,19790301,    0,    0
102147,19790302,    0,    0
102147,19790303,    0,    0
102147,19790304,   16,    0
102147,19790305,    9,    0
102147,19790306,    0,    0
102147,19790307,   43,    0
102147,19790308,   15,    0
102147,19790309,   20,    0
102147,19790310,    0,    0
102147,19790311,  238,    0
102147,19790312,   94,    0
102147,19790313,   67,    0
102147,19790314,    0,    0
102147,19790315,    0,    0
102147,19790316,   54,    0
102147,19790317,    0,    0
102147,19790318,    0,    0
102147,19790319,    0,    0
102147,19790320,    0,    0
102147,19790321,    0,    0
102147,19790322,    0,    0
102147,19790323,   12,    0
102147,19790324,    0,    0
102147,19790325,    0,    0
102147,19790326,    0,    0
102147,19790327,   47,    0
102147,19790328,    2,    0
102147,19790329,  188,    0
102147,19790330,  241,    0
102147,19790331,   13,    0
102147,19790401,    1,    0
102147,19790402,    7,    0
102147,19790403,    0,    0
102147,19790404,   25,    0
102147,19790405,   84,    0
102147,19790406,  332,    0
102147,19790407,   82,    0
102147,19790408,    6,    0
102147,19790409,    0,    0
102147,19790410,    0,    0
102147,19790411,    0,    0
102147,19790412,    0,    0
102147,19790413,    0,    0
102147,19790414,    0,    0
102147,19790415,    0,    0
102147,19790416,    2,    0
102147,19790417,  183,    0
102147,19790418,   18,    0
102147,19790419,    0,    0
102147,19790420,    8,    0
102147,19790421,   63,    0
102147,19790422,    0,    0
102147,19790423,    0,    0
102147,19790424,   32,    0
102147,19790425,   58,    0
102147,19790426,   18,    0
102147,19790427,  249,    0
102147,19790428,   42,    0
102147,19790429,    0,    0
102147,19790430,   54,    0
102147,19790501,    3,    0
102147,19790502,  135,    0
102147,19790503,   20,    0
102147,19790504,    5,    0
102147,19790505,   31,    0
102147,19790506,    0,    0
102147,19790507,    0,    0
102147,19790508,    0,    0
102147,19790509,    0,    0
102147,19790510,    0,    0
102147,19790511,  169,    0
102147,19790512,  152,    0
102147,19790513,    0,    0
102147,19790514,    0,    0
102147,19790515,    0,    0
102147,19790516,    0,    0
102147,19790517,    0,    0
102147,19790518,    0,    0
102147,19790519,    0,    0
102147,19790520,    0,    0
102147,19790521,    0,    0
102147,19790522,    0,    0
102147,19790523,    0,    0
102147,19790524,    2,    0
102147,19790525,    0,    0
102147,19790526,    0,    0
102147,19790527,    0,    0
102147,19790528,    0,    0
102147,19790529,    0,    0
102147,19790530,    0,    0
102147,19790531,    0,    0
102147,19790601,    0,    0
102147,19790602,    0,    0
102147,19790603,    0,    0
102147,19790604,    5,    0
102147,19790605,   19,    0
102147,19790606,    0,    0
102147,19790607,    0,    0
102147,19790608,    8,    0
102147,19790609,    0,    0
102147,19790610,    0,    0
102147,19790611,   15,    0
102147,19790612,    0,    0
102147,19790613,  254,    0
102147,19790614,   18,    0
102147,19790615,   64,    0
102147,19790616,  158,    0
102147,19790617,  413,    0
102147,19790618,  428,    0
102147,19790619,  136,    0
102147,19790620,   61,    0
102147,19790621,    0,    0
102147,19790622,    0,    0
102147,19790623,    0,    0
102147,19790624,    0,    0
102147,19790625,   18,    0
102147,19790626,    0,    0
