EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CYPRUS, LARNACA (STAID: 23).
Blended and updated with sources: 100068 112127 917609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100068,19790101,    0,    0
100068,19790102,    5,    0
100068,19790103,    0,    0
100068,19790104,    0,    0
100068,19790105,    0,    0
100068,19790106,  105,    0
100068,19790107,  120,    0
100068,19790108,    0,    0
100068,19790109,    0,    0
100068,19790110,    0,    0
100068,19790111,    0,    0
100068,19790112,    0,    0
100068,19790113,    0,    0
100068,19790114,    0,    0
100068,19790115,   12,    0
100068,19790116,    0,    0
100068,19790117,    6,    0
100068,19790118,    0,    0
100068,19790119,    0,    0
100068,19790120,    0,    0
100068,19790121,    0,    0
100068,19790122,    0,    0
100068,19790123,    0,    0
100068,19790124,    4,    0
100068,19790125,    0,    0
100068,19790126,    0,    0
100068,19790127,    0,    0
100068,19790128,    0,    0
100068,19790129,    2,    0
100068,19790130,    0,    0
100068,19790131,    2,    0
100068,19790201,    0,    0
100068,19790202,    0,    0
100068,19790203,    0,    0
100068,19790204,    0,    0
100068,19790205,    3,    0
100068,19790206,   91,    0
100068,19790207,   74,    0
100068,19790208,   33,    0
100068,19790209,    0,    0
100068,19790210,    0,    0
100068,19790211,    0,    0
100068,19790212,    0,    0
100068,19790213,    0,    0
100068,19790214,    0,    0
100068,19790215,    0,    0
100068,19790216,    0,    0
100068,19790217,    0,    0
100068,19790218,    0,    0
100068,19790219,    0,    0
100068,19790220,    0,    0
100068,19790221,    0,    0
100068,19790222,    1,    0
100068,19790223,    0,    0
100068,19790224,    0,    0
100068,19790225,    0,    0
