EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DENMARK, HAMMER ODDE FYR (STAID: 106).
Blended and updated with sources: 117960 171526 906193 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
117960,19790101,   31,    0
117960,19790102,    5,    0
117960,19790103,   10,    0
117960,19790104,    6,    0
117960,19790105,    0,    0
117960,19790106,    0,    0
117960,19790107,    0,    0
117960,19790108,   55,    0
117960,19790109,   12,    0
117960,19790110,   43,    0
117960,19790111,    3,    0
117960,19790112,   15,    0
117960,19790113,   33,    0
117960,19790114,    6,    0
117960,19790115,    0,    0
117960,19790116,    2,    0
117960,19790117,    0,    0
117960,19790118,   10,    0
117960,19790119,    0,    0
117960,19790120,    0,    0
117960,19790121,    0,    0
117960,19790122,    0,    0
117960,19790123,    0,    0
117960,19790124,   20,    0
117960,19790125,   17,    0
117960,19790126,   12,    0
117960,19790127,    1,    0
117960,19790128,    0,    0
117960,19790129,    0,    0
117960,19790130,    0,    0
117960,19790131,    0,    0
117960,19790201,    2,    0
117960,19790202,   52,    0
117960,19790203,    0,    0
117960,19790204,    6,    0
117960,19790205,    0,    0
117960,19790206,    2,    0
117960,19790207,    0,    0
117960,19790208,   16,    0
117960,19790209,   26,    0
117960,19790210,    1,    0
117960,19790211,    0,    0
117960,19790212,    0,    0
117960,19790213,    0,    0
117960,19790214,    2,    0
117960,19790215,    4,    0
117960,19790216,    6,    0
117960,19790217,    0,    0
117960,19790218,   17,    0
117960,19790219,   65,    0
117960,19790220,    0,    0
117960,19790221,    0,    0
117960,19790222,    0,    0
117960,19790223,    0,    0
117960,19790224,    0,    0
117960,19790225,    0,    0
117960,19790226,    0,    0
117960,19790227,    0,    0
117960,19790228,    3,    0
117960,19790301,    0,    0
117960,19790302,   10,    0
117960,19790303,   35,    0
117960,19790304,   26,    0
117960,19790305,    4,    0
117960,19790306,    0,    0
117960,19790307,    0,    0
117960,19790308,    3,    0
117960,19790309,    0,    0
117960,19790310,   81,    0
117960,19790311,    0,    0
117960,19790312,   24,    0
117960,19790313,   42,    0
117960,19790314,   19,    0
117960,19790315,    0,    0
117960,19790316,    3,    0
117960,19790317,    6,    0
117960,19790318,   62,    0
117960,19790319,    4,    0
117960,19790320,    1,    0
117960,19790321,    0,    0
117960,19790322,    3,    0
117960,19790323,   10,    0
117960,19790324,   83,    0
117960,19790325,    3,    0
117960,19790326,   34,    0
117960,19790327,  114,    0
117960,19790328,    0,    0
117960,19790329,    0,    0
117960,19790330,    5,    0
117960,19790331,   34,    0
117960,19790401,   62,    0
117960,19790402,   25,    0
117960,19790403,    6,    0
117960,19790404,   66,    0
117960,19790405,    0,    0
117960,19790406,    0,    0
117960,19790407,    0,    0
117960,19790408,    0,    0
117960,19790409,    0,    0
117960,19790410,    0,    0
117960,19790411,    0,    0
117960,19790412,    0,    0
117960,19790413,    0,    0
117960,19790414,    0,    0
117960,19790415,    0,    0
117960,19790416,    0,    0
117960,19790417,    0,    0
117960,19790418,    0,    0
117960,19790419,    0,    0
117960,19790420,    0,    0
117960,19790421,    0,    0
117960,19790422,    0,    0
117960,19790423,    6,    0
117960,19790424,   18,    0
117960,19790425,   80,    0
117960,19790426,    0,    0
117960,19790427,    0,    0
117960,19790428,    0,    0
117960,19790429,    0,    0
117960,19790430,   98,    0
117960,19790501,   34,    0
117960,19790502,    9,    0
117960,19790503,   34,    0
117960,19790504,    3,    0
117960,19790505,   39,    0
117960,19790506,    4,    0
117960,19790507,    0,    0
117960,19790508,    0,    0
117960,19790509,    0,    0
117960,19790510,    0,    0
117960,19790511,    0,    0
117960,19790512,    0,    0
117960,19790513,    0,    0
117960,19790514,    0,    0
117960,19790515,    0,    0
