EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESTONIA, HELTERMAA (STAID: 11349).
Blended and updated with sources: 174995 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
174995,19790101,    6,    0
174995,19790102,    7,    0
174995,19790103,   20,    0
174995,19790104,    0,    0
174995,19790105,    1,    0
174995,19790106,   28,    0
174995,19790107,   21,    0
174995,19790108,    2,    0
174995,19790109,   59,    0
174995,19790110,    3,    0
174995,19790111,    0,    0
174995,19790112,   48,    0
174995,19790113,    1,    0
174995,19790114,   14,    0
174995,19790115,    1,    0
174995,19790116,    0,    0
174995,19790117,   32,    0
174995,19790118,    2,    0
174995,19790119,    3,    0
174995,19790120,    0,    0
174995,19790121,    3,    0
174995,19790122,    4,    0
174995,19790123,   21,    0
174995,19790124,   32,    0
174995,19790125,   16,    0
174995,19790126,   14,    0
174995,19790127,    3,    0
174995,19790128,    0,    0
174995,19790129,    0,    0
174995,19790130,   28,    0
174995,19790131,   41,    0
174995,19790201,   59,    0
174995,19790202,    6,    0
174995,19790203,   24,    0
174995,19790204,    0,    0
174995,19790205,    1,    0
174995,19790206,    0,    0
174995,19790207,   16,    0
174995,19790208,   20,    0
174995,19790209,    3,    0
174995,19790210,    0,    0
174995,19790211,    4,    0
174995,19790212,   37,    0
174995,19790213,    0,    0
174995,19790214,    0,    0
174995,19790215,    1,    0
174995,19790216,    0,    0
174995,19790217,    0,    0
174995,19790218,    0,    0
174995,19790219,    0,    0
174995,19790220,    0,    0
174995,19790221,    1,    0
174995,19790222,    0,    0
174995,19790223,    0,    0
174995,19790224,    0,    0
174995,19790225,    0,    0
174995,19790226,   21,    0
174995,19790227,    5,    0
174995,19790228,    0,    0
174995,19790301,   22,    0
174995,19790302,   31,    0
174995,19790303,    3,    0
174995,19790304,    0,    0
174995,19790305,    0,    0
174995,19790306,    0,    0
174995,19790307,   13,    0
174995,19790308,    0,    0
174995,19790309,    0,    0
174995,19790310,   22,    0
174995,19790311,    1,    0
174995,19790312,    7,    0
174995,19790313,   19,    0
174995,19790314,    2,    0
174995,19790315,    0,    0
174995,19790316,    0,    0
174995,19790317,    0,    0
174995,19790318,    0,    0
174995,19790319,    0,    0
174995,19790320,   54,    0
174995,19790321,   28,    0
174995,19790322,    0,    0
174995,19790323,   28,    0
174995,19790324,    0,    0
174995,19790325,    0,    0
174995,19790326,   32,    0
174995,19790327,    0,    0
174995,19790328,    1,    0
174995,19790329,    5,    0
174995,19790330,    4,    0
174995,19790331,   59,    0
174995,19790401,   37,    0
174995,19790402,   13,    0
174995,19790403,    0,    0
174995,19790404,    1,    0
174995,19790405,    0,    0
174995,19790406,    0,    0
174995,19790407,    0,    0
174995,19790408,    1,    0
174995,19790409,    1,    0
174995,19790410,    0,    0
174995,19790411,    0,    0
174995,19790412,    1,    0
174995,19790413,    6,    0
174995,19790414,    0,    0
174995,19790415,    0,    0
174995,19790416,    0,    0
174995,19790417,    0,    0
174995,19790418,    5,    0
174995,19790419,    9,    0
174995,19790420,    0,    0
174995,19790421,    1,    0
174995,19790422,    1,    0
174995,19790423,    4,    0
174995,19790424,    5,    0
174995,19790425,   45,    0
174995,19790426,    1,    0
174995,19790427,    0,    0
174995,19790428,    0,    0
174995,19790429,   33,    0
174995,19790430,    1,    0
174995,19790501,    3,    0
174995,19790502,   23,    0
174995,19790503,    0,    0
174995,19790504,    0,    0
174995,19790505,    0,    0
174995,19790506,   10,    0
174995,19790507,    1,    0
174995,19790508,    1,    0
174995,19790509,    0,    0
174995,19790510,   97,    0
174995,19790511,    1,    0
174995,19790512,    0,    0
174995,19790513,    0,    0
174995,19790514,    0,    0
174995,19790515,    0,    0
174995,19790516,    0,    0
174995,19790517,    0,    0
174995,19790518,   10,    0
174995,19790519,    0,    0
174995,19790520,    0,    0
174995,19790521,    0,    0
174995,19790522,   46,    0
174995,19790523,    1,    0
174995,19790524,    0,    0
174995,19790525,    4,    0
174995,19790526,    0,    0
174995,19790527,    0,    0
174995,19790528,    8,    0
174995,19790529,    0,    0
174995,19790530,    0,    0
174995,19790531,    0,    0
174995,19790601,    0,    0
174995,19790602,    0,    0
174995,19790603,    0,    0
174995,19790604,    0,    0
174995,19790605,    0,    0
174995,19790606,    0,    0
174995,19790607,    0,    0
174995,19790608,   12,    0
174995,19790609,   25,    0
174995,19790610,    0,    0
174995,19790611,    0,    0
174995,19790612,    0,    0
174995,19790613,   26,    0
174995,19790614,   64,    0
174995,19790615,    1,    0
174995,19790616,    0,    0
174995,19790617,    0,    0
174995,19790618,    0,    0
174995,19790619,    0,    0
174995,19790620,    0,    0
174995,19790621,    0,    0
174995,19790622,    0,    0
174995,19790623,    1,    0
174995,19790624,    0,    0
174995,19790625,    9,    0
174995,19790626,    0,    0
174995,19790627,   30,    0
174995,19790628,    1,    0
174995,19790629,    3,    0
174995,19790630,   35,    0
174995,19790701,   57,    0
174995,19790702,   56,    0
174995,19790703,   51,    0
174995,19790704,   29,    0
174995,19790705,    4,    0
174995,19790706,    5,    0
174995,19790707,    0,    0
174995,19790708,   33,    0
174995,19790709,  103,    0
174995,19790710,  175,    0
174995,19790711,    6,    0
174995,19790712,    0,    0
174995,19790713,    0,    0
174995,19790714,    0,    0
174995,19790715,    0,    0
174995,19790716,   72,    0
174995,19790717,   39,    0
174995,19790718,   30,    0
174995,19790719,   39,    0
174995,19790720,  160,    0
174995,19790721,   41,    0
174995,19790722,    7,    0
174995,19790723,   95,    0
174995,19790724,    0,    0
174995,19790725,   12,    0
174995,19790726,    1,    0
174995,19790727,   82,    0
174995,19790728,    0,    0
174995,19790729,    0,    0
174995,19790730,   30,    0
174995,19790731,   17,    0
174995,19790801,   32,    0
174995,19790802,    0,    0
174995,19790803,  121,    0
174995,19790804,    0,    0
174995,19790805,    0,    0
174995,19790806,    0,    0
174995,19790807,    0,    0
174995,19790808,    3,    0
174995,19790809,   22,    0
174995,19790810,    2,    0
174995,19790811,    0,    0
174995,19790812,  151,    0
174995,19790813,   15,    0
174995,19790814,    1,    0
174995,19790815,    1,    0
174995,19790816,    0,    0
174995,19790817,    0,    0
174995,19790818,    0,    0
174995,19790819,  159,    0
174995,19790820,    1,    0
174995,19790821,    1,    0
174995,19790822,    1,    0
174995,19790823,    0,    0
174995,19790824,   13,    0
174995,19790825,  173,    0
174995,19790826,    3,    0
174995,19790827,   37,    0
174995,19790828,   84,    0
174995,19790829,    2,    0
174995,19790830,    0,    0
174995,19790831,    0,    0
174995,19790901,   58,    0
174995,19790902,    0,    0
174995,19790903,    0,    0
174995,19790904,   90,    0
174995,19790905,    0,    0
174995,19790906,    0,    0
174995,19790907,    0,    0
174995,19790908,    1,    0
174995,19790909,   42,    0
174995,19790910,   22,    0
174995,19790911,    8,    0
174995,19790912,    4,    0
174995,19790913,   11,    0
174995,19790914,    4,    0
174995,19790915,   52,    0
174995,19790916,   34,    0
174995,19790917,   81,    0
174995,19790918,   27,    0
174995,19790919,    0,    0
174995,19790920,   24,    0
174995,19790921,    0,    0
174995,19790922,    1,    0
174995,19790923,    2,    0
174995,19790924,    1,    0
174995,19790925,    0,    0
174995,19790926,   63,    0
174995,19790927,    1,    0
174995,19790928,   29,    0
174995,19790929,   96,    0
174995,19790930,   46,    0
174995,19791001,    0,    0
174995,19791002,    1,    0
174995,19791003,   24,    0
174995,19791004,    3,    0
174995,19791005,    0,    0
174995,19791006,    0,    0
174995,19791007,    1,    0
174995,19791008,    1,    0
174995,19791009,    1,    0
174995,19791010,    0,    0
174995,19791011,    0,    0
174995,19791012,    5,    0
174995,19791013,    2,    0
174995,19791014,    0,    0
174995,19791015,    3,    0
174995,19791016,    8,    0
174995,19791017,    0,    0
174995,19791018,   14,    0
174995,19791019,   60,    0
174995,19791020,    8,    0
174995,19791021,    0,    0
174995,19791022,    0,    0
174995,19791023,    0,    0
174995,19791024,    0,    0
174995,19791025,    0,    0
174995,19791026,    0,    0
174995,19791027,    3,    0
174995,19791028,   13,    0
174995,19791029,    0,    0
174995,19791030,    0,    0
174995,19791031,    0,    0
174995,19791101,    0,    0
174995,19791102,    0,    0
174995,19791103,   16,    0
174995,19791104,   32,    0
174995,19791105,    0,    0
174995,19791106,   19,    0
174995,19791107,   58,    0
174995,19791108,  158,    0
174995,19791109,   25,    0
174995,19791110,   69,    0
174995,19791111,   24,    0
174995,19791112,    9,    0
174995,19791113,   45,    0
174995,19791114,   14,    0
174995,19791115,   19,    0
174995,19791116,   57,    0
174995,19791117,    1,    0
174995,19791118,   16,    0
174995,19791119,    4,    0
174995,19791120,    3,    0
174995,19791121,    1,    0
174995,19791122,    8,    0
174995,19791123,   49,    0
174995,19791124,    0,    0
174995,19791125,  185,    0
174995,19791126,  151,    0
174995,19791127,    2,    0
174995,19791128,   68,    0
174995,19791129,   60,    0
174995,19791130,    0,    0
174995,19791201,    2,    0
174995,19791202,   46,    0
174995,19791203,   17,    0
174995,19791204,   19,    0
174995,19791205,    9,    0
174995,19791206,    6,    0
174995,19791207,    0,    0
174995,19791208,   16,    0
174995,19791209,    6,    0
174995,19791210,    0,    0
174995,19791211,    2,    0
174995,19791212,    0,    0
174995,19791213,    0,    0
174995,19791214,   24,    0
174995,19791215,   21,    0
174995,19791216,   61,    0
174995,19791217,   52,    0
174995,19791218,   70,    0
174995,19791219,    2,    0
174995,19791220,    0,    0
174995,19791221,    6,    0
174995,19791222,    2,    0
174995,19791223,    0,    0
174995,19791224,    5,    0
174995,19791225,    8,    0
174995,19791226,    3,    0
174995,19791227,    0,    0
174995,19791228,    0,    0
