EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESTONIA, JOHVI (STAID: 11350).
Blended and updated with sources: 174999 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
174999,19790101,   19,    0
174999,19790102,   94,    0
174999,19790103,   37,    0
174999,19790104,    0,    0
174999,19790105,    1,    0
174999,19790106,    8,    0
174999,19790107,   16,    0
174999,19790108,    2,    0
174999,19790109,   45,    0
174999,19790110,   15,    0
174999,19790111,    4,    0
174999,19790112,   61,    0
174999,19790113,   21,    0
174999,19790114,    0,    0
174999,19790115,    0,    0
174999,19790116,    0,    0
174999,19790117,    5,    0
174999,19790118,    0,    0
174999,19790119,    4,    0
174999,19790120,    0,    0
174999,19790121,    2,    0
174999,19790122,    4,    0
174999,19790123,   10,    0
174999,19790124,   29,    0
174999,19790125,    0,    0
174999,19790126,   16,    0
174999,19790127,    8,    0
174999,19790128,    2,    0
174999,19790129,    0,    0
174999,19790130,   50,    0
174999,19790131,   24,    0
174999,19790201,   34,    0
174999,19790202,   65,    0
174999,19790203,   20,    0
174999,19790204,    3,    0
174999,19790205,    0,    0
174999,19790206,    1,    0
174999,19790207,    0,    0
174999,19790208,   57,    0
174999,19790209,   23,    0
174999,19790210,   22,    0
174999,19790211,   21,    0
174999,19790212,   13,    0
174999,19790213,    0,    0
174999,19790214,    0,    0
174999,19790215,    0,    0
174999,19790216,    0,    0
174999,19790217,    0,    0
174999,19790218,    1,    0
174999,19790219,    0,    0
174999,19790220,    0,    0
174999,19790221,    1,    0
174999,19790222,    0,    0
174999,19790223,    0,    0
174999,19790224,    6,    0
174999,19790225,    4,    0
174999,19790226,    1,    0
174999,19790227,    0,    0
174999,19790228,    1,    0
174999,19790301,    4,    0
174999,19790302,   13,    0
174999,19790303,    3,    0
174999,19790304,    0,    0
174999,19790305,    0,    0
174999,19790306,    0,    0
174999,19790307,    7,    0
174999,19790308,    3,    0
174999,19790309,    0,    0
174999,19790310,    3,    0
174999,19790311,   16,    0
174999,19790312,   24,    0
174999,19790313,   27,    0
174999,19790314,   22,    0
174999,19790315,    0,    0
174999,19790316,    2,    0
174999,19790317,    0,    0
174999,19790318,    0,    0
174999,19790319,    0,    0
174999,19790320,    0,    0
174999,19790321,   20,    0
174999,19790322,    3,    0
174999,19790323,   39,    0
174999,19790324,   12,    0
174999,19790325,    0,    0
174999,19790326,    0,    0
174999,19790327,    0,    0
174999,19790328,    0,    0
174999,19790329,    0,    0
174999,19790330,    3,    0
174999,19790331,   12,    0
174999,19790401,    4,    0
174999,19790402,    0,    0
174999,19790403,    3,    0
174999,19790404,    0,    0
174999,19790405,    0,    0
174999,19790406,    3,    0
174999,19790407,    1,    0
174999,19790408,    2,    0
174999,19790409,    1,    0
174999,19790410,    0,    0
174999,19790411,    0,    0
174999,19790412,    0,    0
174999,19790413,   26,    0
174999,19790414,   14,    0
174999,19790415,    0,    0
174999,19790416,    0,    0
174999,19790417,    3,    0
174999,19790418,    0,    0
174999,19790419,    0,    0
174999,19790420,    0,    0
174999,19790421,    0,    0
174999,19790422,    0,    0
174999,19790423,    6,    0
174999,19790424,    7,    0
174999,19790425,    8,    0
174999,19790426,  110,    0
174999,19790427,    0,    0
174999,19790428,    0,    0
174999,19790429,    0,    0
174999,19790430,   26,    0
174999,19790501,    0,    0
174999,19790502,   58,    0
174999,19790503,  127,    0
174999,19790504,   16,    0
174999,19790505,    0,    0
174999,19790506,  214,    0
174999,19790507,    1,    0
174999,19790508,    0,    0
174999,19790509,    8,    0
174999,19790510,   69,    0
174999,19790511,   21,    0
174999,19790512,    0,    0
174999,19790513,    0,    0
174999,19790514,    0,    0
174999,19790515,    0,    0
174999,19790516,    1,    0
174999,19790517,    0,    0
174999,19790518,   19,    0
174999,19790519,    8,    0
174999,19790520,    0,    0
174999,19790521,    0,    0
174999,19790522,   11,    0
174999,19790523,    0,    0
174999,19790524,    3,    0
174999,19790525,   39,    0
174999,19790526,    0,    0
174999,19790527,    0,    0
174999,19790528,    0,    0
174999,19790529,    0,    0
174999,19790530,    0,    0
174999,19790531,    0,    0
174999,19790601,    0,    0
174999,19790602,    0,    0
174999,19790603,    0,    0
174999,19790604,    0,    0
174999,19790605,    0,    0
174999,19790606,    0,    0
174999,19790607,    7,    0
174999,19790608,    4,    0
174999,19790609,    3,    0
174999,19790610,    0,    0
174999,19790611,    0,    0
174999,19790612,    0,    0
174999,19790613,   79,    0
174999,19790614,  112,    0
174999,19790615,    4,    0
174999,19790616,  185,    0
174999,19790617,   17,    0
174999,19790618,    0,    0
174999,19790619,    0,    0
174999,19790620,    0,    0
174999,19790621,    0,    0
174999,19790622,    0,    0
174999,19790623,    0,    0
174999,19790624,    0,    0
174999,19790625,    0,    0
174999,19790626,   23,    0
174999,19790627,    3,    0
174999,19790628,    3,    0
174999,19790629,  154,    0
174999,19790630,    4,    0
174999,19790701,   88,    0
174999,19790702,   73,    0
174999,19790703,    1,    0
174999,19790704,   50,    0
174999,19790705,   80,    0
174999,19790706,   17,    0
174999,19790707,   50,    0
174999,19790708,   11,    0
174999,19790709,   25,    0
174999,19790710,    0,    0
174999,19790711,    4,    0
174999,19790712,  108,    0
174999,19790713,   51,    0
174999,19790714,   55,    0
174999,19790715,   20,    0
174999,19790716,   14,    0
174999,19790717,    0,    0
174999,19790718,    8,    0
174999,19790719,  110,    0
174999,19790720,   11,    0
174999,19790721,    0,    0
174999,19790722,   13,    0
174999,19790723,  186,    0
174999,19790724,    4,    0
174999,19790725,    9,    0
174999,19790726,    5,    0
174999,19790727,    3,    0
174999,19790728,   51,    0
174999,19790729,   39,    0
174999,19790730,    0,    0
174999,19790731,    7,    0
174999,19790801,    6,    0
174999,19790802,    7,    0
174999,19790803,   43,    0
174999,19790804,    0,    0
174999,19790805,    0,    0
174999,19790806,    0,    0
174999,19790807,    0,    0
174999,19790808,    0,    0
174999,19790809,   32,    0
174999,19790810,    0,    0
174999,19790811,    0,    0
174999,19790812,    0,    0
174999,19790813,    0,    0
174999,19790814,    0,    0
174999,19790815,    0,    0
174999,19790816,    0,    0
174999,19790817,    0,    0
174999,19790818,    0,    0
174999,19790819,  218,    0
174999,19790820,  248,    0
174999,19790821,   32,    0
174999,19790822,    2,    0
174999,19790823,    0,    0
174999,19790824,   22,    0
174999,19790825,   39,    0
174999,19790826,    5,    0
174999,19790827,    0,    0
174999,19790828,    1,    0
174999,19790829,    1,    0
174999,19790830,    3,    0
174999,19790831,    1,    0
174999,19790901,   67,    0
174999,19790902,    1,    0
174999,19790903,    0,    0
174999,19790904,   81,    0
174999,19790905,   75,    0
174999,19790906,    0,    0
174999,19790907,    0,    0
174999,19790908,    1,    0
174999,19790909,    1,    0
174999,19790910,    6,    0
174999,19790911,  101,    0
174999,19790912,    0,    0
174999,19790913,    4,    0
174999,19790914,    0,    0
174999,19790915,   25,    0
174999,19790916,    4,    0
174999,19790917,  157,    0
174999,19790918,    4,    0
174999,19790919,   22,    0
174999,19790920,   77,    0
174999,19790921,    1,    0
174999,19790922,    0,    0
174999,19790923,    2,    0
174999,19790924,    2,    0
174999,19790925,    9,    0
174999,19790926,   31,    0
174999,19790927,   69,    0
174999,19790928,   19,    0
174999,19790929,  156,    0
174999,19790930,  117,    0
174999,19791001,   58,    0
174999,19791002,    2,    0
174999,19791003,   67,    0
174999,19791004,   16,    0
174999,19791005,    0,    0
174999,19791006,    0,    0
174999,19791007,    0,    0
174999,19791008,    0,    0
174999,19791009,    0,    0
174999,19791010,   38,    0
174999,19791011,    0,    0
174999,19791012,    2,    0
174999,19791013,    0,    0
174999,19791014,    0,    0
174999,19791015,    0,    0
174999,19791016,    3,    0
174999,19791017,    3,    0
174999,19791018,    9,    0
174999,19791019,   31,    0
174999,19791020,   53,    0
174999,19791021,   14,    0
174999,19791022,   71,    0
174999,19791023,    2,    0
174999,19791024,    0,    0
174999,19791025,    0,    0
174999,19791026,   15,    0
174999,19791027,    0,    0
174999,19791028,    0,    0
174999,19791029,    0,    0
174999,19791030,    0,    0
174999,19791031,    2,    0
174999,19791101,    4,    0
174999,19791102,    1,    0
174999,19791103,    0,    0
174999,19791104,   71,    0
174999,19791105,   41,    0
174999,19791106,    4,    0
174999,19791107,   34,    0
174999,19791108,   12,    0
174999,19791109,    0,    0
174999,19791110,    1,    0
174999,19791111,    0,    0
174999,19791112,   26,    0
174999,19791113,    5,    0
174999,19791114,   28,    0
174999,19791115,   28,    0
174999,19791116,   45,    0
174999,19791117,  110,    0
174999,19791118,    3,    0
174999,19791119,    5,    0
174999,19791120,    0,    0
174999,19791121,    1,    0
174999,19791122,   20,    0
174999,19791123,   40,    0
174999,19791124,   20,    0
174999,19791125,   44,    0
174999,19791126,  101,    0
174999,19791127,    1,    0
174999,19791128,    0,    0
174999,19791129,  105,    0
174999,19791130,    4,    0
174999,19791201,   15,    0
174999,19791202,   19,    0
174999,19791203,    6,    0
174999,19791204,   12,    0
174999,19791205,    3,    0
174999,19791206,  112,    0
174999,19791207,    9,    0
174999,19791208,    4,    0
174999,19791209,    8,    0
174999,19791210,    0,    0
174999,19791211,    9,    0
174999,19791212,    6,    0
174999,19791213,   14,    0
174999,19791214,   41,    0
174999,19791215,    7,    0
174999,19791216,   16,    0
174999,19791217,   65,    0
174999,19791218,   58,    0
174999,19791219,    5,    0
174999,19791220,    6,    0
174999,19791221,    0,    0
174999,19791222,    0,    0
174999,19791223,    0,    0
174999,19791224,    0,    0
174999,19791225,    2,    0
174999,19791226,    1,    0
174999,19791227,    0,    0
174999,19791228,    0,    0
174999,19791229,    0,    0
174999,19791230,   10,    0
174999,19791231,    4,    0
174999,19800101,   65,    0
174999,19800102,   40,    0
174999,19800103,   10,    0
174999,19800104,    5,    0
174999,19800105,    5,    0
174999,19800106,   10,    0
174999,19800107,    7,    0
174999,19800108,    0,    0
174999,19800109,    1,    0
174999,19800110,    0,    0
174999,19800111,    8,    0
174999,19800112,    0,    0
174999,19800113,    2,    0
174999,19800114,   14,    0
174999,19800115,   29,    0
174999,19800116,    6,    0
174999,19800117,    1,    0
174999,19800118,    0,    0
174999,19800119,    4,    0
174999,19800120,    0,    0
174999,19800121,    0,    0
174999,19800122,    8,    0
174999,19800123,   15,    0
174999,19800124,   23,    0
174999,19800125,   25,    0
174999,19800126,    8,    0
174999,19800127,    3,    0
174999,19800128,    0,    0
174999,19800129,    7,    0
174999,19800130,    0,    0
174999,19800131,   14,    0
174999,19800201,   64,    0
174999,19800202,   30,    0
174999,19800203,   18,    0
174999,19800204,    0,    0
174999,19800205,    9,    0
174999,19800206,   13,    0
174999,19800207,    4,    0
174999,19800208,    0,    0
174999,19800209,    0,    0
174999,19800210,    0,    0
174999,19800211,    0,    0
174999,19800212,    0,    0
174999,19800213,    3,    0
174999,19800214,   11,    0
174999,19800215,   13,    0
174999,19800216,    1,    0
174999,19800217,    2,    0
174999,19800218,    1,    0
174999,19800219,    6,    0
174999,19800220,    5,    0
174999,19800221,    2,    0
174999,19800222,    0,    0
174999,19800223,    0,    0
174999,19800224,    2,    0
174999,19800225,    0,    0
174999,19800226,    0,    0
174999,19800227,    2,    0
174999,19800228,   11,    0
174999,19800229,   26,    0
174999,19800301,   14,    0
174999,19800302,    1,    0
174999,19800303,    8,    0
174999,19800304,    5,    0
174999,19800305,   23,    0
174999,19800306,    0,    0
174999,19800307,    0,    0
174999,19800308,    0,    0
174999,19800309,    0,    0
174999,19800310,    0,    0
174999,19800311,    0,    0
174999,19800312,    0,    0
174999,19800313,    0,    0
174999,19800314,    0,    0
174999,19800315,    0,    0
174999,19800316,    2,    0
174999,19800317,    0,    0
174999,19800318,    0,    0
174999,19800319,    0,    0
174999,19800320,    0,    0
174999,19800321,    0,    0
174999,19800322,    0,    0
174999,19800323,    0,    0
174999,19800324,    0,    0
174999,19800325,    1,    0
174999,19800326,    6,    0
174999,19800327,    1,    0
174999,19800328,    0,    0
174999,19800329,    0,    0
174999,19800330,   28,    0
174999,19800331,    1,    0
174999,19800401,   13,    0
174999,19800402,    6,    0
174999,19800403,    0,    0
174999,19800404,    0,    0
174999,19800405,    0,    0
174999,19800406,    0,    0
174999,19800407,    0,    0
174999,19800408,    2,    0
174999,19800409,   21,    0
174999,19800410,   27,    0
174999,19800411,   55,    0
174999,19800412,    1,    0
174999,19800413,    0,    0
174999,19800414,    0,    0
174999,19800415,    5,    0
174999,19800416,    0,    0
174999,19800417,    7,    0
174999,19800418,   44,    0
174999,19800419,   60,    0
174999,19800420,    8,    0
174999,19800421,    0,    0
174999,19800422,    0,    0
174999,19800423,    0,    0
174999,19800424,    1,    0
174999,19800425,    3,    0
174999,19800426,    1,    0
174999,19800427,   47,    0
174999,19800428,    1,    0
174999,19800429,    0,    0
174999,19800430,   26,    0
174999,19800501,    0,    0
174999,19800502,    0,    0
174999,19800503,    0,    0
174999,19800504,   22,    0
174999,19800505,    0,    0
174999,19800506,    0,    0
174999,19800507,    6,    0
174999,19800508,    4,    0
174999,19800509,    0,    0
174999,19800510,    0,    0
174999,19800511,    0,    0
174999,19800512,    0,    0
174999,19800513,    0,    0
174999,19800514,    0,    0
174999,19800515,    8,    0
174999,19800516,    0,    0
174999,19800517,    3,    0
174999,19800518,   60,    0
174999,19800519,    4,    0
174999,19800520,   25,    0
174999,19800521,    9,    0
174999,19800522,   23,    0
174999,19800523,  101,    0
174999,19800524,   21,    0
174999,19800525,   46,    0
174999,19800526,   48,    0
174999,19800527,    0,    0
174999,19800528,    0,    0
174999,19800529,   39,    0
174999,19800530,    1,    0
174999,19800531,    0,    0
174999,19800601,    3,    0
174999,19800602,    0,    0
174999,19800603,    0,    0
174999,19800604,    0,    0
174999,19800605,    0,    0
174999,19800606,    0,    0
174999,19800607,    0,    0
174999,19800608,    0,    0
174999,19800609,   13,    0
174999,19800610,    0,    0
174999,19800611,    1,    0
174999,19800612,    0,    0
174999,19800613,    0,    0
174999,19800614,    0,    0
174999,19800615,    0,    0
174999,19800616,    0,    0
174999,19800617,    5,    0
174999,19800618,    0,    0
174999,19800619,    0,    0
174999,19800620,   14,    0
174999,19800621,    1,    0
174999,19800622,   24,    0
174999,19800623,    0,    0
174999,19800624,  313,    0
174999,19800625,    1,    0
174999,19800626,    8,    0
174999,19800627,    0,    0
174999,19800628,    0,    0
174999,19800629,    0,    0
174999,19800630,    0,    0
174999,19800701,    0,    0
174999,19800702,    0,    0
174999,19800703,    1,    0
174999,19800704,    0,    0
174999,19800705,    0,    0
174999,19800706,    0,    0
174999,19800707,  127,    0
174999,19800708,   55,    0
174999,19800709,    0,    0
174999,19800710,  315,    0
174999,19800711,    3,    0
174999,19800712,    4,    0
174999,19800713,    0,    0
174999,19800714,    0,    0
174999,19800715,    0,    0
174999,19800716,  291,    0
174999,19800717,  134,    0
174999,19800718,   58,    0
174999,19800719,    3,    0
174999,19800720,    7,    0
174999,19800721,   67,    0
174999,19800722,    9,    0
174999,19800723,    0,    0
174999,19800724,    0,    0
174999,19800725,    0,    0
174999,19800726,    0,    0
174999,19800727,    0,    0
174999,19800728,    0,    0
174999,19800729,    0,    0
174999,19800730,    0,    0
174999,19800731,    0,    0
174999,19800801,    0,    0
174999,19800802,  105,    0
174999,19800803,    1,    0
174999,19800804,   75,    0
174999,19800805,    7,    0
174999,19800806,   33,    0
174999,19800807,   16,    0
174999,19800808,    9,    0
174999,19800809,    6,    0
174999,19800810,    6,    0
174999,19800811,   22,    0
174999,19800812,    0,    0
174999,19800813,    0,    0
174999,19800814,    3,    0
174999,19800815,    0,    0
174999,19800816,    0,    0
174999,19800817,    0,    0
174999,19800818,    0,    0
174999,19800819,    1,    0
