EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESTONIA, NARVA (STAID: 11357).
Blended and updated with sources: 175027 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
175027,19790101,    9,    0
175027,19790102,   80,    0
175027,19790103,   22,    0
175027,19790104,    0,    0
175027,19790105,    0,    0
175027,19790106,   11,    0
175027,19790107,   21,    0
175027,19790108,    3,    0
175027,19790109,   25,    0
175027,19790110,   14,    0
175027,19790111,    0,    0
175027,19790112,    7,    0
175027,19790113,   35,    0
175027,19790114,    0,    0
175027,19790115,    0,    0
175027,19790116,    0,    0
175027,19790117,    7,    0
175027,19790118,    2,    0
175027,19790119,    0,    0
175027,19790120,    0,    0
175027,19790121,    1,    0
175027,19790122,    5,    0
175027,19790123,    4,    0
175027,19790124,   20,    0
175027,19790125,    0,    0
175027,19790126,    7,    0
175027,19790127,    6,    0
175027,19790128,    0,    0
175027,19790129,    0,    0
175027,19790130,   15,    0
175027,19790131,   13,    0
175027,19790201,    8,    0
175027,19790202,   67,    0
175027,19790203,   29,    0
175027,19790204,   13,    0
175027,19790205,    2,    0
175027,19790206,    2,    0
175027,19790207,    2,    0
175027,19790208,   65,    0
175027,19790209,   45,    0
175027,19790210,   23,    0
175027,19790211,   18,    0
175027,19790212,    5,    0
175027,19790213,    0,    0
175027,19790214,    0,    0
175027,19790215,    0,    0
175027,19790216,    0,    0
175027,19790217,    1,    0
175027,19790218,    2,    0
175027,19790219,    1,    0
175027,19790220,    0,    0
175027,19790221,    0,    0
175027,19790222,    1,    0
175027,19790223,    0,    0
175027,19790224,    0,    0
175027,19790225,    0,    0
175027,19790226,    3,    0
175027,19790227,    0,    0
175027,19790228,    6,    0
175027,19790301,    6,    0
175027,19790302,   17,    0
175027,19790303,    0,    0
175027,19790304,    0,    0
175027,19790305,    0,    0
175027,19790306,    0,    0
175027,19790307,    0,    0
175027,19790308,    3,    0
175027,19790309,    0,    0
175027,19790310,    0,    0
175027,19790311,    4,    0
175027,19790312,   10,    0
175027,19790313,    9,    0
175027,19790314,    6,    0
175027,19790315,    0,    0
175027,19790316,    0,    0
175027,19790317,    0,    0
175027,19790318,    0,    0
175027,19790319,    0,    0
175027,19790320,    0,    0
175027,19790321,   18,    0
175027,19790322,    1,    0
175027,19790323,   29,    0
175027,19790324,    7,    0
175027,19790325,    0,    0
175027,19790326,    0,    0
175027,19790327,    0,    0
175027,19790328,    0,    0
175027,19790329,    0,    0
175027,19790330,    0,    0
175027,19790331,    6,    0
175027,19790401,    0,    0
175027,19790402,    1,    0
175027,19790403,    1,    0
175027,19790404,    0,    0
175027,19790405,    0,    0
175027,19790406,    0,    0
175027,19790407,    0,    0
175027,19790408,    3,    0
175027,19790409,    0,    0
175027,19790410,    0,    0
175027,19790411,    0,    0
175027,19790412,    0,    0
175027,19790413,   21,    0
175027,19790414,   20,    0
175027,19790415,    0,    0
175027,19790416,    0,    0
175027,19790417,    0,    0
175027,19790418,    0,    0
175027,19790419,    0,    0
175027,19790420,    0,    0
175027,19790421,    0,    0
175027,19790422,    0,    0
175027,19790423,   19,    0
175027,19790424,   11,    0
175027,19790425,    8,    0
175027,19790426,  113,    0
175027,19790427,    0,    0
175027,19790428,    0,    0
175027,19790429,    0,    0
175027,19790430,   20,    0
175027,19790501,    7,    0
175027,19790502,   63,    0
175027,19790503,  170,    0
175027,19790504,   33,    0
175027,19790505,    0,    0
175027,19790506,  197,    0
175027,19790507,    0,    0
175027,19790508,    0,    0
175027,19790509,   28,    0
175027,19790510,  118,    0
175027,19790511,   28,    0
175027,19790512,    0,    0
175027,19790513,    0,    0
175027,19790514,    0,    0
175027,19790515,    0,    0
175027,19790516,    0,    0
175027,19790517,    0,    0
175027,19790518,   28,    0
175027,19790519,   16,    0
175027,19790520,    0,    0
175027,19790521,    0,    0
175027,19790522,    0,    0
175027,19790523,    1,    0
175027,19790524,    0,    0
175027,19790525,    0,    0
175027,19790526,    0,    0
175027,19790527,  211,    0
175027,19790528,    0,    0
175027,19790529,    0,    0
175027,19790530,    0,    0
175027,19790531,    0,    0
175027,19790601,    0,    0
175027,19790602,    0,    0
175027,19790603,    0,    0
175027,19790604,    0,    0
175027,19790605,    0,    0
175027,19790606,    1,    0
175027,19790607,    3,    0
175027,19790608,    0,    0
175027,19790609,    1,    0
175027,19790610,    0,    0
175027,19790611,    0,    0
175027,19790612,    0,    0
175027,19790613,   14,    0
175027,19790614,   69,    0
175027,19790615,    0,    0
175027,19790616,  107,    0
175027,19790617,   22,    0
175027,19790618,    0,    0
175027,19790619,    0,    0
175027,19790620,    0,    0
175027,19790621,    0,    0
175027,19790622,    0,    0
175027,19790623,    0,    0
175027,19790624,    0,    0
175027,19790625,    0,    0
175027,19790626,   13,    0
175027,19790627,    0,    0
175027,19790628,    1,    0
175027,19790629,  143,    0
175027,19790630,   19,    0
175027,19790701,   60,    0
175027,19790702,   16,    0
175027,19790703,   26,    0
175027,19790704,   91,    0
175027,19790705,   32,    0
175027,19790706,  127,    0
175027,19790707,   11,    0
175027,19790708,    5,    0
175027,19790709,   76,    0
175027,19790710,    0,    0
175027,19790711,    0,    0
175027,19790712,   49,    0
175027,19790713,  163,    0
175027,19790714,  361,    0
175027,19790715,    8,    0
175027,19790716,   17,    0
175027,19790717,    0,    0
175027,19790718,   26,    0
175027,19790719,  172,    0
175027,19790720,   17,    0
175027,19790721,    7,    0
175027,19790722,    0,    0
175027,19790723,   35,    0
175027,19790724,   31,    0
175027,19790725,   17,    0
175027,19790726,    0,    0
175027,19790727,  267,    0
175027,19790728,   19,    0
175027,19790729,    1,    0
175027,19790730,    0,    0
175027,19790731,   27,    0
175027,19790801,   16,    0
175027,19790802,    3,    0
175027,19790803,   28,    0
175027,19790804,    0,    0
175027,19790805,   66,    0
175027,19790806,    0,    0
175027,19790807,    0,    0
175027,19790808,    0,    0
175027,19790809,   11,    0
175027,19790810,    0,    0
175027,19790811,    0,    0
175027,19790812,    0,    0
175027,19790813,    3,    0
175027,19790814,   13,    0
175027,19790815,    0,    0
175027,19790816,    0,    0
175027,19790817,    0,    0
175027,19790818,    0,    0
175027,19790819,   95,    0
175027,19790820,  166,    0
175027,19790821,  158,    0
175027,19790822,    0,    0
175027,19790823,    0,    0
175027,19790824,   37,    0
175027,19790825,   42,    0
175027,19790826,    4,    0
175027,19790827,    0,    0
175027,19790828,    0,    0
175027,19790829,    0,    0
175027,19790830,   41,    0
175027,19790831,    0,    0
175027,19790901,   56,    0
175027,19790902,    0,    0
175027,19790903,    0,    0
175027,19790904,   27,    0
175027,19790905,   75,    0
175027,19790906,    0,    0
175027,19790907,    0,    0
175027,19790908,    1,    0
175027,19790909,    1,    0
175027,19790910,   15,    0
175027,19790911,  135,    0
175027,19790912,    0,    0
175027,19790913,    3,    0
175027,19790914,    1,    0
175027,19790915,   31,    0
175027,19790916,   44,    0
175027,19790917,  194,    0
175027,19790918,   10,    0
175027,19790919,    9,    0
175027,19790920,   60,    0
175027,19790921,    0,    0
175027,19790922,    0,    0
175027,19790923,    1,    0
175027,19790924,    0,    0
175027,19790925,    7,    0
175027,19790926,   38,    0
175027,19790927,   22,    0
175027,19790928,   18,    0
175027,19790929,   70,    0
175027,19790930,   20,    0
175027,19791001,    1,    0
175027,19791002,   18,    0
175027,19791003,  147,    0
175027,19791004,   34,    0
175027,19791005,    0,    0
175027,19791006,    0,    0
175027,19791007,    0,    0
175027,19791008,    0,    0
175027,19791009,    8,    0
175027,19791010,   27,    0
175027,19791011,    0,    0
175027,19791012,    1,    0
175027,19791013,    0,    0
175027,19791014,    0,    0
175027,19791015,    0,    0
175027,19791016,    4,    0
175027,19791017,    1,    0
175027,19791018,   10,    0
175027,19791019,   48,    0
175027,19791020,   58,    0
175027,19791021,   17,    0
175027,19791022,   73,    0
175027,19791023,    0,    0
175027,19791024,    0,    0
175027,19791025,    0,    0
175027,19791026,    0,    0
175027,19791027,    0,    0
175027,19791028,    0,    0
175027,19791029,    0,    0
175027,19791030,    0,    0
175027,19791031,    3,    0
175027,19791101,   11,    0
175027,19791102,    0,    0
175027,19791103,    0,    0
175027,19791104,   72,    0
175027,19791105,   35,    0
175027,19791106,    3,    0
175027,19791107,   44,    0
175027,19791108,    0,    0
175027,19791109,    0,    0
175027,19791110,    3,    0
175027,19791111,    0,    0
175027,19791112,   22,    0
175027,19791113,    9,    0
175027,19791114,   31,    0
175027,19791115,   32,    0
175027,19791116,   52,    0
175027,19791117,  137,    0
175027,19791118,    0,    0
175027,19791119,    1,    0
175027,19791120,    0,    0
175027,19791121,    0,    0
175027,19791122,   29,    0
175027,19791123,   32,    0
175027,19791124,   20,    0
175027,19791125,   51,    0
175027,19791126,  109,    0
175027,19791127,   10,    0
175027,19791128,    0,    0
175027,19791129,   58,    0
175027,19791130,    5,    0
175027,19791201,   30,    0
175027,19791202,   14,    0
175027,19791203,   28,    0
175027,19791204,   17,    0
175027,19791205,    0,    0
175027,19791206,   63,    0
175027,19791207,    4,    0
175027,19791208,    5,    0
175027,19791209,   20,    0
175027,19791210,    1,    0
175027,19791211,    0,    0
175027,19791212,    0,    0
175027,19791213,   10,    0
175027,19791214,   18,    0
175027,19791215,    5,    0
175027,19791216,   42,    0
175027,19791217,   81,    0
175027,19791218,   33,    0
175027,19791219,    4,    0
175027,19791220,    2,    0
175027,19791221,    0,    0
175027,19791222,    0,    0
175027,19791223,    0,    0
175027,19791224,    0,    0
175027,19791225,    3,    0
175027,19791226,    0,    0
175027,19791227,    0,    0
175027,19791228,    0,    0
175027,19791229,    0,    0
175027,19791230,    0,    0
175027,19791231,    3,    0
175027,19800101,   68,    0
175027,19800102,   22,    0
175027,19800103,   17,    0
175027,19800104,    0,    0
175027,19800105,    2,    0
175027,19800106,    5,    0
175027,19800107,   14,    0
175027,19800108,    2,    0
175027,19800109,    1,    0
175027,19800110,    0,    0
175027,19800111,   11,    0
175027,19800112,    5,    0
175027,19800113,    7,    0
175027,19800114,   26,    0
175027,19800115,   23,    0
175027,19800116,   10,    0
175027,19800117,    0,    0
175027,19800118,    0,    0
175027,19800119,    4,    0
175027,19800120,    0,    0
175027,19800121,    2,    0
175027,19800122,   17,    0
175027,19800123,    9,    0
175027,19800124,   20,    0
175027,19800125,   17,    0
175027,19800126,    5,    0
175027,19800127,    6,    0
175027,19800128,    0,    0
175027,19800129,   25,    0
175027,19800130,    0,    0
175027,19800131,    5,    0
175027,19800201,   42,    0
175027,19800202,   32,    0
175027,19800203,   39,    0
175027,19800204,    0,    0
175027,19800205,    6,    0
175027,19800206,   16,    0
175027,19800207,   11,    0
175027,19800208,    6,    0
175027,19800209,    0,    0
175027,19800210,    0,    0
175027,19800211,    0,    0
175027,19800212,    3,    0
175027,19800213,    3,    0
175027,19800214,   21,    0
175027,19800215,   20,    0
175027,19800216,    6,    0
175027,19800217,    1,    0
175027,19800218,    2,    0
175027,19800219,    5,    0
175027,19800220,    8,    0
175027,19800221,    4,    0
175027,19800222,    0,    0
175027,19800223,    4,    0
175027,19800224,    4,    0
175027,19800225,    3,    0
175027,19800226,    2,    0
175027,19800227,    3,    0
175027,19800228,    8,    0
175027,19800229,   20,    0
175027,19800301,   26,    0
175027,19800302,    1,    0
175027,19800303,    6,    0
175027,19800304,    9,    0
175027,19800305,   12,    0
175027,19800306,    0,    0
175027,19800307,    0,    0
175027,19800308,    0,    0
175027,19800309,    0,    0
175027,19800310,    0,    0
175027,19800311,    0,    0
175027,19800312,    0,    0
175027,19800313,    0,    0
175027,19800314,    0,    0
