EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESTONIA, TOOMA (STAID: 11368).
Blended and updated with sources: 175071 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
175071,19790101,   21,    0
175071,19790102,   87,    0
175071,19790103,   40,    0
175071,19790104,    3,    0
175071,19790105,    0,    0
175071,19790106,   26,    0
175071,19790107,   36,    0
175071,19790108,    8,    0
175071,19790109,   71,    0
175071,19790110,    9,    0
175071,19790111,    0,    0
175071,19790112,  124,    0
175071,19790113,   28,    0
175071,19790114,    6,    0
175071,19790115,    0,    0
175071,19790116,    0,    0
175071,19790117,    5,    0
175071,19790118,    0,    0
175071,19790119,    4,    0
175071,19790120,    0,    0
175071,19790121,    2,    0
175071,19790122,    3,    0
175071,19790123,   28,    0
175071,19790124,   45,    0
175071,19790125,    1,    0
175071,19790126,   21,    0
175071,19790127,    7,    0
175071,19790128,    3,    0
175071,19790129,    1,    0
175071,19790130,   56,    0
175071,19790131,   59,    0
175071,19790201,   77,    0
175071,19790202,   65,    0
175071,19790203,   31,    0
175071,19790204,    6,    0
175071,19790205,    3,    0
175071,19790206,    3,    0
175071,19790207,    0,    0
175071,19790208,   69,    0
175071,19790209,    7,    0
175071,19790210,   10,    0
175071,19790211,   30,    0
175071,19790212,   47,    0
175071,19790213,    0,    0
175071,19790214,    0,    0
175071,19790215,    0,    0
175071,19790216,    0,    0
175071,19790217,    0,    0
175071,19790218,    0,    0
175071,19790219,    0,    0
175071,19790220,    0,    0
175071,19790221,    0,    0
175071,19790222,    1,    0
175071,19790223,    0,    0
175071,19790224,    0,    0
175071,19790225,    0,    0
175071,19790226,   21,    0
175071,19790227,    0,    0
175071,19790228,    0,    0
175071,19790301,   33,    0
175071,19790302,   13,    0
175071,19790303,   17,    0
175071,19790304,    0,    0
175071,19790305,    0,    0
175071,19790306,    0,    0
175071,19790307,   22,    0
175071,19790308,    0,    0
175071,19790309,    0,    0
175071,19790310,    0,    0
175071,19790311,    4,    0
175071,19790312,    6,    0
175071,19790313,   39,    0
175071,19790314,    8,    0
175071,19790315,    3,    0
175071,19790316,   14,    0
175071,19790317,    0,    0
