EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, SAN SEBASTIAN - IGUELDO (STAID: 234).
Blended and updated with sources: 100722 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100722,19790101,   87,    0
100722,19790102,    0,    0
100722,19790103,  137,    0
100722,19790104,   17,    0
100722,19790105,  119,    0
100722,19790106,    0,    0
100722,19790107,   20,    0
100722,19790108,    9,    0
100722,19790109,  117,    0
100722,19790110,  269,    0
100722,19790111,  700,    0
100722,19790112,  523,    0
100722,19790113,  397,    0
100722,19790114,    0,    0
100722,19790115,    0,    0
100722,19790116,    0,    0
100722,19790117,    0,    0
100722,19790118,    0,    0
100722,19790119,  313,    0
100722,19790120,    0,    0
100722,19790121,    2,    0
100722,19790122,   25,    0
100722,19790123,    0,    0
100722,19790124,    0,    0
100722,19790125,   26,    0
100722,19790126,  161,    0
100722,19790127,  390,    0
100722,19790128,  121,    0
100722,19790129,  246,    0
100722,19790130,  226,    0
100722,19790131,   10,    0
100722,19790201,    6,    0
100722,19790202,   50,    0
100722,19790203,   77,    0
100722,19790204,  110,    0
100722,19790205,   62,    0
100722,19790206,  223,    0
100722,19790207,   24,    0
100722,19790208,   72,    0
100722,19790209,   52,    0
100722,19790210,    0,    0
100722,19790211,   15,    0
100722,19790212,   23,    0
100722,19790213,   10,    0
100722,19790214,  100,    0
100722,19790215,  311,    0
100722,19790216,   44,    0
100722,19790217,   11,    0
100722,19790218,    0,    0
100722,19790219,    0,    0
100722,19790220,    0,    0
100722,19790221,    0,    0
100722,19790222,   59,    0
100722,19790223,    6,    0
100722,19790224,    0,    0
100722,19790225,    0,    0
100722,19790226,    0,    0
100722,19790227,    0,    0
100722,19790228,  204,    0
100722,19790301,  149,    0
100722,19790302,    6,    0
100722,19790303,    0,    0
100722,19790304,    9,    0
100722,19790305,   42,    0
100722,19790306,  100,    0
100722,19790307,    0,    0
100722,19790308,    0,    0
100722,19790309,   51,    0
100722,19790310,    7,    0
100722,19790311,    0,    0
100722,19790312,    0,    0
100722,19790313,  146,    0
100722,19790314,  209,    0
100722,19790315,   79,    0
100722,19790316,    0,    0
100722,19790317,  156,    0
100722,19790318,   37,    0
100722,19790319,    0,    0
100722,19790320,    7,    0
100722,19790321,    0,    0
100722,19790322,    2,    0
100722,19790323,    0,    0
100722,19790324,    0,    0
100722,19790325,   57,    0
100722,19790326,   40,    0
100722,19790327,  111,    0
100722,19790328,  343,    0
100722,19790329,  266,    0
100722,19790330,  169,    0
100722,19790331,  112,    0
100722,19790401,   83,    0
100722,19790402,  107,    0
100722,19790403,  126,    0
100722,19790404,   49,    0
100722,19790405,  204,    0
100722,19790406,  134,    0
100722,19790407,    0,    0
100722,19790408,    0,    0
100722,19790409,    0,    0
100722,19790410,    0,    0
100722,19790411,    0,    0
100722,19790412,    0,    0
100722,19790413,  164,    0
100722,19790414,  558,    0
100722,19790415,   88,    0
100722,19790416,    6,    0
100722,19790417,    3,    0
100722,19790418,    0,    0
100722,19790419,    0,    0
100722,19790420,   41,    0
100722,19790421,  328,    0
100722,19790422,   89,    0
100722,19790423,  204,    0
100722,19790424,   97,    0
100722,19790425,  104,    0
100722,19790426,   64,    0
100722,19790427,   82,    0
100722,19790428,  124,    0
100722,19790429,   26,    0
100722,19790430,   23,    0
100722,19790501,   14,    0
100722,19790502,  162,    0
100722,19790503,    3,    0
100722,19790504,    0,    0
100722,19790505,    0,    0
100722,19790506,    0,    0
100722,19790507,    0,    0
100722,19790508,    0,    0
100722,19790509,    0,    0
100722,19790510,    0,    0
100722,19790511,    0,    0
100722,19790512,    0,    0
100722,19790513,    0,    0
100722,19790514,    0,    0
100722,19790515,    0,    0
100722,19790516,    2,    0
100722,19790517,  280,    0
100722,19790518,    0,    0
100722,19790519,   63,    0
100722,19790520,   25,    0
100722,19790521,    3,    0
100722,19790522,    0,    0
100722,19790523,   57,    0
100722,19790524,    0,    0
100722,19790525,    0,    0
100722,19790526,  231,    0
100722,19790527,   27,    0
100722,19790528,    0,    0
100722,19790529,    0,    0
100722,19790530,  211,    0
100722,19790531,  100,    0
100722,19790601,    6,    0
100722,19790602,    0,    0
100722,19790603,  124,    0
100722,19790604,   72,    0
100722,19790605,    0,    0
100722,19790606,    0,    0
100722,19790607,    0,    0
100722,19790608,    0,    0
100722,19790609,  221,    0
100722,19790610,   20,    0
100722,19790611,   10,    0
100722,19790612,   82,    0
100722,19790613,   46,    0
100722,19790614,   13,    0
100722,19790615,   62,    0
100722,19790616,    6,    0
100722,19790617,    0,    0
100722,19790618,    0,    0
100722,19790619,    0,    0
100722,19790620,    0,    0
100722,19790621,    0,    0
100722,19790622,    0,    0
100722,19790623,   89,    0
100722,19790624,   35,    0
100722,19790625,    0,    0
100722,19790626,  177,    0
100722,19790627,   20,    0
100722,19790628,    1,    0
100722,19790629,    0,    0
100722,19790630,   14,    0
100722,19790701,    0,    0
100722,19790702,    0,    0
100722,19790703,    0,    0
100722,19790704,    0,    0
100722,19790705,    0,    0
100722,19790706,    0,    0
100722,19790707,    0,    0
100722,19790708,    0,    0
100722,19790709,    0,    0
100722,19790710,    5,    0
100722,19790711,  505,    0
100722,19790712,   35,    0
100722,19790713,    2,    0
100722,19790714,    5,    0
100722,19790715,    0,    0
100722,19790716,    0,    0
100722,19790717,    0,    0
100722,19790718,   97,    0
100722,19790719,   59,    0
100722,19790720,    0,    0
100722,19790721,    0,    0
100722,19790722,    0,    0
100722,19790723,    0,    0
100722,19790724,   15,    0
100722,19790725,   10,    0
100722,19790726,    0,    0
100722,19790727,    4,    0
100722,19790728,    2,    0
100722,19790729,    0,    0
100722,19790730,   72,    0
100722,19790731,   60,    0
100722,19790801,    0,    0
100722,19790802,   58,    0
100722,19790803,    0,    0
100722,19790804,    0,    0
100722,19790805,    4,    0
100722,19790806,    0,    0
100722,19790807,   45,    0
100722,19790808,   32,    0
100722,19790809,   81,    0
100722,19790810,   67,    0
100722,19790811,   25,    0
100722,19790812,    0,    0
100722,19790813,    0,    0
100722,19790814,  119,    0
100722,19790815,  385,    0
100722,19790816,   17,    0
100722,19790817,  185,    0
100722,19790818,   93,    0
100722,19790819,   37,    0
100722,19790820,   11,    0
100722,19790821,    0,    0
100722,19790822,   16,    0
100722,19790823,   19,    0
100722,19790824,    5,    0
100722,19790825,   71,    0
100722,19790826,  125,    0
100722,19790827,    0,    0
100722,19790828,    0,    0
100722,19790829,    0,    0
100722,19790830,    0,    0
100722,19790831,    0,    0
100722,19790901,    0,    0
100722,19790902,   54,    0
100722,19790903,    6,    0
100722,19790904,    0,    0
100722,19790905,   48,    0
100722,19790906,  242,    0
100722,19790907,   12,    0
100722,19790908,    0,    0
100722,19790909,   14,    0
100722,19790910,    0,    0
100722,19790911,    0,    0
100722,19790912,    0,    0
100722,19790913,    0,    0
100722,19790914,    2,    0
100722,19790915,    0,    0
100722,19790916,   16,    0
100722,19790917,   22,    0
100722,19790918,   19,    0
100722,19790919,   81,    0
100722,19790920,   91,    0
100722,19790921,  281,    0
100722,19790922,  156,    0
100722,19790923,    0,    0
100722,19790924,   47,    0
100722,19790925,    0,    0
100722,19790926,    0,    0
100722,19790927,    0,    0
100722,19790928,    0,    0
100722,19790929,    0,    0
100722,19790930,    6,    0
100722,19791001,    0,    0
100722,19791002,    0,    0
100722,19791003,    0,    0
100722,19791004,  123,    0
100722,19791005,    0,    0
100722,19791006,   17,    0
100722,19791007,    0,    0
100722,19791008,    0,    0
100722,19791009,  211,    0
100722,19791010,   76,    0
100722,19791011,    0,    0
100722,19791012,    8,    0
100722,19791013,    0,    0
100722,19791014,   13,    0
100722,19791015,    2,    0
100722,19791016,    0,    0
100722,19791017,    0,    0
100722,19791018,    0,    0
100722,19791019,    0,    0
100722,19791020,    0,    0
100722,19791021,    0,    0
100722,19791022,   66,    0
100722,19791023,  287,    0
100722,19791024,    7,    0
100722,19791025,  116,    0
100722,19791026,  290,    0
100722,19791027,  198,    0
100722,19791028,  151,    0
100722,19791029,   66,    0
100722,19791030,   17,    0
100722,19791031,    0,    0
100722,19791101,   17,    0
100722,19791102,    2,    0
100722,19791103,    0,    0
100722,19791104,   30,    0
100722,19791105,  184,    0
100722,19791106,    9,    0
100722,19791107,    0,    0
100722,19791108,   15,    0
100722,19791109,  307,    0
100722,19791110,    6,    0
100722,19791111,    0,    0
100722,19791112,   47,    0
100722,19791113,   86,    0
100722,19791114,  579,    0
100722,19791115,  765,    0
100722,19791116,  372,    0
100722,19791117,  153,    0
100722,19791118,   31,    0
100722,19791119,  488,    0
100722,19791120,   27,    0
100722,19791121,    0,    0
100722,19791122,    0,    0
100722,19791123,    0,    0
100722,19791124,    0,    0
100722,19791125,    0,    0
100722,19791126,    0,    0
100722,19791127,    0,    0
100722,19791128,    0,    0
100722,19791129,    0,    0
100722,19791130,    0,    0
100722,19791201,    0,    0
100722,19791202,    0,    0
100722,19791203,    0,    0
100722,19791204,    0,    0
100722,19791205,    0,    0
100722,19791206,    0,    0
100722,19791207,    0,    0
100722,19791208,   37,    0
100722,19791209,    0,    0
100722,19791210,   23,    0
100722,19791211,  134,    0
100722,19791212,    2,    0
100722,19791213,   68,    0
100722,19791214,    0,    0
100722,19791215,   67,    0
100722,19791216,    0,    0
100722,19791217,   68,    0
100722,19791218,  144,    0
100722,19791219,  210,    0
100722,19791220,    0,    0
100722,19791221,    0,    0
100722,19791222,   69,    0
100722,19791223,   45,    0
100722,19791224,    0,    0
100722,19791225,    0,    0
100722,19791226,    0,    0
100722,19791227,   18,    0
100722,19791228,  102,    0
100722,19791229,  141,    0
100722,19791230,  309,    0
100722,19791231,  145,    0
100722,19800101,  140,    0
100722,19800102,    9,    0
100722,19800103,    0,    0
100722,19800104,   76,    0
100722,19800105,   34,    0
100722,19800106,    0,    0
100722,19800107,    0,    0
100722,19800108,   93,    0
100722,19800109,  243,    0
100722,19800110,  254,    0
100722,19800111,    3,    0
100722,19800112,   30,    0
100722,19800113,    0,    0
100722,19800114,    0,    0
100722,19800115,    0,    0
100722,19800116,    0,    0
100722,19800117,   32,    0
100722,19800118,   81,    0
100722,19800119,    1,    0
100722,19800120,   33,    0
100722,19800121,  105,    0
100722,19800122,  147,    0
100722,19800123,    0,    0
100722,19800124,    2,    0
100722,19800125,    0,    0
100722,19800126,    0,    0
100722,19800127,    0,    0
100722,19800128,    0,    0
