EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, VITORIA/FORONDA (STAID: 3905).
Blended and updated with sources: 119738 119747 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
119747,19790101,   14,    0
119747,19790102,   28,    0
119747,19790103,   60,    0
119747,19790104,    0,    0
119747,19790105,    0,    0
119747,19790106,    6,    0
119747,19790107,   25,    0
119747,19790108,    9,    0
119747,19790109,   13,    0
119747,19790110,  100,    0
119747,19790111,  103,    0
119747,19790112,  179,    0
119747,19790113,   34,    0
119747,19790114,    0,    0
119747,19790115,    0,    0
119747,19790116,    0,    0
119747,19790117,    0,    0
119747,19790118,    0,    0
119747,19790119,  144,    0
119747,19790120,    0,    0
119747,19790121,   10,    0
119747,19790122,    0,    0
119747,19790123,    0,    0
119747,19790124,    0,    0
119747,19790125,    8,    0
119747,19790126,  125,    0
119747,19790127,  330,    0
119747,19790128,    6,    0
119747,19790129,    0,    0
119747,19790130,    3,    0
119747,19790131,    0,    0
119747,19790201,    9,    0
119747,19790202,   20,    0
119747,19790203,   59,    0
119747,19790204,   53,    0
119747,19790205,   17,    0
119747,19790206,  196,    0
119747,19790207,   24,    0
119747,19790208,   18,    0
119747,19790209,    3,    0
119747,19790210,   16,    0
119747,19790211,   24,    0
119747,19790212,   50,    0
119747,19790213,   31,    0
119747,19790214,  137,    0
119747,19790215,  238,    0
119747,19790216,   16,    0
119747,19790217,    0,    0
119747,19790218,    0,    0
119747,19790219,    0,    0
119747,19790220,    0,    0
119747,19790221,    0,    0
119747,19790222,   14,    0
119747,19790223,    0,    0
119747,19790224,    0,    0
119747,19790225,    0,    0
119747,19790226,    0,    0
119747,19790227,    0,    0
119747,19790228,  133,    0
119747,19790301,  105,    0
119747,19790302,    0,    0
119747,19790303,    0,    0
119747,19790304,    0,    0
119747,19790305,    3,    0
119747,19790306,   20,    0
119747,19790307,    2,    0
119747,19790308,    0,    0
119747,19790309,    0,    0
119747,19790310,    0,    0
119747,19790311,    0,    0
119747,19790312,    0,    0
119747,19790313,   30,    0
119747,19790314,   64,    0
119747,19790315,    7,    0
119747,19790316,   12,    0
119747,19790317,   36,    0
119747,19790318,   10,    0
119747,19790319,    0,    0
119747,19790320,    0,    0
119747,19790321,    0,    0
119747,19790322,    4,    0
119747,19790323,    0,    0
119747,19790324,   10,    0
119747,19790325,   48,    0
119747,19790326,  130,    0
119747,19790327,   64,    0
119747,19790328,  128,    0
119747,19790329,   86,    0
119747,19790330,   42,    0
119747,19790331,   73,    0
119747,19790401,   26,    0
119747,19790402,   30,    0
119747,19790403,   12,    0
119747,19790404,   20,    0
119747,19790405,   10,    0
119747,19790406,    2,    0
119747,19790407,    0,    0
119747,19790408,    5,    0
119747,19790409,    7,    0
119747,19790410,    0,    0
119747,19790411,    0,    0
119747,19790412,    0,    0
119747,19790413,  210,    0
119747,19790414,    8,    0
119747,19790415,    0,    0
119747,19790416,    0,    0
119747,19790417,    0,    0
119747,19790418,    0,    0
119747,19790419,    0,    0
119747,19790420,    0,    0
119747,19790421,  100,    0
119747,19790422,   24,    0
119747,19790423,  167,    0
119747,19790424,  130,    0
119747,19790425,   51,    0
119747,19790426,  233,    0
119747,19790427,   80,    0
119747,19790428,   76,    0
119747,19790429,   14,    0
119747,19790430,    0,    0
119747,19790501,    0,    0
119747,19790502,    6,    0
119747,19790503,    0,    0
119747,19790504,    0,    0
119747,19790505,    0,    0
119747,19790506,    0,    0
119747,19790507,    0,    0
119747,19790508,    0,    0
119747,19790509,    0,    0
119747,19790510,    0,    0
119747,19790511,    0,    0
119747,19790512,    0,    0
