EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, ASTURIAS/AVILES (STAID: 3909).
Blended and updated with sources: 119792 908011 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
119792,19790101,   66,    0
119792,19790102,   64,    0
119792,19790103,  161,    0
119792,19790104,   78,    0
119792,19790105,   28,    0
119792,19790106,    0,    0
119792,19790107,    0,    0
119792,19790108,  102,    0
119792,19790109,  106,    0
119792,19790110,  278,    0
119792,19790111,  410,    0
119792,19790112,  238,    0
119792,19790113,    0,    0
119792,19790114,    0,    0
119792,19790115,    0,    0
119792,19790116,    0,    0
119792,19790117,    0,    0
119792,19790118,    4,    0
119792,19790119,  252,    0
119792,19790120,    0,    0
119792,19790121,    0,    0
119792,19790122,    7,    0
119792,19790123,    0,    0
119792,19790124,    0,    0
119792,19790125,  137,    0
119792,19790126,  281,    0
119792,19790127,  385,    0
119792,19790128,   23,    0
119792,19790129,   50,    0
119792,19790130,   28,    0
119792,19790131,   22,    0
119792,19790201,   93,    0
119792,19790202,  217,    0
119792,19790203,  312,    0
119792,19790204,  111,    0
119792,19790205,   31,    0
119792,19790206,  126,    0
119792,19790207,   57,    0
119792,19790208,   14,    0
119792,19790209,  120,    0
119792,19790210,   24,    0
119792,19790211,    1,    0
119792,19790212,   34,    0
119792,19790213,   57,    0
119792,19790214,  196,    0
119792,19790215,   50,    0
119792,19790216,   14,    0
119792,19790217,    6,    0
119792,19790218,   21,    0
119792,19790219,    0,    0
119792,19790220,    0,    0
119792,19790221,  137,    0
119792,19790222,   60,    0
119792,19790223,    0,    0
119792,19790224,    0,    0
119792,19790225,    0,    0
119792,19790226,    0,    0
119792,19790227,   53,    0
119792,19790228,   82,    0
119792,19790301,   26,    0
119792,19790302,    0,    0
119792,19790303,    0,    0
119792,19790304,   63,    0
119792,19790305,   17,    0
119792,19790306,  192,    0
119792,19790307,    0,    0
119792,19790308,    0,    0
119792,19790309,    0,    0
119792,19790310,    0,    0
119792,19790311,    0,    0
119792,19790312,    0,    0
119792,19790313,  100,    0
119792,19790314,  379,    0
119792,19790315,  105,    0
119792,19790316,   33,    0
119792,19790317,    0,    0
119792,19790318,    0,    0
119792,19790319,    0,    0
119792,19790320,    0,    0
119792,19790321,    3,    0
119792,19790322,   67,    0
119792,19790323,   14,    0
119792,19790324,   13,    0
119792,19790325,  146,    0
119792,19790326,   33,    0
119792,19790327,  203,    0
119792,19790328,  146,    0
119792,19790329,  232,    0
119792,19790330,   84,    0
119792,19790331,   90,    0
119792,19790401,   35,    0
119792,19790402,  173,    0
119792,19790403,   57,    0
119792,19790404,    8,    0
119792,19790405,   75,    0
119792,19790406,    0,    0
119792,19790407,    0,    0
119792,19790408,    7,    0
119792,19790409,   92,    0
119792,19790410,    0,    0
119792,19790411,    0,    0
119792,19790412,    0,    0
119792,19790413,   76,    0
119792,19790414,    0,    0
119792,19790415,    0,    0
119792,19790416,    3,    0
119792,19790417,    0,    0
119792,19790418,    0,    0
119792,19790419,    0,    0
119792,19790420,    0,    0
119792,19790421,   38,    0
119792,19790422,    0,    0
119792,19790423,   80,    0
119792,19790424,  149,    0
119792,19790425,   50,    0
119792,19790426,   24,    0
119792,19790427,   16,    0
119792,19790428,  105,    0
119792,19790429,   26,    0
119792,19790430,   64,    0
119792,19790501,   20,    0
119792,19790502,   65,    0
119792,19790503,    0,    0
119792,19790504,    0,    0
119792,19790505,    3,    0
119792,19790506,    2,    0
119792,19790507,    0,    0
119792,19790508,    0,    0
119792,19790509,    0,    0
119792,19790510,    0,    0
119792,19790511,    0,    0
119792,19790512,    0,    0
119792,19790513,    0,    0
119792,19790514,    0,    0
119792,19790515,    0,    0
119792,19790516,    4,    0
119792,19790517,    0,    0
119792,19790518,  396,    0
119792,19790519,  203,    0
119792,19790520,   14,    0
119792,19790521,  141,    0
119792,19790522,   66,    0
119792,19790523,    4,    0
119792,19790524,    4,    0
119792,19790525,   13,    0
119792,19790526,   46,    0
119792,19790527,    8,    0
119792,19790528,    0,    0
119792,19790529,  217,    0
119792,19790530,   40,    0
119792,19790531,    0,    0
119792,19790601,    0,    0
119792,19790602,    0,    0
119792,19790603,    0,    0
119792,19790604,    8,    0
119792,19790605,    0,    0
119792,19790606,    0,    0
119792,19790607,    0,    0
119792,19790608,    0,    0
119792,19790609,   68,    0
119792,19790610,    0,    0
119792,19790611,   74,    0
119792,19790612,    1,    0
119792,19790613,  122,    0
119792,19790614,    0,    0
119792,19790615,   43,    0
119792,19790616,    0,    0
119792,19790617,    0,    0
119792,19790618,    0,    0
119792,19790619,    0,    0
119792,19790620,    0,    0
119792,19790621,    0,    0
119792,19790622,    0,    0
119792,19790623,   86,    0
119792,19790624,    0,    0
119792,19790625,    0,    0
119792,19790626,    0,    0
119792,19790627,    9,    0
119792,19790628,    0,    0
119792,19790629,    0,    0
119792,19790630,    0,    0
119792,19790701,    0,    0
119792,19790702,    0,    0
119792,19790703,    0,    0
119792,19790704,    0,    0
119792,19790705,    0,    0
119792,19790706,    0,    0
119792,19790707,    0,    0
119792,19790708,    0,    0
119792,19790709,    0,    0
119792,19790710,   11,    0
119792,19790711, 1147,    0
119792,19790712,    2,    0
119792,19790713,    0,    0
119792,19790714,    0,    0
119792,19790715,    0,    0
119792,19790716,    0,    0
119792,19790717,    0,    0
119792,19790718,   26,    0
119792,19790719,   29,    0
119792,19790720,    0,    0
119792,19790721,    0,    0
119792,19790722,    0,    0
119792,19790723,    0,    0
119792,19790724,    0,    0
119792,19790725,    0,    0
119792,19790726,    0,    0
119792,19790727,    0,    0
119792,19790728,    0,    0
119792,19790729,    0,    0
119792,19790730,    5,    0
119792,19790731,    2,    0
119792,19790801,    0,    0
119792,19790802,  204,    0
119792,19790803,    7,    0
119792,19790804,    0,    0
119792,19790805,    0,    0
119792,19790806,    0,    0
119792,19790807,   39,    0
119792,19790808,    8,    0
119792,19790809,   22,    0
119792,19790810,    0,    0
119792,19790811,    0,    0
119792,19790812,    0,    0
119792,19790813,    0,    0
119792,19790814,  127,    0
119792,19790815,   18,    0
119792,19790816,    0,    0
119792,19790817,    4,    0
119792,19790818,    9,    0
119792,19790819,   60,    0
119792,19790820,    0,    0
119792,19790821,    0,    0
119792,19790822,   10,    0
119792,19790823,    0,    0
119792,19790824,    0,    0
119792,19790825,   24,    0
119792,19790826,    3,    0
119792,19790827,    0,    0
119792,19790828,    0,    0
119792,19790829,    0,    0
119792,19790830,    0,    0
119792,19790831,    0,    0
119792,19790901,    0,    0
119792,19790902,    0,    0
119792,19790903,    0,    0
119792,19790904,    0,    0
119792,19790905,    0,    0
119792,19790906,    0,    0
119792,19790907,    1,    0
119792,19790908,    4,    0
119792,19790909,   18,    0
119792,19790910,    0,    0
119792,19790911,    0,    0
119792,19790912,   10,    0
119792,19790913,  180,    0
119792,19790914,    3,    0
119792,19790915,    0,    0
119792,19790916,    0,    0
119792,19790917,    0,    0
119792,19790918,    0,    0
119792,19790919,    0,    0
119792,19790920,  267,    0
119792,19790921,   53,    0
119792,19790922,   40,    0
119792,19790923,    2,    0
119792,19790924,   34,    0
119792,19790925,    0,    0
119792,19790926,    0,    0
119792,19790927,    0,    0
119792,19790928,    0,    0
119792,19790929,    0,    0
119792,19790930,    0,    0
119792,19791001,    0,    0
119792,19791002,    0,    0
119792,19791003,   86,    0
119792,19791004,   24,    0
119792,19791005,   23,    0
119792,19791006,    3,    0
119792,19791007,    0,    0
119792,19791008,   48,    0
119792,19791009,   28,    0
119792,19791010,   11,    0
119792,19791011,    0,    0
119792,19791012,   16,    0
119792,19791013,    0,    0
119792,19791014,    7,    0
119792,19791015,  432,    0
119792,19791016,  217,    0
119792,19791017,   78,    0
119792,19791018,    0,    0
119792,19791019,    0,    0
119792,19791020,    0,    0
119792,19791021,  130,    0
119792,19791022,   53,    0
119792,19791023,   34,    0
119792,19791024,   84,    0
119792,19791025,   45,    0
119792,19791026,  149,    0
119792,19791027,   20,    0
119792,19791028,   56,    0
119792,19791029,   10,    0
119792,19791030,    0,    0
119792,19791031,    0,    0
119792,19791101,  137,    0
119792,19791102,    0,    0
119792,19791103,    0,    0
119792,19791104,   36,    0
119792,19791105,    0,    0
119792,19791106,    0,    0
119792,19791107,    0,    0
119792,19791108,  161,    0
119792,19791109,  136,    0
119792,19791110,   85,    0
119792,19791111,    0,    0
119792,19791112,  109,    0
119792,19791113,   68,    0
119792,19791114,  557,    0
119792,19791115,  183,    0
119792,19791116,   70,    0
119792,19791117,  114,    0
119792,19791118,    1,    0
119792,19791119,   46,    0
119792,19791120,   94,    0
119792,19791121,    0,    0
119792,19791122,    0,    0
119792,19791123,    0,    0
119792,19791124,    0,    0
119792,19791125,    0,    0
119792,19791126,    0,    0
119792,19791127,    0,    0
119792,19791128,    0,    0
119792,19791129,    0,    0
119792,19791130,    0,    0
119792,19791201,    0,    0
119792,19791202,    0,    0
119792,19791203,    0,    0
119792,19791204,    0,    0
119792,19791205,    0,    0
119792,19791206,    0,    0
119792,19791207,   50,    0
119792,19791208,    6,    0
119792,19791209,    0,    0
119792,19791210,   34,    0
119792,19791211,    8,    0
119792,19791212,   42,    0
119792,19791213,   93,    0
119792,19791214,    0,    0
119792,19791215,    0,    0
119792,19791216,    0,    0
119792,19791217,   70,    0
119792,19791218,   59,    0
119792,19791219,   68,    0
119792,19791220,  158,    0
119792,19791221,  177,    0
119792,19791222,  118,    0
119792,19791223,  126,    0
119792,19791224,    3,    0
119792,19791225,   20,    0
119792,19791226,   30,    0
119792,19791227,   14,    0
119792,19791228,   13,    0
119792,19791229,   58,    0
119792,19791230,  348,    0
119792,19791231,   25,    0
119792,19800101,    0,    0
119792,19800102,   22,    0
119792,19800103,    0,    0
119792,19800104,   76,    0
119792,19800105,    0,    0
119792,19800106,    0,    0
119792,19800107,   11,    0
119792,19800108,   89,    0
119792,19800109,  145,    0
119792,19800110,   61,    0
119792,19800111,   10,    0
119792,19800112,   46,    0
119792,19800113,   23,    0
119792,19800114,    0,    0
119792,19800115,    0,    0
119792,19800116,    0,    0
119792,19800117,    7,    0
119792,19800118,   41,    0
119792,19800119,   27,    0
119792,19800120,    7,    0
119792,19800121,  296,    0
119792,19800122,  188,    0
119792,19800123,    2,    0
119792,19800124,  107,    0
