EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, GIJON MUSEL (STAID: 3912).
Blended and updated with sources: 119801 119819 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
119801,19790101,  106,    0
119801,19790102,   48,    0
119801,19790103,   60,    0
119801,19790104,   37,    0
119801,19790105,   15,    0
119801,19790106,    0,    0
119801,19790107,    0,    0
119801,19790108,   10,    0
119801,19790109,   89,    0
119801,19790110,   97,    0
119801,19790111,  553,    0
119801,19790112,  109,    0
119801,19790113,    2,    0
119801,19790114,    0,    0
119801,19790115,    0,    0
119801,19790116,    0,    0
119801,19790117,    0,    0
119801,19790118,    0,    0
119801,19790119,  204,    0
119801,19790120,    0,    0
119801,19790121,    1,    0
119801,19790122,    0,    0
119801,19790123,    1,    0
119801,19790124,    0,    0
119801,19790125,  138,    0
119801,19790126,  254,    0
119801,19790127,  301,    0
119801,19790128,   18,    0
119801,19790129,   44,    0
119801,19790130,   18,    0
119801,19790131,    7,    0
119801,19790201,   87,    0
119801,19790202,  190,    0
119801,19790203,  207,    0
119801,19790204,  107,    0
119801,19790205,   40,    0
119801,19790206,  116,    0
119801,19790207,   42,    0
119801,19790208,   15,    0
119801,19790209,  241,    0
119801,19790210,   14,    0
119801,19790211,    0,    0
119801,19790212,   17,    0
119801,19790213,   57,    0
119801,19790214,   81,    0
119801,19790215,  162,    0
119801,19790216,    8,    0
119801,19790217,   10,    0
119801,19790218,   53,    0
119801,19790219,    0,    0
119801,19790220,    0,    0
119801,19790221,   77,    0
119801,19790222,   21,    0
119801,19790223,    0,    0
119801,19790224,    0,    0
119801,19790225,    0,    0
119801,19790226,    0,    0
119801,19790227,   87,    0
119801,19790228,  143,    0
119801,19790301,    5,    0
119801,19790302,    0,    0
119801,19790303,    0,    0
119801,19790304,   46,    0
119801,19790305,   33,    0
119801,19790306,   75,    0
119801,19790307,    0,    0
119801,19790308,    0,    0
119801,19790309,    0,    0
119801,19790310,    0,    0
119801,19790311,    0,    0
119801,19790312,    0,    0
119801,19790313,   47,    0
119801,19790314,  330,    0
119801,19790315,   87,    0
119801,19790316,    4,    0
119801,19790317,    4,    0
119801,19790318,   20,    0
119801,19790319,    1,    0
119801,19790320,    0,    0
119801,19790321,    0,    0
119801,19790322,   45,    0
119801,19790323,   15,    0
119801,19790324,    9,    0
119801,19790325,   83,    0
119801,19790326,   15,    0
119801,19790327,  156,    0
119801,19790328,  188,    0
119801,19790329,  175,    0
119801,19790330,   84,    0
119801,19790331,   69,    0
119801,19790401,   32,    0
119801,19790402,  101,    0
119801,19790403,   73,    0
119801,19790404,   31,    0
119801,19790405,   68,    0
119801,19790406,    2,    0
119801,19790407,    0,    0
119801,19790408,   18,    0
119801,19790409,  102,    0
119801,19790410,    0,    0
119801,19790411,    0,    0
119801,19790412,    0,    0
119801,19790413,   28,    0
119801,19790414,    0,    0
119801,19790415,    0,    0
119801,19790416,    0,    0
119801,19790417,    0,    0
119801,19790418,    0,    0
119801,19790419,    0,    0
119801,19790420,    0,    0
119801,19790421,    6,    0
119801,19790422,    0,    0
119801,19790423,   51,    0
119801,19790424,   90,    0
119801,19790425,   70,    0
119801,19790426,   20,    0
119801,19790427,   11,    0
119801,19790428,   56,    0
119801,19790429,   17,    0
119801,19790430,    4,    0
119801,19790501,   14,    0
119801,19790502,   49,    0
119801,19790503,    0,    0
119801,19790504,    0,    0
119801,19790505,    0,    0
119801,19790506,    0,    0
119801,19790507,    0,    0
119801,19790508,    0,    0
119801,19790509,    0,    0
119801,19790510,    0,    0
119801,19790511,    0,    0
119801,19790512,    0,    0
119801,19790513,    0,    0
119801,19790514,    0,    0
119801,19790515,    0,    0
119801,19790516,    0,    0
119801,19790517,    0,    0
119801,19790518,  162,    0
119801,19790519,  227,    0
119801,19790520,   67,    0
119801,19790521,   93,    0
119801,19790522,   62,    0
119801,19790523,    4,    0
119801,19790524,   10,    0
119801,19790525,   37,    0
119801,19790526,   31,    0
119801,19790527,    7,    0
119801,19790528,    0,    0
119801,19790529,  109,    0
119801,19790530,   26,    0
119801,19790531,    0,    0
119801,19790601,    0,    0
119801,19790602,    0,    0
119801,19790603,    0,    0
119801,19790604,    0,    0
119801,19790605,    0,    0
119801,19790606,    0,    0
119801,19790607,    0,    0
119801,19790608,   19,    0
119801,19790609,   66,    0
119801,19790610,    0,    0
119801,19790611,   15,    0
119801,19790612,   11,    0
119801,19790613,   35,    0
119801,19790614,    0,    0
119801,19790615,    2,    0
119801,19790616,    0,    0
119801,19790617,    0,    0
119801,19790618,    0,    0
119801,19790619,    0,    0
