EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, SALAMANCA OBS. (STAID: 3956).
Blended and updated with sources: 120422 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
120422,19790101,   14,    0
120422,19790102,    0,    0
120422,19790103,  104,    0
120422,19790104,    0,    0
120422,19790105,    0,    0
120422,19790106,    2,    0
120422,19790107,    0,    0
120422,19790108,    0,    0
120422,19790109,    0,    0
120422,19790110,    0,    0
120422,19790111,    0,    0
120422,19790112,    0,    0
120422,19790113,    0,    0
120422,19790114,    0,    0
120422,19790115,    0,    0
120422,19790116,    0,    0
120422,19790117,   48,    0
120422,19790118,  130,    0
120422,19790119,   76,    0
120422,19790120,    0,    0
120422,19790121,   20,    0
120422,19790122,    3,    0
120422,19790123,    0,    0
120422,19790124,    0,    0
120422,19790125,    0,    0
120422,19790126,  148,    0
120422,19790127,  126,    0
120422,19790128,    9,    0
120422,19790129,    0,    0
120422,19790130,    0,    0
120422,19790131,    0,    0
120422,19790201,   37,    0
120422,19790202,    0,    0
120422,19790203,    0,    0
120422,19790204,   99,    0
120422,19790205,   89,    0
120422,19790206,  194,    0
120422,19790207,   29,    0
120422,19790208,  142,    0
120422,19790209,  193,    0
120422,19790210,   87,    0
120422,19790211,   69,    0
120422,19790212,  133,    0
120422,19790213,   86,    0
120422,19790214,  182,    0
120422,19790215,    3,    0
120422,19790216,    0,    0
120422,19790217,    0,    0
120422,19790218,    0,    0
120422,19790219,    0,    0
120422,19790220,    0,    0
