EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, HIERRO/AEROPUERTO (STAID: 3957).
Blended and updated with sources: 120431 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
120431,19790101,    0,    0
120431,19790102,    0,    0
120431,19790103,    0,    0
120431,19790104,  250,    0
120431,19790105,    0,    0
120431,19790106,   90,    0
120431,19790107,   20,    0
120431,19790108,    0,    0
120431,19790109,    0,    0
120431,19790110,    0,    0
120431,19790111,    0,    0
120431,19790112,    0,    0
120431,19790113,    0,    0
120431,19790114,    0,    0
120431,19790115,  260,    0
120431,19790116,  120,    0
120431,19790117,   40,    0
120431,19790118,    0,    0
120431,19790119,  430,    0
120431,19790120,   80,    0
120431,19790121,    0,    0
120431,19790122,    0,    0
120431,19790123,  360,    0
120431,19790124,    0,    0
120431,19790125,    0,    0
120431,19790126,    0,    0
120431,19790127,   30,    0
120431,19790128,    0,    0
120431,19790129,    0,    0
120431,19790130,    0,    0
120431,19790131,    0,    0
120431,19790201,    0,    0
120431,19790202,    0,    0
120431,19790203,    0,    0
120431,19790204,    0,    0
120431,19790205,    0,    0
120431,19790206,    0,    0
120431,19790207,    0,    0
120431,19790208,    0,    0
120431,19790209,    0,    0
120431,19790210,    0,    0
120431,19790211,    0,    0
120431,19790212,    0,    0
120431,19790213,    0,    0
120431,19790214,    0,    0
120431,19790215,    0,    0
120431,19790216,    0,    0
120431,19790217,    0,    0
120431,19790218,    0,    0
120431,19790219,    0,    0
120431,19790220,    0,    0
120431,19790221,    0,    0
120431,19790222,    0,    0
120431,19790223,    0,    0
120431,19790224,    0,    0
120431,19790225,    0,    0
120431,19790226,    0,    0
120431,19790227,    0,    0
120431,19790228,    0,    0
120431,19790301,    0,    0
120431,19790302,    0,    0
120431,19790303,    0,    0
120431,19790304,    0,    0
120431,19790305,    0,    0
120431,19790306,    0,    0
120431,19790307,    0,    0
120431,19790308,    0,    0
120431,19790309,    0,    0
120431,19790310,    0,    0
120431,19790311,    0,    0
120431,19790312,    0,    0
120431,19790313,    0,    0
120431,19790314,    0,    0
120431,19790315,    0,    0
120431,19790316,   10,    0
120431,19790317,   10,    0
120431,19790318,    0,    0
120431,19790319,    0,    0
120431,19790320,    0,    0
120431,19790321,    0,    0
120431,19790322,    0,    0
120431,19790323,    0,    0
120431,19790324,    0,    0
120431,19790325,    0,    0
120431,19790326,    0,    0
120431,19790327,    0,    0
