EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESTONIA, PARNU (STAID: 11359).
Blended and updated with sources: 175035 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
175035,19790101,   21,    0
175035,19790102,   12,    0
175035,19790103,   28,    0
175035,19790104,    6,    0
175035,19790105,    0,    0
175035,19790106,   32,    0
175035,19790107,   14,    0
175035,19790108,    4,    0
175035,19790109,   68,    0
175035,19790110,    6,    0
175035,19790111,    0,    0
175035,19790112,   80,    0
175035,19790113,   20,    0
175035,19790114,    5,    0
175035,19790115,    0,    0
175035,19790116,    0,    0
175035,19790117,    3,    0
175035,19790118,    0,    0
175035,19790119,    6,    0
175035,19790120,    0,    0
175035,19790121,    5,    0
175035,19790122,    0,    0
175035,19790123,   37,    0
175035,19790124,   48,    0
175035,19790125,    6,    0
175035,19790126,    6,    0
175035,19790127,   10,    0
175035,19790128,    0,    0
175035,19790129,    0,    0
175035,19790130,   29,    0
175035,19790131,   35,    0
175035,19790201,   85,    0
175035,19790202,   43,    0
175035,19790203,   68,    0
175035,19790204,    0,    0
175035,19790205,    0,    0
175035,19790206,    0,    0
175035,19790207,    3,    0
175035,19790208,   46,    0
175035,19790209,   10,    0
175035,19790210,   14,    0
175035,19790211,    2,    0
175035,19790212,   15,    0
175035,19790213,    0,    0
175035,19790214,    0,    0
175035,19790215,    0,    0
175035,19790216,    0,    0
175035,19790217,    0,    0
