EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESTONIA, PAKRI (STAID: 11360).
Blended and updated with sources: 175039 926029 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
175039,19790101,   15,    0
175039,19790102,   42,    0
175039,19790103,   36,    0
175039,19790104,    7,    0
175039,19790105,    0,    0
175039,19790106,   11,    0
175039,19790107,   33,    0
175039,19790108,    3,    0
175039,19790109,   53,    0
175039,19790110,   17,    0
175039,19790111,    0,    0
175039,19790112,   69,    0
175039,19790113,   10,    0
175039,19790114,    5,    0
175039,19790115,    0,    0
175039,19790116,    0,    0
175039,19790117,    4,    0
175039,19790118,    0,    0
175039,19790119,    0,    0
175039,19790120,    0,    0
175039,19790121,    2,    0
175039,19790122,    6,    0
175039,19790123,   35,    0
175039,19790124,   83,    0
175039,19790125,   26,    0
175039,19790126,   19,    0
175039,19790127,    3,    0
175039,19790128,    0,    0
175039,19790129,    0,    0
175039,19790130,   36,    0
175039,19790131,   13,    0
175039,19790201,   44,    0
175039,19790202,   17,    0
175039,19790203,   22,    0
175039,19790204,    3,    0
175039,19790205,    0,    0
175039,19790206,    0,    0
175039,19790207,    5,    0
175039,19790208,   37,    0
175039,19790209,    0,    0
175039,19790210,    0,    0
175039,19790211,    6,    0
175039,19790212,   39,    0
175039,19790213,    4,    0
175039,19790214,    0,    0
175039,19790215,    0,    0
175039,19790216,    0,    0
175039,19790217,    0,    0
175039,19790218,    0,    0
175039,19790219,    0,    0
175039,19790220,    0,    0
175039,19790221,    0,    0
175039,19790222,    0,    0
175039,19790223,    0,    0
175039,19790224,    0,    0
175039,19790225,    0,    0
175039,19790226,    4,    0
175039,19790227,    0,    0
175039,19790228,    0,    0
175039,19790301,   29,    0
175039,19790302,   21,    0
175039,19790303,   11,    0
175039,19790304,    0,    0
175039,19790305,    0,    0
175039,19790306,    0,    0
175039,19790307,   18,    0
175039,19790308,    0,    0
175039,19790309,    0,    0
175039,19790310,    0,    0
175039,19790311,    1,    0
175039,19790312,    0,    0
175039,19790313,   21,    0
175039,19790314,   14,    0
175039,19790315,    5,    0
175039,19790316,    0,    0
175039,19790317,    0,    0
175039,19790318,    0,    0
175039,19790319,    0,    0
175039,19790320,   23,    0
175039,19790321,   64,    0
175039,19790322,    3,    0
175039,19790323,   41,    0
175039,19790324,    0,    0
175039,19790325,    0,    0
175039,19790326,   15,    0
175039,19790327,   17,    0
175039,19790328,    0,    0
175039,19790329,    0,    0
175039,19790330,    4,    0
175039,19790331,   70,    0
175039,19790401,    2,    0
175039,19790402,    5,    0
175039,19790403,    0,    0
175039,19790404,    1,    0
175039,19790405,    0,    0
175039,19790406,    0,    0
175039,19790407,    0,    0
175039,19790408,    0,    0
175039,19790409,    0,    0
175039,19790410,    0,    0
175039,19790411,    0,    0
175039,19790412,    5,    0
175039,19790413,   37,    0
175039,19790414,    0,    0
175039,19790415,    0,    0
175039,19790416,    0,    0
175039,19790417,    6,    0
175039,19790418,    0,    0
175039,19790419,    0,    0
175039,19790420,    0,    0
