EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, AHTARI MYLLYMAKI (STAID: 718).
Blended and updated with sources: 144482 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144482,19790101,    2,    0
144482,19790102,    0,    0
144482,19790103,    5,    0
144482,19790104,    0,    0
144482,19790105,    0,    0
144482,19790106,   29,    0
144482,19790107,   32,    0
144482,19790108,   40,    0
144482,19790109,    0,    0
144482,19790110,   23,    0
144482,19790111,    0,    0
144482,19790112,   29,    0
144482,19790113,  110,    0
144482,19790114,   16,    0
144482,19790115,   12,    0
144482,19790116,    0,    0
144482,19790117,    4,    0
144482,19790118,    0,    0
144482,19790119,    0,    0
144482,19790120,    0,    0
144482,19790121,    0,    0
144482,19790122,   12,    0
144482,19790123,   24,    0
144482,19790124,   17,    0
144482,19790125,   17,    0
144482,19790126,   51,    0
144482,19790127,   49,    0
144482,19790128,    0,    0
144482,19790129,    0,    0
144482,19790130,    3,    0
144482,19790131,    0,    0
144482,19790201,   28,    0
144482,19790202,   37,    0
144482,19790203,    5,    0
144482,19790204,    3,    0
144482,19790205,    0,    0
144482,19790206,    0,    0
144482,19790207,    7,    0
144482,19790208,   36,    0
144482,19790209,   18,    0
144482,19790210,    6,    0
144482,19790211,    4,    0
144482,19790212,    7,    0
144482,19790213,    0,    0
144482,19790214,    0,    0
144482,19790215,    0,    0
144482,19790216,    0,    0
144482,19790217,    0,    0
144482,19790218,    0,    0
144482,19790219,    0,    0
144482,19790220,    5,    0
144482,19790221,    1,    0
144482,19790222,    0,    0
144482,19790223,    7,    0
144482,19790224,    1,    0
144482,19790225,   19,    0
144482,19790226,    0,    0
144482,19790227,    0,    0
144482,19790228,    6,    0
144482,19790301,    2,    0
144482,19790302,   20,    0
144482,19790303,   23,    0
144482,19790304,    0,    0
144482,19790305,    0,    0
144482,19790306,    0,    0
144482,19790307,    0,    0
144482,19790308,   15,    0
144482,19790309,    4,    0
144482,19790310,    0,    0
144482,19790311,    6,    0
144482,19790312,   19,    0
144482,19790313,   14,    0
144482,19790314,    1,    0
144482,19790315,    0,    0
144482,19790316,    0,    0
144482,19790317,    0,    0
144482,19790318,    0,    0
144482,19790319,   11,    0
144482,19790320,    1,    0
144482,19790321,   45,    0
144482,19790322,   37,    0
144482,19790323,    2,    0
144482,19790324,   38,    0
144482,19790325,    9,    0
144482,19790326,    3,    0
144482,19790327,    6,    0
144482,19790328,    0,    0
144482,19790329,    0,    0
144482,19790330,    0,    0
144482,19790331,    0,    0
144482,19790401,    3,    0
144482,19790402,    0,    0
144482,19790403,   25,    0
144482,19790404,   13,    0
144482,19790405,   33,    0
144482,19790406,    8,    0
144482,19790407,    0,    0
144482,19790408,    9,    0
144482,19790409,    0,    0
144482,19790410,    0,    0
144482,19790411,    0,    0
144482,19790412,    0,    0
144482,19790413,    7,    0
144482,19790414,   15,    0
144482,19790415,    1,    0
144482,19790416,    0,    0
144482,19790417,    1,    0
144482,19790418,    5,    0
144482,19790419,    0,    0
144482,19790420,    4,    0
144482,19790421,    3,    0
144482,19790422,    0,    0
144482,19790423,    0,    0
144482,19790424,    0,    0
144482,19790425,   21,    0
144482,19790426,   71,    0
144482,19790427,   23,    0
144482,19790428,    0,    0
144482,19790429,   51,    0
144482,19790430,   52,    0
144482,19790501,    8,    0
144482,19790502,   33,    0
144482,19790503,   38,    0
