EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, HANKO TVARMINNE (STAID: 6982).
Blended and updated with sources: 142025 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142025,19790101,    0,    0
142025,19790102,   20,    0
142025,19790103,   47,    0
142025,19790104,    5,    0
142025,19790105,    0,    0
142025,19790106,    5,    0
142025,19790107,   56,    0
142025,19790108,    5,    0
142025,19790109,    1,    0
142025,19790110,   69,    0
142025,19790111,    0,    0
142025,19790112,   18,    0
142025,19790113,   44,    0
142025,19790114,   25,    0
142025,19790115,    1,    0
142025,19790116,    1,    0
142025,19790117,    1,    0
142025,19790118,    3,    0
142025,19790119,    0,    0
142025,19790120,    0,    0
142025,19790121,    1,    0
142025,19790122,    4,    0
142025,19790123,    9,    0
142025,19790124,   35,    0
142025,19790125,   54,    0
142025,19790126,  118,    0
142025,19790127,   15,    0
142025,19790128,    1,    0
142025,19790129,    0,    0
142025,19790130,    1,    0
142025,19790131,   14,    0
142025,19790201,   69,    0
142025,19790202,   65,    0
142025,19790203,   40,    0
142025,19790204,   14,    0
142025,19790205,    0,    0
142025,19790206,    2,    0
142025,19790207,    1,    0
142025,19790208,    6,    0
142025,19790209,   15,    0
142025,19790210,    3,    0
142025,19790211,    1,    0
142025,19790212,   29,    0
142025,19790213,    0,    0
142025,19790214,    0,    0
142025,19790215,    0,    0
142025,19790216,    0,    0
142025,19790217,    0,    0
142025,19790218,    0,    0
142025,19790219,    0,    0
142025,19790220,    0,    0
142025,19790221,    0,    0
142025,19790222,    0,    0
142025,19790223,    0,    0
142025,19790224,    0,    0
142025,19790225,    0,    0
142025,19790226,    0,    0
142025,19790227,    2,    0
142025,19790228,    0,    0
142025,19790301,   16,    0
142025,19790302,   18,    0
142025,19790303,   34,    0
142025,19790304,    0,    0
142025,19790305,    0,    0
142025,19790306,    0,    0
142025,19790307,    2,    0
142025,19790308,    4,    0
142025,19790309,    1,    0
142025,19790310,    4,    0
142025,19790311,    3,    0
142025,19790312,    0,    0
142025,19790313,   14,    0
142025,19790314,   15,    0
142025,19790315,    0,    0
142025,19790316,    0,    0
142025,19790317,    0,    0
142025,19790318,    0,    0
142025,19790319,    3,    0
142025,19790320,    0,    0
142025,19790321,   94,    0
142025,19790322,    9,    0
142025,19790323,   54,    0
142025,19790324,    7,    0
142025,19790325,    0,    0
142025,19790326,    3,    0
142025,19790327,   75,    0
142025,19790328,    1,    0
142025,19790329,    0,    0
142025,19790330,    0,    0
142025,19790331,   12,    0
142025,19790401,   33,    0
142025,19790402,   25,    0
142025,19790403,   13,    0
142025,19790404,    0,    0
142025,19790405,    0,    0
142025,19790406,    0,    0
142025,19790407,    0,    0
142025,19790408,    0,    0
142025,19790409,    0,    0
142025,19790410,    0,    0
142025,19790411,    0,    0
142025,19790412,    0,    0
142025,19790413,   90,    0
142025,19790414,    2,    0
142025,19790415,    0,    0
142025,19790416,    0,    0
142025,19790417,    0,    0
142025,19790418,    3,    0
142025,19790419,    0,    0
142025,19790420,    0,    0
142025,19790421,    0,    0
142025,19790422,    0,    0
142025,19790423,    0,    0
142025,19790424,    2,    0
142025,19790425,   26,    0
142025,19790426,   35,    0
142025,19790427,    0,    0
142025,19790428,    1,    0
142025,19790429,   28,    0
142025,19790430,   49,    0
142025,19790501,    5,    0
142025,19790502,   14,    0
142025,19790503,   15,    0
142025,19790504,    0,    0
142025,19790505,    1,    0
142025,19790506,    0,    0
142025,19790507,    3,    0
142025,19790508,   20,    0
142025,19790509,    2,    0
142025,19790510,    4,    0
142025,19790511,   89,    0
142025,19790512,    0,    0
142025,19790513,    0,    0
142025,19790514,    0,    0
142025,19790515,    6,    0
142025,19790516,    1,    0
142025,19790517,    0,    0
142025,19790518,    7,    0
142025,19790519,    1,    0
142025,19790520,    0,    0
142025,19790521,    0,    0
142025,19790522,   58,    0
142025,19790523,    1,    0
142025,19790524,    1,    0
142025,19790525,    0,    0
142025,19790526,    0,    0
142025,19790527,    0,    0
142025,19790528,    3,    0
142025,19790529,    0,    0
142025,19790530,    0,    0
142025,19790531,    0,    0
142025,19790601,    0,    0
142025,19790602,    0,    0
142025,19790603,    0,    0
142025,19790604,    0,    0
142025,19790605,    0,    0
142025,19790606,    0,    0
142025,19790607,    0,    0
142025,19790608,    2,    0
142025,19790609,   82,    0
142025,19790610,    0,    0
142025,19790611,    0,    0
142025,19790612,    0,    0
142025,19790613,   70,    0
142025,19790614,   70,    0
142025,19790615,    5,    0
142025,19790616,    1,    0
142025,19790617,   46,    0
142025,19790618,    0,    0
142025,19790619,    0,    0
142025,19790620,    0,    0
142025,19790621,    0,    0
142025,19790622,    0,    0
142025,19790623,    0,    0
142025,19790624,    0,    0
142025,19790625,    1,    0
142025,19790626,    0,    0
142025,19790627,   16,    0
142025,19790628,    1,    0
142025,19790629,    1,    0
142025,19790630,    0,    0
142025,19790701,    0,    0
142025,19790702,    0,    0
142025,19790703,  111,    0
142025,19790704,   23,    0
142025,19790705,   42,    0
142025,19790706,   26,    0
142025,19790707,   15,    0
142025,19790708,    1,    0
142025,19790709,    0,    0
142025,19790710,   11,    0
142025,19790711,    1,    0
142025,19790712,    1,    0
142025,19790713,    9,    0
142025,19790714,   51,    0
142025,19790715,    1,    0
142025,19790716,   12,    0
142025,19790717,   10,    0
142025,19790718,    0,    0
142025,19790719,  118,    0
142025,19790720,   42,    0
142025,19790721,   11,    0
142025,19790722,   25,    0
142025,19790723,    2,    0
142025,19790724,   11,    0
142025,19790725,    1,    0
142025,19790726,   15,    0
142025,19790727,   16,    0
142025,19790728,   16,    0
142025,19790729,    7,    0
142025,19790730,    1,    0
142025,19790731,    0,    0
142025,19790801,    0,    0
142025,19790802,   20,    0
142025,19790803,    2,    0
142025,19790804,    0,    0
142025,19790805,    1,    0
142025,19790806,    0,    0
142025,19790807,    0,    0
142025,19790808,    0,    0
142025,19790809,    0,    0
142025,19790810,    6,    0
142025,19790811,   29,    0
142025,19790812,    1,    0
142025,19790813,   28,    0
142025,19790814,    2,    0
142025,19790815,    2,    0
142025,19790816,    1,    0
142025,19790817,    1,    0
142025,19790818,    0,    0
142025,19790819,   33,    0
142025,19790820,    4,    0
142025,19790821,    0,    0
142025,19790822,    1,    0
142025,19790823,    0,    0
142025,19790824,    0,    0
142025,19790825,  211,    0
142025,19790826,  201,    0
142025,19790827,    8,    0
142025,19790828,  155,    0
142025,19790829,    1,    0
142025,19790830,    0,    0
142025,19790831,    0,    0
142025,19790901,   70,    0
142025,19790902,    4,    0
142025,19790903,    2,    0
142025,19790904,   48,    0
142025,19790905,   19,    0
142025,19790906,    0,    0
142025,19790907,    0,    0
142025,19790908,    0,    0
142025,19790909,   33,    0
142025,19790910,    1,    0
142025,19790911,   65,    0
142025,19790912,    0,    0
142025,19790913,   28,    0
142025,19790914,  114,    0
142025,19790915,    6,    0
142025,19790916,    3,    0
142025,19790917,   81,    0
142025,19790918,  133,    0
142025,19790919,   20,    0
142025,19790920,  215,    0
142025,19790921,   35,    0
142025,19790922,    0,    0
142025,19790923,    0,    0
142025,19790924,    1,    0
142025,19790925,    1,    0
142025,19790926,    6,    0
142025,19790927,   15,    0
142025,19790928,    3,    0
142025,19790929,   42,    0
142025,19790930,    2,    0
142025,19791001,    0,    0
142025,19791002,    0,    0
142025,19791003,    0,    0
142025,19791004,   40,    0
142025,19791005,    0,    0
142025,19791006,    1,    0
142025,19791007,    0,    0
142025,19791008,    1,    0
