EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, VANTAA HELSINKI-VANTAAN LENTOASEMA (STAID: 6992).
Blended and updated with sources: 142080 142261 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142080,19790101,    1,    0
142080,19790102,    5,    0
142080,19790103,   23,    0
142080,19790104,    2,    0
142080,19790105,    0,    0
142080,19790106,    5,    0
142080,19790107,    3,    0
142080,19790108,    1,    0
142080,19790109,    2,    0
142080,19790110,   42,    0
142080,19790111,    1,    0
142080,19790112,   57,    0
142080,19790113,   87,    0
142080,19790114,   14,    0
142080,19790115,    1,    0
142080,19790116,    1,    0
142080,19790117,    1,    0
142080,19790118,    1,    0
142080,19790119,    1,    0
142080,19790120,    0,    0
142080,19790121,    0,    0
142080,19790122,    2,    0
142080,19790123,    6,    0
142080,19790124,   17,    0
142080,19790125,   13,    0
142080,19790126,   67,    0
142080,19790127,   11,    0
142080,19790128,    1,    0
142080,19790129,    1,    0
142080,19790130,    0,    0
142080,19790131,   11,    0
142080,19790201,   19,    0
142080,19790202,   94,    0
142080,19790203,   28,    0
142080,19790204,    2,    0
142080,19790205,    1,    0
142080,19790206,    1,    0
142080,19790207,    2,    0
142080,19790208,   11,    0
142080,19790209,   19,    0
142080,19790210,    1,    0
142080,19790211,    3,    0
142080,19790212,    1,    0
142080,19790213,    0,    0
142080,19790214,    0,    0
142080,19790215,    0,    0
142080,19790216,    0,    0
142080,19790217,    0,    0
142080,19790218,    0,    0
142080,19790219,    0,    0
142080,19790220,    0,    0
142080,19790221,    1,    0
142080,19790222,    0,    0
142080,19790223,    1,    0
142080,19790224,    1,    0
142080,19790225,    0,    0
142080,19790226,    0,    0
142080,19790227,    1,    0
142080,19790228,    1,    0
142080,19790301,   10,    0
142080,19790302,   17,    0
142080,19790303,    7,    0
142080,19790304,    0,    0
142080,19790305,    0,    0
142080,19790306,    0,    0
142080,19790307,    0,    0
142080,19790308,   19,    0
142080,19790309,    1,    0
142080,19790310,    1,    0
142080,19790311,    4,    0
142080,19790312,    1,    0
142080,19790313,   28,    0
142080,19790314,    4,    0
142080,19790315,    0,    0
142080,19790316,    0,    0
142080,19790317,    0,    0
142080,19790318,    0,    0
142080,19790319,    1,    0
142080,19790320,    1,    0
142080,19790321,   60,    0
142080,19790322,    4,    0
142080,19790323,   43,    0
142080,19790324,   20,    0
142080,19790325,    0,    0
142080,19790326,    0,    0
142080,19790327,   55,    0
142080,19790328,    2,    0
142080,19790329,    0,    0
142080,19790330,    0,    0
142080,19790331,    8,    0
142080,19790401,    6,    0
142080,19790402,   43,    0
142080,19790403,    5,    0
142080,19790404,    0,    0
142080,19790405,    0,    0
142080,19790406,    2,    0
142080,19790407,    0,    0
142080,19790408,    0,    0
142080,19790409,    0,    0
142080,19790410,    0,    0
142080,19790411,    0,    0
142080,19790412,    0,    0
142080,19790413,   12,    0
142080,19790414,    6,    0
142080,19790415,    0,    0
142080,19790416,    0,    0
142080,19790417,    0,    0
142080,19790418,    0,    0
142080,19790419,    0,    0
142080,19790420,    0,    0
142080,19790421,    0,    0
142080,19790422,    0,    0
142080,19790423,    0,    0
142080,19790424,    0,    0
142080,19790425,   61,    0
142080,19790426,   82,    0
142080,19790427,    0,    0
142080,19790428,    0,    0
142080,19790429,   15,    0
142080,19790430,   88,    0
142080,19790501,    3,    0
142080,19790502,   50,    0
142080,19790503,   45,    0
142080,19790504,    0,    0
142080,19790505,    0,    0
142080,19790506,   24,    0
142080,19790507,   87,    0
142080,19790508,   24,    0
142080,19790509,    5,    0
142080,19790510,    9,    0
142080,19790511,    8,    0
142080,19790512,    0,    0
142080,19790513,    0,    0
142080,19790514,    0,    0
142080,19790515,    0,    0
142080,19790516,    0,    0
142080,19790517,    0,    0
142080,19790518,    0,    0
142080,19790519,    0,    0
142080,19790520,    0,    0
142080,19790521,    0,    0
142080,19790522,    0,    0
142080,19790523,    3,    0
142080,19790524,    6,    0
142080,19790525,    0,    0
142080,19790526,    0,    0
142080,19790527,    0,    0
142080,19790528,   40,    0
142080,19790529,    1,    0
142080,19790530,    0,    0
142080,19790531,    0,    0
142080,19790601,    0,    0
142080,19790602,    0,    0
142080,19790603,    0,    0
142080,19790604,    0,    0
142080,19790605,    0,    0
142080,19790606,    0,    0
142080,19790607,    0,    0
142080,19790608,    1,    0
142080,19790609,   57,    0
142080,19790610,    0,    0
142080,19790611,    0,    0
142080,19790612,    5,    0
142080,19790613,  197,    0
142080,19790614,   52,    0
142080,19790615,   57,    0
142080,19790616,    0,    0
142080,19790617,   18,    0
142080,19790618,    0,    0
142080,19790619,    0,    0
142080,19790620,    0,    0
142080,19790621,    0,    0
142080,19790622,    0,    0
142080,19790623,    0,    0
142080,19790624,    0,    0
142080,19790625,   16,    0
142080,19790626,    4,    0
142080,19790627,   10,    0
142080,19790628,   29,    0
142080,19790629,    9,    0
142080,19790630,    1,    0
142080,19790701,   40,    0
142080,19790702,   14,    0
142080,19790703,   31,    0
142080,19790704,    8,    0
142080,19790705,   83,    0
142080,19790706,   94,    0
142080,19790707,   95,    0
142080,19790708,   11,    0
142080,19790709,    0,    0
142080,19790710,   16,    0
142080,19790711,    6,    0
142080,19790712,    0,    0
142080,19790713,  114,    0
142080,19790714,   39,    0
142080,19790715,    0,    0
142080,19790716,   41,    0
142080,19790717,    8,    0
142080,19790718,    0,    0
142080,19790719,   77,    0
142080,19790720,   69,    0
142080,19790721,   24,    0
142080,19790722,   15,    0
142080,19790723,   75,    0
