EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, PORVOO NORRVECKOSKI (STAID: 7031).
Blended and updated with sources: 142266 142286 142331 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142286,19790101,    0,    0
142286,19790102,   24,    0
142286,19790103,   42,    0
142286,19790104,    0,    0
142286,19790105,    0,    0
142286,19790106,   11,    0
142286,19790107,   22,    0
142286,19790108,    0,    0
142286,19790109,    0,    0
142286,19790110,   82,    0
142286,19790111,    0,    0
142286,19790112,  123,    0
142286,19790113,   77,    0
142286,19790114,   19,    0
142286,19790115,    0,    0
142286,19790116,    0,    0
142286,19790117,    0,    0
142286,19790118,    0,    0
142286,19790119,    0,    0
142286,19790120,    0,    0
142286,19790121,    0,    0
142286,19790122,    8,    0
142286,19790123,   10,    0
142286,19790124,   26,    0
142286,19790125,   23,    0
142286,19790126,  139,    0
142286,19790127,   22,    0
142286,19790128,    0,    0
142286,19790129,    0,    0
142286,19790130,    0,    0
142286,19790131,    9,    0
142286,19790201,   36,    0
142286,19790202,  135,    0
142286,19790203,   32,    0
142286,19790204,    0,    0
142286,19790205,    0,    0
142286,19790206,    0,    0
142286,19790207,    0,    0
142286,19790208,   23,    0
142286,19790209,    0,    0
142286,19790210,    0,    0
142286,19790211,   24,    0
142286,19790212,    0,    0
142286,19790213,    0,    0
142286,19790214,    0,    0
142286,19790215,    0,    0
142286,19790216,    0,    0
142286,19790217,    0,    0
142286,19790218,    0,    0
142286,19790219,    0,    0
142286,19790220,    0,    0
142286,19790221,    0,    0
142286,19790222,    0,    0
142286,19790223,    0,    0
142286,19790224,    0,    0
142286,19790225,    0,    0
142286,19790226,    3,    0
142286,19790227,    0,    0
142286,19790228,    0,    0
142286,19790301,   19,    0
142286,19790302,   49,    0
142286,19790303,   27,    0
142286,19790304,    0,    0
142286,19790305,    0,    0
142286,19790306,    0,    0
142286,19790307,    0,    0
142286,19790308,    4,    0
142286,19790309,    0,    0
142286,19790310,    0,    0
142286,19790311,    0,    0
142286,19790312,   18,    0
142286,19790313,   34,    0
142286,19790314,    0,    0
142286,19790315,    0,    0
142286,19790316,    0,    0
142286,19790317,    0,    0
142286,19790318,    0,    0
142286,19790319,    0,    0
142286,19790320,    7,    0
142286,19790321,   52,    0
142286,19790322,   14,    0
142286,19790323,   24,    0
142286,19790324,    0,    0
142286,19790325,    0,    0
142286,19790326,    0,    0
142286,19790327,  122,    0
142286,19790328,    0,    0
142286,19790329,    0,    0
142286,19790330,    0,    0
142286,19790331,    5,    0
142286,19790401,    8,    0
142286,19790402,    0,    0
142286,19790403,    0,    0
142286,19790404,    0,    0
142286,19790405,    0,    0
142286,19790406,    0,    0
142286,19790407,    0,    0
142286,19790408,    0,    0
142286,19790409,    0,    0
142286,19790410,    0,    0
142286,19790411,    0,    0
142286,19790412,    0,    0
142286,19790413,   36,    0
142286,19790414,    0,    0
142286,19790415,    0,    0
142286,19790416,    0,    0
142286,19790417,    0,    0
142286,19790418,    0,    0
142286,19790419,    0,    0
142286,19790420,    0,    0
142286,19790421,    0,    0
142286,19790422,    0,    0
142286,19790423,    0,    0
142286,19790424,    0,    0
142286,19790425,   37,    0
142286,19790426,   74,    0
142286,19790427,    0,    0
142286,19790428,    0,    0
142286,19790429,   14,    0
142286,19790430,   92,    0
142286,19790501,    0,    0
142286,19790502,   91,    0
142286,19790503,   52,    0
142286,19790504,    0,    0
142286,19790505,    0,    0
142286,19790506,   72,    0
142286,19790507,   47,    0
142286,19790508,    0,    0
142286,19790509,    0,    0
142286,19790510,   19,    0
142286,19790511,    0,    0
142286,19790512,    0,    0
142286,19790513,    0,    0
142286,19790514,    0,    0
142286,19790515,    0,    0
142286,19790516,    0,    0
142286,19790517,    0,    0
142286,19790518,    0,    0
142286,19790519,    0,    0
142286,19790520,    0,    0
142286,19790521,    0,    0
142286,19790522,    0,    0
142286,19790523,    0,    0
142286,19790524,   26,    0
142286,19790525,    0,    0
142286,19790526,    0,    0
142286,19790527,    0,    0
142286,19790528,   49,    0
142286,19790529,    0,    0
142286,19790530,    0,    0
142286,19790531,    0,    0
142286,19790601,    0,    0
142286,19790602,    0,    0
142286,19790603,    0,    0
142286,19790604,    0,    0
142286,19790605,    0,    0
142286,19790606,    0,    0
142286,19790607,    0,    0
142286,19790608,    0,    0
142286,19790609,   75,    0
142286,19790610,    0,    0
142286,19790611,    0,    0
142286,19790612,    0,    0
142286,19790613,   73,    0
142286,19790614,   65,    0
142286,19790615,   38,    0
142286,19790616,    0,    0
142286,19790617,    8,    0
142286,19790618,    0,    0
142286,19790619,    0,    0
142286,19790620,    0,    0
142286,19790621,    0,    0
142286,19790622,    0,    0
142286,19790623,    0,    0
