EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, KOKEMAKI ASKOLA (STAID: 7088).
Blended and updated with sources: 142526 142591 142631 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142591,19790101,    0,    0
142591,19790102,    0,    0
142591,19790103,   27,    0
142591,19790104,    0,    0
142591,19790105,    0,    0
142591,19790106,   27,    0
142591,19790107,  108,    0
142591,19790108,    5,    0
142591,19790109,    8,    0
142591,19790110,   25,    0
142591,19790111,    0,    0
142591,19790112,   13,    0
142591,19790113,   50,    0
142591,19790114,   12,    0
142591,19790115,    0,    0
142591,19790116,    0,    0
142591,19790117,    0,    0
142591,19790118,    0,    0
142591,19790119,    0,    0
142591,19790120,    0,    0
142591,19790121,    0,    0
142591,19790122,    0,    0
142591,19790123,   21,    0
142591,19790124,   41,    0
142591,19790125,   18,    0
142591,19790126,   65,    0
142591,19790127,   24,    0
142591,19790128,    0,    0
142591,19790129,    0,    0
142591,19790130,    0,    0
142591,19790131,    0,    0
142591,19790201,   21,    0
142591,19790202,    0,    0
142591,19790203,   25,    0
142591,19790204,    4,    0
142591,19790205,    1,    0
142591,19790206,    2,    0
142591,19790207,    0,    0
142591,19790208,    0,    0
142591,19790209,    8,    0
142591,19790210,    0,    0
142591,19790211,    0,    0
142591,19790212,   12,    0
142591,19790213,    0,    0
142591,19790214,    0,    0
142591,19790215,    0,    0
142591,19790216,    0,    0
142591,19790217,    0,    0
142591,19790218,    0,    0
142591,19790219,    0,    0
142591,19790220,    3,    0
142591,19790221,    0,    0
142591,19790222,    0,    0
142591,19790223,   11,    0
142591,19790224,    0,    0
142591,19790225,    0,    0
142591,19790226,    0,    0
142591,19790227,    0,    0
142591,19790228,    3,    0
142591,19790301,    1,    0
142591,19790302,   56,    0
142591,19790303,    4,    0
142591,19790304,    0,    0
142591,19790305,    0,    0
142591,19790306,    0,    0
142591,19790307,    0,    0
142591,19790308,   11,    0
142591,19790309,    0,    0
142591,19790310,    0,    0
142591,19790311,    1,    0
142591,19790312,   10,    0
142591,19790313,   13,    0
142591,19790314,    0,    0
142591,19790315,    0,    0
142591,19790316,    0,    0
142591,19790317,    0,    0
142591,19790318,    0,    0
142591,19790319,    0,    0
142591,19790320,    0,    0
142591,19790321,   73,    0
142591,19790322,   31,    0
142591,19790323,   47,    0
142591,19790324,   22,    0
142591,19790325,    0,    0
142591,19790326,    9,    0
142591,19790327,   11,    0
142591,19790328,    0,    0
142591,19790329,    0,    0
142591,19790330,    0,    0
142591,19790331,    6,    0
142591,19790401,    6,    0
142591,19790402,   15,    0
142591,19790403,    4,    0
142591,19790404,    0,    0
142591,19790405,    0,    0
142591,19790406,    0,    0
142591,19790407,    0,    0
142591,19790408,    0,    0
142591,19790409,    0,    0
142591,19790410,    0,    0
142591,19790411,    0,    0
142591,19790412,    0,    0
142591,19790413,    6,    0
142591,19790414,    0,    0
142591,19790415,    0,    0
142591,19790416,    0,    0
142591,19790417,    9,    0
142591,19790418,    1,    0
142591,19790419,    0,    0
142591,19790420,    0,    0
142591,19790421,    0,    0
142591,19790422,    0,    0
142591,19790423,    0,    0
142591,19790424,    0,    0
142591,19790425,   49,    0
142591,19790426,   40,    0
142591,19790427,    4,    0
142591,19790428,    0,    0
142591,19790429,  103,    0
142591,19790430,   90,    0
142591,19790501,    9,    0
