EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, HAMEENKOSKI PALOMAA (STAID: 7147).
Blended and updated with sources: 142871 142896 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142896,19790101,    0,    0
142896,19790102,   15,    0
142896,19790103,   44,    0
142896,19790104,    0,    0
142896,19790105,    0,    0
142896,19790106,    8,    0
142896,19790107,   60,    0
142896,19790108,    5,    0
142896,19790109,    8,    0
142896,19790110,   82,    0
142896,19790111,    0,    0
142896,19790112,   36,    0
142896,19790113,   65,    0
142896,19790114,   15,    0
142896,19790115,    0,    0
142896,19790116,    0,    0
142896,19790117,    0,    0
142896,19790118,    4,    0
142896,19790119,    2,    0
142896,19790120,    0,    0
142896,19790121,    0,    0
142896,19790122,    8,    0
142896,19790123,    9,    0
142896,19790124,   49,    0
142896,19790125,   15,    0
142896,19790126,   48,    0
142896,19790127,   11,    0
142896,19790128,    1,    0
142896,19790129,    1,    0
142896,19790130,    0,    0
142896,19790131,    4,    0
142896,19790201,   15,    0
142896,19790202,   74,    0
142896,19790203,   15,    0
142896,19790204,    9,    0
142896,19790205,    1,    0
142896,19790206,    1,    0
142896,19790207,    1,    0
142896,19790208,    4,    0
142896,19790209,    8,    0
142896,19790210,    6,    0
142896,19790211,    6,    0
142896,19790212,    3,    0
142896,19790213,    0,    0
142896,19790214,    0,    0
142896,19790215,    0,    0
142896,19790216,    0,    0
142896,19790217,    0,    0
142896,19790218,    0,    0
142896,19790219,    0,    0
142896,19790220,    0,    0
142896,19790221,    0,    0
142896,19790222,    0,    0
142896,19790223,    2,    0
142896,19790224,    1,    0
142896,19790225,    1,    0
142896,19790226,    1,    0
142896,19790227,    1,    0
142896,19790228,    1,    0
142896,19790301,    5,    0
142896,19790302,   14,    0
142896,19790303,    2,    0
142896,19790304,    0,    0
142896,19790305,    1,    0
142896,19790306,    0,    0
142896,19790307,    1,    0
142896,19790308,    4,    0
142896,19790309,    0,    0
142896,19790310,    1,    0
142896,19790311,    1,    0
142896,19790312,   16,    0
142896,19790313,   40,    0
142896,19790314,    5,    0
