EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, LAMMI JAHKOLA-1 (STAID: 7149).
Blended and updated with sources: 142871 142906 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142871,19790101,    0,    0
142871,19790102,   20,    0
142871,19790103,   48,    0
142871,19790104,    0,    0
142871,19790105,    0,    0
142871,19790106,   11,    0
142871,19790107,   79,    0
142871,19790108,    0,    0
142871,19790109,    9,    0
142871,19790110,   80,    0
142871,19790111,    0,    0
142871,19790112,   48,    0
142871,19790113,   90,    0
142871,19790114,   18,    0
142871,19790115,    0,    0
142871,19790116,    0,    0
142871,19790117,    0,    0
142871,19790118,    5,    0
142871,19790119,    3,    0
142871,19790120,    0,    0
142871,19790121,    0,    0
142871,19790122,    8,    0
142871,19790123,   16,    0
142871,19790124,   77,    0
142871,19790125,   18,    0
142871,19790126,   73,    0
142871,19790127,   16,    0
142871,19790128,    0,    0
142871,19790129,    0,    0
142871,19790130,    0,    0
142871,19790131,    5,    0
142871,19790201,   14,    0
142871,19790202,  114,    0
142871,19790203,   20,    0
142871,19790204,   10,    0
142871,19790205,    0,    0
142871,19790206,    0,    0
142871,19790207,    4,    0
142871,19790208,    1,    0
142871,19790209,   12,    0
142871,19790210,    5,    0
142871,19790211,    6,    0
142871,19790212,    4,    0
142871,19790213,    0,    0
142871,19790214,    0,    0
142871,19790215,    0,    0
142871,19790216,    0,    0
142871,19790217,    0,    0
142871,19790218,    0,    0
142871,19790219,    0,    0
142871,19790220,    0,    0
142871,19790221,    0,    0
142871,19790222,    0,    0
142871,19790223,    2,    0
142871,19790224,    0,    0
142871,19790225,    0,    0
142871,19790226,    1,    0
142871,19790227,    0,    0
142871,19790228,    2,    0
142871,19790301,    5,    0
142871,19790302,   20,    0
142871,19790303,    5,    0
142871,19790304,    0,    0
142871,19790305,    0,    0
142871,19790306,    0,    0
142871,19790307,    0,    0
142871,19790308,    6,    0
142871,19790309,    0,    0
142871,19790310,    2,    0
142871,19790311,    9,    0
142871,19790312,   25,    0
142871,19790313,   40,    0
142871,19790314,    5,    0
142871,19790315,    1,    0
142871,19790316,    0,    0
142871,19790317,    0,    0
142871,19790318,    0,    0
142871,19790319,    1,    0
142871,19790320,    0,    0
142871,19790321,   69,    0
142871,19790322,    0,    0
142871,19790323,   14,    0
142871,19790324,   45,    0
142871,19790325,    0,    0
142871,19790326,    0,    0
142871,19790327,   18,    0
142871,19790328,    0,    0
142871,19790329,    0,    0
142871,19790330,    0,    0
142871,19790331,   13,    0
142871,19790401,    8,    0
142871,19790402,    5,    0
142871,19790403,    6,    0
142871,19790404,    0,    0
142871,19790405,    0,    0
142871,19790406,    0,    0
142871,19790407,    0,    0
142871,19790408,    0,    0
142871,19790409,    0,    0
142871,19790410,    0,    0
142871,19790411,    0,    0
142871,19790412,    0,    0
142871,19790413,   10,    0
142871,19790414,    8,    0
142871,19790415,    1,    0
142871,19790416,    0,    0
142871,19790417,    2,    0
142871,19790418,    1,    0
142871,19790419,    0,    0
142871,19790420,    0,    0
142871,19790421,    0,    0
142871,19790422,    0,    0
142871,19790423,    0,    0
142871,19790424,    0,    0
142871,19790425,   16,    0
142871,19790426,   70,    0
142871,19790427,    0,    0
142871,19790428,    0,    0
142871,19790429,    1,    0
142871,19790430,   69,    0
142871,19790501,    0,    0
142871,19790502,   31,    0
142871,19790503,   93,    0
142871,19790504,    0,    0
142871,19790505,    0,    0
142871,19790506,   39,    0
142871,19790507,  121,    0
142871,19790508,   41,    0
142871,19790509,    4,    0
142871,19790510,    5,    0
142871,19790511,    3,    0
142871,19790512,    0,    0
142871,19790513,    2,    0
142871,19790514,    0,    0
142871,19790515,    0,    0
142871,19790516,    0,    0
142871,19790517,    0,    0
142871,19790518,    1,    0
142871,19790519,    0,    0
142871,19790520,    0,    0
142871,19790521,    0,    0
142871,19790522,    8,    0
142871,19790523,    0,    0
142871,19790524,    0,    0
142871,19790525,    0,    0
142871,19790526,    0,    0
142871,19790527,    0,    0
142871,19790528,    3,    0
142871,19790529,    5,    0
142871,19790530,    0,    0
142871,19790531,    0,    0
142871,19790601,    0,    0
142871,19790602,    0,    0
142871,19790603,    0,    0
142871,19790604,    0,    0
142871,19790605,    0,    0
142871,19790606,    0,    0
142871,19790607,    0,    0
142871,19790608,    2,    0
142871,19790609,   16,    0
142871,19790610,    0,    0
142871,19790611,    0,    0
142871,19790612,    0,    0
142871,19790613,   52,    0
142871,19790614,   55,    0
142871,19790615,   65,    0
142871,19790616,    2,    0
142871,19790617,    0,    0
142871,19790618,    4,    0
142871,19790619,    0,    0
142871,19790620,    0,    0
142871,19790621,    0,    0
142871,19790622,    0,    0
142871,19790623,    0,    0
142871,19790624,    0,    0
142871,19790625,    0,    0
142871,19790626,    5,    0
142871,19790627,   54,    0
142871,19790628,  123,    0
142871,19790629,    5,    0
142871,19790630,    0,    0
142871,19790701,   30,    0
142871,19790702,  183,    0
142871,19790703,   41,    0
142871,19790704,   35,    0
142871,19790705,  124,    0
142871,19790706,   94,    0
142871,19790707,   39,    0
142871,19790708,   19,    0
142871,19790709,    5,    0
142871,19790710,  116,    0
142871,19790711,   66,    0
142871,19790712,   10,    0
142871,19790713,  125,    0
142871,19790714,  159,    0
142871,19790715,   64,    0
142871,19790716,   20,    0
142871,19790717,   16,    0
142871,19790718,    1,    0
142871,19790719,   48,    0
142871,19790720,  114,    0
142871,19790721,   17,    0
142871,19790722,   76,    0
142871,19790723,  136,    0
142871,19790724,    0,    0
142871,19790725,    0,    0
142871,19790726,  283,    0
142871,19790727,   97,    0
142871,19790728,    0,    0
142871,19790729,    1,    0
142871,19790730,    0,    0
142871,19790731,    1,    0
142871,19790801,   14,    0
142871,19790802,   43,    0
142871,19790803,   28,    0
142871,19790804,    2,    0
142871,19790805,    0,    0
142871,19790806,    0,    0
142871,19790807,    0,    0
142871,19790808,    0,    0
142871,19790809,   55,    0
142871,19790810,    4,    0
142871,19790811,    1,    0
142871,19790812,   15,    0
142871,19790813,    0,    0
142871,19790814,    0,    0
142871,19790815,    0,    0
142871,19790816,    0,    0
142871,19790817,    0,    0
142871,19790818,    0,    0
142871,19790819,   34,    0
142871,19790820,   28,    0
142871,19790821,   14,    0
142871,19790822,    0,    0
142871,19790823,   69,    0
142871,19790824,    0,    0
142871,19790825,   59,    0
142871,19790826,  278,    0
142871,19790827,    1,    0
142871,19790828,    0,    0
142871,19790829,   14,    0
142871,19790830,    0,    0
142871,19790831,    0,    0
142871,19790901,   37,    0
142871,19790902,    0,    0
142871,19790903,    6,    0
142871,19790904,    0,    0
142871,19790905,   74,    0
142871,19790906,    0,    0
142871,19790907,    0,    0
142871,19790908,    0,    0
142871,19790909,    0,    0
142871,19790910,    0,    0
142871,19790911,  238,    0
142871,19790912,   34,    0
142871,19790913,   44,    0
142871,19790914,   18,    0
142871,19790915,   30,    0
142871,19790916,    0,    0
142871,19790917,   79,    0
142871,19790918,   45,    0
142871,19790919,    0,    0
142871,19790920,   29,    0
142871,19790921,   58,    0
142871,19790922,    0,    0
142871,19790923,    0,    0
142871,19790924,    0,    0
142871,19790925,    0,    0
142871,19790926,   14,    0
142871,19790927,   43,    0
142871,19790928,    1,    0
142871,19790929,   31,    0
142871,19790930,    5,    0
142871,19791001,    0,    0
142871,19791002,    0,    0
142871,19791003,    7,    0
142871,19791004,   10,    0
142871,19791005,    0,    0
142871,19791006,    3,    0
142871,19791007,    1,    0
142871,19791008,    3,    0
142871,19791009,    0,    0
142871,19791010,   12,    0
142871,19791011,    6,    0
142871,19791012,    5,    0
142871,19791013,    6,    0
142871,19791014,    1,    0
142871,19791015,    0,    0
142871,19791016,   10,    0
142871,19791017,    8,    0
142871,19791018,   29,    0
142871,19791019,   32,    0
142871,19791020,    4,    0
142871,19791021,    4,    0
142871,19791022,    0,    0
142871,19791023,    0,    0
142871,19791024,    0,    0
142871,19791025,    0,    0
142871,19791026,    0,    0
142871,19791027,    0,    0
142871,19791028,    2,    0
142871,19791029,    1,    0
142871,19791030,    0,    0
142871,19791031,    0,    0
142871,19791101,    3,    0
142871,19791102,    1,    0
142871,19791103,    0,    0
142871,19791104,   42,    0
142871,19791105,   12,    0
142871,19791106,   74,    0
142871,19791107,    2,    0
142871,19791108,    4,    0
142871,19791109,   14,    0
142871,19791110,    0,    0
142871,19791111,   17,    0
142871,19791112,   35,    0
142871,19791113,   40,    0
142871,19791114,   17,    0
142871,19791115,    7,    0
142871,19791116,   87,    0
142871,19791117,    0,    0
142871,19791118,   29,    0
142871,19791119,   11,    0
142871,19791120,    5,    0
142871,19791121,    1,    0
142871,19791122,    7,    0
142871,19791123,   10,    0
142871,19791124,  109,    0
142871,19791125,   17,    0
142871,19791126,  210,    0
142871,19791127,   10,    0
142871,19791128,   10,    0
142871,19791129,  153,    0
142871,19791130,    2,    0
142871,19791201,   53,    0
142871,19791202,    9,    0
142871,19791203,    0,    0
142871,19791204,   12,    0
142871,19791205,   37,    0
142871,19791206,    5,    0
142871,19791207,    0,    0
142871,19791208,    0,    0
142871,19791209,    5,    0
142871,19791210,    0,    0
142871,19791211,    2,    0
142871,19791212,    0,    0
142871,19791213,    0,    0
142871,19791214,   40,    0
142871,19791215,   35,    0
142871,19791216,   50,    0
142871,19791217,   76,    0
142871,19791218,    8,    0
142871,19791219,    0,    0
142871,19791220,    0,    0
142871,19791221,    0,    0
142871,19791222,    5,    0
142871,19791223,    8,    0
142871,19791224,   11,    0
142871,19791225,    6,    0
142871,19791226,   11,    0
142871,19791227,    0,    0
142871,19791228,    0,    0
142871,19791229,    3,    0
142871,19791230,    7,    0
142871,19791231,   26,    0
142871,19800101,   15,    0
142871,19800102,   51,    0
142871,19800103,   43,    0
142871,19800104,    0,    0
142871,19800105,    0,    0
142871,19800106,   19,    0
142871,19800107,   25,    0
142871,19800108,    5,    0
142871,19800109,    6,    0
142871,19800110,    0,    0
142871,19800111,    0,    0
142871,19800112,    2,    0
142871,19800113,    0,    0
142871,19800114,    0,    0
142871,19800115,   13,    0
142871,19800116,    7,    0
142871,19800117,    3,    0
142871,19800118,    0,    0
142871,19800119,    0,    0
142871,19800120,    0,    0
142871,19800121,    0,    0
142871,19800122,    2,    0
142871,19800123,    7,    0
142871,19800124,    8,    0
142871,19800125,    7,    0
142871,19800126,    0,    0
142871,19800127,    0,    0
142871,19800128,    0,    0
142871,19800129,   25,    0
142871,19800130,    0,    0
142871,19800131,    0,    0
142871,19800201,    0,    0
142871,19800202,    2,    0
142871,19800203,    8,    0
142871,19800204,    0,    0
142871,19800205,    0,    0
142871,19800206,    5,    0
142871,19800207,    3,    0
142871,19800208,    0,    0
142871,19800209,    0,    0
142871,19800210,    0,    0
142871,19800211,    0,    0
142871,19800212,    0,    0
142871,19800213,   18,    0
142871,19800214,   19,    0
142871,19800215,    3,    0
142871,19800216,   10,    0
142871,19800217,    0,    0
142871,19800218,    0,    0
142871,19800219,    0,    0
142871,19800220,    0,    0
142871,19800221,    0,    0
142871,19800222,    0,    0
142871,19800223,    0,    0
142871,19800224,    0,    0
142871,19800225,    0,    0
142871,19800226,    0,    0
142871,19800227,    0,    0
142871,19800228,    1,    0
142871,19800229,    0,    0
142871,19800301,    0,    0
142871,19800302,   29,    0
142871,19800303,    4,    0
142871,19800304,    2,    0
142871,19800305,    6,    0
142871,19800306,    0,    0
142871,19800307,    0,    0
142871,19800308,    0,    0
142871,19800309,    0,    0
142871,19800310,    0,    0
142871,19800311,    0,    0
142871,19800312,    0,    0
142871,19800313,    0,    0
142871,19800314,    0,    0
142871,19800315,    0,    0
142871,19800316,    1,    0
142871,19800317,    0,    0
142871,19800318,    0,    0
142871,19800319,    0,    0
142871,19800320,    0,    0
142871,19800321,    0,    0
142871,19800322,    0,    0
142871,19800323,    0,    0
142871,19800324,    0,    0
142871,19800325,    0,    0
142871,19800326,    6,    0
142871,19800327,   16,    0
142871,19800328,    1,    0
142871,19800329,    0,    0
142871,19800330,   30,    0
142871,19800331,    8,    0
142871,19800401,    0,    0
142871,19800402,    0,    0
142871,19800403,    0,    0
142871,19800404,    0,    0
142871,19800405,    2,    0
142871,19800406,    0,    0
142871,19800407,    0,    0
142871,19800408,    0,    0
142871,19800409,    0,    0
142871,19800410,    0,    0
142871,19800411,    5,    0
142871,19800412,    0,    0
142871,19800413,    0,    0
142871,19800414,    0,    0
142871,19800415,    0,    0
142871,19800416,    0,    0
142871,19800417,    0,    0
142871,19800418,   18,    0
142871,19800419,  106,    0
142871,19800420,   18,    0
142871,19800421,    2,    0
142871,19800422,    0,    0
142871,19800423,    0,    0
142871,19800424,    8,    0
142871,19800425,    0,    0
142871,19800426,   55,    0
142871,19800427,    0,    0
142871,19800428,   43,    0
142871,19800429,   15,    0
142871,19800430,    0,    0
142871,19800501,    0,    0
142871,19800502,    0,    0
142871,19800503,    0,    0
142871,19800504,    0,    0
142871,19800505,    0,    0
142871,19800506,    0,    0
142871,19800507,    0,    0
142871,19800508,   81,    0
142871,19800509,    0,    0
142871,19800510,   15,    0
142871,19800511,    0,    0
142871,19800512,    1,    0
142871,19800513,    0,    0
142871,19800514,    0,    0
142871,19800515,    0,    0
142871,19800516,    0,    0
142871,19800517,    0,    0
142871,19800518,   84,    0
142871,19800519,    0,    0
142871,19800520,    0,    0
142871,19800521,    1,    0
142871,19800522,    0,    0
142871,19800523,   36,    0
142871,19800524,   70,    0
142871,19800525,   29,    0
142871,19800526,   89,    0
142871,19800527,    1,    0
142871,19800528,    0,    0
142871,19800529,    0,    0
142871,19800530,   11,    0
142871,19800531,    0,    0
142871,19800601,    0,    0
142871,19800602,    0,    0
142871,19800603,    0,    0
142871,19800604,    0,    0
142871,19800605,    0,    0
142871,19800606,    0,    0
142871,19800607,    0,    0
142871,19800608,    0,    0
142871,19800609,    0,    0
142871,19800610,   63,    0
142871,19800611,   94,    0
142871,19800612,    0,    0
142871,19800613,    0,    0
142871,19800614,    7,    0
142871,19800615,    0,    0
142871,19800616,    0,    0
142871,19800617,    0,    0
142871,19800618,    0,    0
142871,19800619,    0,    0
142871,19800620,    6,    0
142871,19800621,    0,    0
142871,19800622,    8,    0
142871,19800623,   29,    0
142871,19800624,  135,    0
142871,19800625,   77,    0
142871,19800626,    0,    0
142871,19800627,  185,    0
142871,19800628,   10,    0
142871,19800629,    0,    0
142871,19800630,    0,    0
142871,19800701,    0,    0
142871,19800702,    0,    0
142871,19800703,    8,    0
142871,19800704,    0,    0
142871,19800705,    0,    0
142871,19800706,   38,    0
142871,19800707,   30,    0
142871,19800708,    5,    0
142871,19800709,    0,    0
142871,19800710,    0,    0
142871,19800711,    0,    0
142871,19800712,   25,    0
142871,19800713,    0,    0
142871,19800714,    0,    0
142871,19800715,    0,    0
142871,19800716,  113,    0
142871,19800717,    0,    0
142871,19800718,   30,    0
142871,19800719,   38,    0
142871,19800720,    6,    0
142871,19800721,    0,    0
142871,19800722,    0,    0
142871,19800723,    0,    0
142871,19800724,    0,    0
142871,19800725,    0,    0
142871,19800726,    0,    0
142871,19800727,    0,    0
142871,19800728,    0,    0
142871,19800729,    0,    0
142871,19800730,    0,    0
142871,19800731,    0,    0
142871,19800801,   66,    0
142871,19800802,    1,    0
142871,19800803,    6,    0
142871,19800804,    2,    0
142871,19800805,   20,    0
142871,19800806,    5,    0
142871,19800807,    0,    0
142871,19800808,   20,    0
142871,19800809,  240,    0
142871,19800810,    7,    0
142871,19800811,  142,    0
142871,19800812,    0,    0
142871,19800813,    3,    0
142871,19800814,    0,    0
142871,19800815,    0,    0
142871,19800816,    0,    0
142871,19800817,    0,    0
142871,19800818,    0,    0
142871,19800819,    0,    0
142871,19800820,   10,    0
142871,19800821,  142,    0
142871,19800822,    4,    0
142871,19800823,    0,    0
142871,19800824,    0,    0
142871,19800825,    0,    0
142871,19800826,   25,    0
142871,19800827,    0,    0
