EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, KOSKI HL TOIJALA (STAID: 7163).
Blended and updated with sources: 142871 142951 142976 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142951,19790101,    0,    0
142951,19790102,   14,    0
142951,19790103,   49,    0
142951,19790104,    0,    0
142951,19790105,    0,    0
142951,19790106,   20,    0
142951,19790107,  109,    0
142951,19790108,    7,    0
142976,19790109,  134,    0
142951,19790110,   78,    0
142951,19790111,    0,    0
142976,19790112,   57,    0
142951,19790113,   80,    0
142951,19790114,   17,    0
142951,19790115,    6,    0
142951,19790116,    0,    0
142951,19790117,    0,    0
142951,19790118,    3,    0
142951,19790119,    3,    0
142951,19790120,    0,    0
142951,19790121,    0,    0
142951,19790122,   10,    0
142976,19790123,   78,    0
142976,19790124,   47,    0
142976,19790125,   66,    0
142976,19790126,   35,    0
142951,19790127,   28,    0
142951,19790128,    1,    0
142951,19790129,    0,    0
142951,19790130,    0,    0
142951,19790131,    5,    0
142951,19790201,   13,    0
142951,19790202,  110,    0
142951,19790203,   14,    0
142951,19790204,    4,    0
142951,19790205,    1,    0
142951,19790206,    0,    0
142951,19790207,    5,    0
142951,19790208,    4,    0
142951,19790209,   11,    0
142951,19790210,    5,    0
142951,19790211,    6,    0
142951,19790212,    4,    0
142951,19790213,    0,    0
142951,19790214,    0,    0
142951,19790215,    0,    0
142951,19790216,    0,    0
142951,19790217,    0,    0
142951,19790218,    2,    0
142951,19790219,    0,    0
