EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, VIROLAHTI RAVIJOKI (STAID: 7199).
Blended and updated with sources: 143156 143211 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
143156,19790101,    0,    0
143156,19790102,   19,    0
143156,19790103,   24,    0
143156,19790104,    0,    0
143156,19790105,    0,    0
143156,19790106,   12,    0
143156,19790107,   86,    0
143156,19790108,    4,    0
143156,19790109,    0,    0
143156,19790110,   94,    0
143156,19790111,   12,    0
143156,19790112,   14,    0
143156,19790113,   12,    0
143156,19790114,   22,    0
143156,19790115,    0,    0
143156,19790116,    0,    0
143156,19790117,    0,    0
143156,19790118,    4,    0
143156,19790119,    0,    0
143156,19790120,    0,    0
143156,19790121,    0,    0
143156,19790122,   10,    0
143156,19790123,    0,    0
143156,19790124,   25,    0
143156,19790125,   17,    0
143156,19790126,   95,    0
143156,19790127,    0,    0
143156,19790128,   11,    0
143156,19790129,    0,    0
143156,19790130,    5,    0
143156,19790131,   12,    0
143156,19790201,   23,    0
143156,19790202,  133,    0
143156,19790203,   28,    0
143156,19790204,   43,    0
143156,19790205,    0,    0
143156,19790206,    0,    0
143156,19790207,    0,    0
143156,19790208,   30,    0
143156,19790209,   12,    0
143156,19790210,    0,    0
143156,19790211,    0,    0
143156,19790212,   12,    0
143156,19790213,    0,    0
143156,19790214,    0,    0
143156,19790215,    0,    0
143156,19790216,    0,    0
143156,19790217,    0,    0
143156,19790218,    0,    0
143156,19790219,    2,    0
143156,19790220,    0,    0
143156,19790221,    0,    0
143156,19790222,    0,    0
143156,19790223,    0,    0
143156,19790224,    0,    0
143156,19790225,    0,    0
143156,19790226,    0,    0
143156,19790227,    0,    0
143156,19790228,    0,    0
143156,19790301,   10,    0
143156,19790302,   50,    0
143156,19790303,    0,    0
143156,19790304,    0,    0
143156,19790305,    0,    0
143156,19790306,    0,    0
143156,19790307,    0,    0
143156,19790308,   31,    0
143156,19790309,    0,    0
143156,19790310,    0,    0
143156,19790311,   10,    0
143156,19790312,    9,    0
143156,19790313,   33,    0
143156,19790314,    0,    0
143156,19790315,    0,    0
143156,19790316,    0,    0
143156,19790317,    0,    0
143156,19790318,    0,    0
143156,19790319,    0,    0
143156,19790320,    0,    0
143156,19790321,   54,    0
143156,19790322,    0,    0
143156,19790323,    0,    0
143156,19790324,  111,    0
143156,19790325,    0,    0
143156,19790326,    0,    0
143156,19790327,    0,    0
143156,19790328,    0,    0
143156,19790329,    0,    0
143156,19790330,    0,    0
143156,19790331,    0,    0
143156,19790401,   25,    0
143156,19790402,    0,    0
143156,19790403,   18,    0
143156,19790404,    0,    0
143156,19790405,    2,    0
143156,19790406,    0,    0
143156,19790407,    0,    0
143156,19790408,    0,    0
143156,19790409,    0,    0
143156,19790410,    0,    0
143156,19790411,    0,    0
143156,19790412,    0,    0
143156,19790413,   25,    0
143156,19790414,   24,    0
143156,19790415,    0,    0
143156,19790416,    0,    0
143156,19790417,    0,    0
143156,19790418,    0,    0
143156,19790419,    0,    0
143156,19790420,    0,    0
143156,19790421,    0,    0
143156,19790422,    0,    0
143156,19790423,    0,    0
143156,19790424,   24,    0
143156,19790425,    0,    0
143156,19790426,   76,    0
143156,19790427,    0,    0
143156,19790428,    0,    0
143156,19790429,    0,    0
143156,19790430,   18,    0
143156,19790501,    0,    0
143156,19790502,    0,    0
143156,19790503,   85,    0
143156,19790504,   65,    0
143156,19790505,    0,    0
143156,19790506,   60,    0
143156,19790507,   52,    0
143156,19790508,   10,    0
143156,19790509,    0,    0
143156,19790510,   58,    0
143156,19790511,   56,    0
143156,19790512,    0,    0
143156,19790513,    0,    0
143156,19790514,    0,    0
143156,19790515,    7,    0
143156,19790516,    0,    0
143156,19790517,    0,    0
143156,19790518,    2,    0
143156,19790519,   10,    0
143156,19790520,    0,    0
143156,19790521,    0,    0
143156,19790522,    0,    0
143156,19790523,    3,    0
143156,19790524,   27,    0
143156,19790525,    0,    0
143156,19790526,    0,    0
143156,19790527,    0,    0
143156,19790528,    0,    0
143156,19790529,    0,    0
143156,19790530,    0,    0
143156,19790531,    0,    0
143156,19790601,    0,    0
143156,19790602,    0,    0
143156,19790603,    0,    0
143156,19790604,    0,    0
143156,19790605,    0,    0
143156,19790606,    0,    0
143156,19790607,   10,    0
143156,19790608,    7,    0
143156,19790609,   50,    0
143156,19790610,    0,    0
143156,19790611,    0,    0
143156,19790612,    0,    0
143156,19790613,   68,    0
143156,19790614,   32,    0
143156,19790615,   69,    0
143156,19790616,    0,    0
143156,19790617,   20,    0
143156,19790618,    0,    0
143156,19790619,    0,    0
143156,19790620,    0,    0
143156,19790621,    0,    0
143156,19790622,    0,    0
143156,19790623,    0,    0
143156,19790624,    0,    0
143156,19790625,    0,    0
143156,19790626,   21,    0
143156,19790627,   95,    0
143156,19790628,   22,    0
143156,19790629,   18,    0
143156,19790630,   42,    0
143156,19790701,    0,    0
143156,19790702,    0,    0
143156,19790703,    5,    0
143156,19790704,    0,    0
143156,19790705,    9,    0
143156,19790706,   86,    0
143156,19790707,   71,    0
143156,19790708,    0,    0
143156,19790709,    0,    0
143156,19790710,    2,    0
143156,19790711,    0,    0
143156,19790712,    0,    0
143156,19790713,   44,    0
143156,19790714,   22,    0
143156,19790715,    0,    0
143156,19790716,    7,    0
143156,19790717,   11,    0
143156,19790718,    0,    0
143156,19790719,  265,    0
143156,19790720,  203,    0
143156,19790721,   19,    0
143156,19790722,  170,    0
143156,19790723,    1,    0
143156,19790724,    0,    0
143156,19790725,   40,    0
143156,19790726,   15,    0
143156,19790727,   20,    0
143156,19790728,  175,    0
143156,19790729,   54,    0
143156,19790730,    0,    0
143156,19790731,    0,    0
143156,19790801,   47,    0
143156,19790802,   21,    0
143156,19790803,    0,    0
143156,19790804,   34,    0
143156,19790805,    0,    0
143156,19790806,    0,    0
143156,19790807,    0,    0
143156,19790808,    0,    0
143156,19790809,  132,    0
143156,19790810,   36,    0
143156,19790811,    0,    0
143156,19790812,    0,    0
143156,19790813,    0,    0
143156,19790814,    0,    0
143156,19790815,    0,    0
143156,19790816,    0,    0
143156,19790817,    0,    0
143156,19790818,    0,    0
143156,19790819,    7,    0
143156,19790820,  146,    0
143156,19790821,   64,    0
143156,19790822,   12,    0
143156,19790823,    0,    0
143156,19790824,    0,    0
143156,19790825,   20,    0
143156,19790826,  127,    0
143156,19790827,    0,    0
143156,19790828,    0,    0
143156,19790829,    0,    0
143156,19790830,    0,    0
143156,19790831,   42,    0
143156,19790901,   71,    0
143156,19790902,   41,    0
