EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, KANKAANPAA NIINISALO LENTOKENTTA (STAID: 7263).
Blended and updated with sources: 143381 143481 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
143381,19790101,    0,    0
143381,19790102,    0,    0
143381,19790103,    2,    0
143381,19790104,    2,    0
143381,19790105,    0,    0
143381,19790106,   20,    0
143381,19790107,  118,    0
143381,19790108,    0,    0
143381,19790109,    1,    0
143381,19790110,   13,    0
143381,19790111,    0,    0
143381,19790112,   19,    0
143381,19790113,   60,    0
143381,19790114,    6,    0
143381,19790115,    7,    0
143381,19790116,    0,    0
143381,19790117,    4,    0
143381,19790118,    0,    0
143381,19790119,    1,    0
143381,19790120,    0,    0
143381,19790121,    0,    0
143381,19790122,    2,    0
143381,19790123,   17,    0
143381,19790124,   31,    0
143381,19790125,   16,    0
143381,19790126,   59,    0
143381,19790127,   52,    0
143381,19790128,    2,    0
143381,19790129,    1,    0
143381,19790130,    2,    0
143381,19790131,    0,    0
143381,19790201,   23,    0
143381,19790202,    2,    0
143381,19790203,    3,    0
143381,19790204,    1,    0
143381,19790205,    1,    0
143381,19790206,    1,    0
143381,19790207,    2,    0
143381,19790208,   39,    0
143381,19790209,    7,    0
143381,19790210,    1,    0
143381,19790211,    8,    0
143381,19790212,    0,    0
143381,19790213,    0,    0
143381,19790214,    0,    0
143381,19790215,    0,    0
143381,19790216,    0,    0
143381,19790217,    0,    0
143381,19790218,    0,    0
143381,19790219,    0,    0
143381,19790220,    1,    0
143381,19790221,    2,    0
143381,19790222,    1,    0
143381,19790223,    9,    0
143381,19790224,    0,    0
143381,19790225,   11,    0
143381,19790226,    0,    0
143381,19790227,    0,    0
143381,19790228,    5,    0
143381,19790301,    4,    0
143381,19790302,   55,    0
143381,19790303,   16,    0
143381,19790304,    0,    0
143381,19790305,    0,    0
143381,19790306,    0,    0
143381,19790307,    1,    0
143381,19790308,   14,    0
143381,19790309,    0,    0
143381,19790310,    1,    0
143381,19790311,    5,    0
143381,19790312,    1,    0
143381,19790313,   11,    0
143381,19790314,    1,    0
143381,19790315,    0,    0
143381,19790316,    0,    0
143381,19790317,    0,    0
143381,19790318,    0,    0
143381,19790319,    5,    0
143381,19790320,    1,    0
143381,19790321,   60,    0
143381,19790322,   54,    0
143381,19790323,   34,    0
143381,19790324,   74,    0
143381,19790325,    0,    0
143381,19790326,   13,    0
143381,19790327,   22,    0
143381,19790328,    2,    0
143381,19790329,    0,    0
143381,19790330,    0,    0
143381,19790331,    0,    0
143381,19790401,    5,    0
143381,19790402,    7,    0
143381,19790403,   36,    0
143381,19790404,    1,    0
143381,19790405,    3,    0
143381,19790406,    0,    0
143381,19790407,    0,    0
143381,19790408,    1,    0
143381,19790409,    0,    0
143381,19790410,    0,    0
143381,19790411,    0,    0
143381,19790412,    0,    0
143381,19790413,   15,    0
143381,19790414,    8,    0
143381,19790415,    0,    0
143381,19790416,    0,    0
143381,19790417,    2,    0
143381,19790418,    0,    0
143381,19790419,    0,    0
143381,19790420,    0,    0
143381,19790421,    0,    0
143381,19790422,    0,    0
143381,19790423,    0,    0
143381,19790424,    0,    0
143381,19790425,   50,    0
143381,19790426,   46,    0
143381,19790427,    0,    0
143381,19790428,    1,    0
143381,19790429,   96,    0
143381,19790430,   98,    0
143381,19790501,   11,    0
143381,19790502,   29,    0
143381,19790503,   39,    0
143381,19790504,    0,    0
143381,19790505,    1,    0
143381,19790506,    5,    0
143381,19790507,    4,    0
143381,19790508,   23,    0
143381,19790509,   27,    0
143381,19790510,   33,    0
143381,19790511,    0,    0
143381,19790512,    0,    0
143381,19790513,    4,    0
143381,19790514,    0,    0
143381,19790515,    0,    0
143381,19790516,   14,    0
143381,19790517,    0,    0
143381,19790518,    1,    0
143381,19790519,   53,    0
143381,19790520,    0,    0
143381,19790521,    0,    0
143381,19790522,    0,    0
143381,19790523,    0,    0
143381,19790524,   44,    0
143381,19790525,    0,    0
143381,19790526,    0,    0
143381,19790527,    0,    0
143381,19790528,   10,    0
143381,19790529,    0,    0
143381,19790530,    0,    0
143381,19790531,    0,    0
143381,19790601,    0,    0
143381,19790602,    0,    0
143381,19790603,    0,    0
143381,19790604,    0,    0
143381,19790605,    0,    0
143381,19790606,    0,    0
143381,19790607,    0,    0
143381,19790608,    0,    0
143381,19790609,  161,    0
143381,19790610,    0,    0
143381,19790611,    0,    0
143381,19790612,    0,    0
143381,19790613,    4,    0
143381,19790614,   69,    0
143381,19790615,    0,    0
143381,19790616,    0,    0
143381,19790617,    4,    0
143381,19790618,    0,    0
143381,19790619,    0,    0
143381,19790620,    0,    0
143381,19790621,    0,    0
143381,19790622,    0,    0
143381,19790623,    0,    0
143381,19790624,    0,    0
143381,19790625,    1,    0
143381,19790626,    0,    0
143381,19790627,   20,    0
143381,19790628,   64,    0
143381,19790629,    0,    0
143381,19790630,    0,    0
143381,19790701,    1,    0
143381,19790702,    3,    0
143381,19790703,   23,    0
143381,19790704,   41,    0
143381,19790705,    3,    0
143381,19790706,   28,    0
143381,19790707,   53,    0
143381,19790708,   35,    0
143381,19790709,    0,    0
143381,19790710,   45,    0
143381,19790711,   87,    0
143381,19790712,    5,    0
143381,19790713,  233,    0
143381,19790714,   57,    0
143381,19790715,    5,    0
143381,19790716,    0,    0
143381,19790717,   26,    0
143381,19790718,    3,    0
143381,19790719,   15,    0
143381,19790720,   52,    0
143381,19790721,  347,    0
143381,19790722,  137,    0
143381,19790723,   61,    0
143381,19790724,    5,    0
143381,19790725,   52,    0
143381,19790726,    0,    0
143381,19790727,    0,    0
143381,19790728,    0,    0
143381,19790729,   16,    0
143381,19790730,    0,    0
143381,19790731,   13,    0
143381,19790801,   23,    0
143381,19790802,   93,    0
143381,19790803,  311,    0
143381,19790804,   13,    0
143381,19790805,    3,    0
143381,19790806,    0,    0
143381,19790807,    0,    0
143381,19790808,    0,    0
143381,19790809,    0,    0
143381,19790810,   10,    0
143381,19790811,   26,    0
143381,19790812,    1,    0
143381,19790813,  132,    0
143381,19790814,    0,    0
143381,19790815,    0,    0
143381,19790816,    0,    0
143381,19790817,    0,    0
143381,19790818,    0,    0
143381,19790819,    0,    0
143381,19790820,   65,    0
143381,19790821,   13,    0
143381,19790822,    7,    0
143381,19790823,   78,    0
143381,19790824,    0,    0
143381,19790825,  139,    0
143381,19790826,  238,    0
143381,19790827,   46,    0
143381,19790828,   16,    0
143381,19790829,    0,    0
143381,19790830,   10,    0
143381,19790831,    0,    0
143381,19790901,    0,    0
143381,19790902,    0,    0
143381,19790903,   39,    0
143381,19790904,  113,    0
143381,19790905,    0,    0
143381,19790906,    0,    0
143381,19790907,    0,    0
143381,19790908,    0,    0
143381,19790909,   55,    0
143381,19790910,   34,    0
143381,19790911,  225,    0
143381,19790912,    8,    0
143381,19790913,  125,    0
143381,19790914,   60,    0
143381,19790915,    0,    0
143381,19790916,    0,    0
143381,19790917,   47,    0
143381,19790918,   20,    0
143381,19790919,    0,    0
143381,19790920,   44,    0
143381,19790921,   18,    0
143381,19790922,    0,    0
143381,19790923,    0,    0
143381,19790924,    0,    0
143381,19790925,    0,    0
143381,19790926,    1,    0
143381,19790927,   73,    0
143381,19790928,   16,    0
143381,19790929,    0,    0
143381,19790930,    2,    0
143381,19791001,    0,    0
143381,19791002,    0,    0
143381,19791003,    0,    0
143381,19791004,    2,    0
143381,19791005,    0,    0
143381,19791006,    0,    0
143381,19791007,    2,    0
143381,19791008,    0,    0
143381,19791009,    0,    0
143381,19791010,   13,    0
143381,19791011,   25,    0
143381,19791012,    1,    0
143381,19791013,   20,    0
143381,19791014,   16,    0
143381,19791015,    3,    0
143381,19791016,   63,    0
143381,19791017,    4,    0
143381,19791018,   10,    0
143381,19791019,   37,    0
143381,19791020,    0,    0
143381,19791021,    0,    0
143381,19791022,    0,    0
143381,19791023,    0,    0
143381,19791024,    0,    0
143381,19791025,    0,    0
143381,19791026,    3,    0
143381,19791027,    2,    0
143381,19791028,    0,    0
143381,19791029,    0,    0
143381,19791030,    0,    0
143381,19791031,    1,    0
143381,19791101,    0,    0
143381,19791102,    0,    0
143381,19791103,    0,    0
143381,19791104,   83,    0
143381,19791105,    1,    0
143381,19791106,    7,    0
143381,19791107,    1,    0
143381,19791108,   13,    0
143381,19791109,    2,    0
143381,19791110,    0,    0
143381,19791111,    9,    0
143381,19791112,    1,    0
143381,19791113,   33,    0
143381,19791114,   40,    0
143381,19791115,    5,    0
143381,19791116,  100,    0
143381,19791117,    1,    0
143381,19791118,    0,    0
143381,19791119,   41,    0
143381,19791120,   76,    0
143381,19791121,    0,    0
143381,19791122,   11,    0
143381,19791123,   11,    0
143381,19791124,  104,    0
143381,19791125,   21,    0
143381,19791126,  161,    0
143381,19791127,   11,    0
143381,19791128,    0,    0
143381,19791129,  160,    0
143381,19791130,    6,    0
143381,19791201,   25,    0
143381,19791202,   16,    0
143381,19791203,    1,    0
143381,19791204,   32,    0
143381,19791205,   53,    0
143381,19791206,   15,    0
143381,19791207,    0,    0
143381,19791208,   11,    0
143381,19791209,   19,    0
143381,19791210,    0,    0
143381,19791211,    0,    0
143381,19791212,    0,    0
143381,19791213,    1,    0
143381,19791214,    0,    0
143381,19791215,   19,    0
143381,19791216,   59,    0
143381,19791217,   96,    0
143381,19791218,    4,    0
143381,19791219,    0,    0
143381,19791220,    0,    0
143381,19791221,    0,    0
143381,19791222,    2,    0
143381,19791223,    8,    0
143381,19791224,    6,    0
143381,19791225,   30,    0
143381,19791226,    9,    0
143381,19791227,   12,    0
143381,19791228,  107,    0
143381,19791229,    7,    0
143381,19791230,    1,    0
143381,19791231,    7,    0
143381,19800101,    4,    0
143381,19800102,   14,    0
143381,19800103,   14,    0
143381,19800104,    1,    0
143381,19800105,    2,    0
143381,19800106,    9,    0
143381,19800107,    2,    0
143381,19800108,    2,    0
143381,19800109,    0,    0
143381,19800110,    1,    0
143381,19800111,    0,    0
143381,19800112,    0,    0
143381,19800113,    0,    0
143381,19800114,    5,    0
143381,19800115,   14,    0
143381,19800116,    7,    0
143381,19800117,    3,    0
