EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, ALAVUS KATTELUS (STAID: 7276).
Blended and updated with sources: 143546 143551 144417 144427 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
143551,19790101,    6,    0
143551,19790102,    0,    0
143551,19790103,    0,    0
143551,19790104,    3,    0
143551,19790105,    0,    0
143551,19790106,   25,    0
143551,19790107,   13,    0
143551,19790108,   33,    0
143551,19790109,    1,    0
143551,19790110,   20,    0
143551,19790111,    2,    0
143551,19790112,   25,    0
143551,19790113,   40,    0
143551,19790114,   44,    0
143551,19790115,    7,    0
143551,19790116,    5,    0
143551,19790117,    3,    0
143551,19790118,    6,    0
143551,19790119,    2,    0
143551,19790120,    0,    0
143551,19790121,    4,    0
143551,19790122,   41,    0
143551,19790123,    5,    0
143551,19790124,   40,    0
143551,19790125,   21,    0
143551,19790126,   65,    0
143551,19790127,   71,    0
144417,19790128,    0,    0
144417,19790129,    0,    0
144417,19790130,    0,    0
144417,19790131,    0,    0
144417,19790201,   47,    0
143551,19790202,   42,    0
143551,19790203,    2,    0
143551,19790204,    4,    0
143551,19790205,    0,    0
143551,19790206,    0,    0
143551,19790207,   20,    0
143551,19790208,   29,    0
143551,19790209,   11,    0
143551,19790210,    0,    0
143551,19790211,    0,    0
143551,19790212,    9,    0
144417,19790213,    0,    0
144417,19790214,    0,    0
144417,19790215,    0,    0
144417,19790216,    0,    0
144417,19790217,    0,    0
144417,19790218,    0,    0
144417,19790219,    0,    0
143551,19790220,    5,    0
143551,19790221,    7,    0
143551,19790222,    3,    0
143551,19790223,    7,    0
143551,19790224,   10,    0
143551,19790225,    0,    0
143551,19790226,    0,    0
143551,19790227,    2,    0
143551,19790228,    1,    0
143551,19790301,    0,    0
143551,19790302,    0,    0
144417,19790303,    6,    0
144417,19790304,    0,    0
144417,19790305,    0,    0
144417,19790306,    0,    0
144417,19790307,    0,    0
144417,19790308,   15,    0
143551,19790309,    3,    0
143551,19790310,   13,    0
143551,19790311,    2,    0
143551,19790312,   10,    0
143551,19790313,   19,    0
143551,19790314,    1,    0
143551,19790315,    5,    0
143551,19790316,    0,    0
143551,19790317,    0,    0
143551,19790318,   25,    0
143551,19790319,    9,    0
143551,19790320,    2,    0
143551,19790321,   55,    0
143551,19790322,   34,    0
143551,19790323,   15,    0
143551,19790324,   26,    0
143551,19790325,    2,    0
143551,19790326,    6,    0
143551,19790327,    2,    0
143551,19790328,    1,    0
143551,19790329,    0,    0
143551,19790330,    0,    0
143551,19790331,    3,    0
143551,19790401,    5,    0
143551,19790402,    0,    0
143551,19790403,   25,    0
143551,19790404,    3,    0
143551,19790405,    7,    0
144417,19790406,    0,    0
144417,19790407,    5,    0
144417,19790408,    3,    0
144417,19790409,    0,    0
144417,19790410,    0,    0
144417,19790411,    0,    0
144417,19790412,    9,    0
143551,19790413,    1,    0
143551,19790414,    0,    0
143551,19790415,    1,    0
143551,19790416,    0,    0
143551,19790417,    0,    0
143551,19790418,    1,    0
143551,19790419,    0,    0
143551,19790420,    0,    0
143551,19790421,   10,    0
143551,19790422,    6,    0
143551,19790423,    0,    0
143551,19790424,    0,    0
143551,19790425,   20,    0
143551,19790426,   18,    0
143551,19790427,    3,    0
143551,19790428,   10,    0
143551,19790429,   81,    0
143551,19790430,   46,    0
143551,19790501,   25,    0
143551,19790502,   37,    0
143551,19790503,   19,    0
143551,19790504,    0,    0
143551,19790505,    0,    0
143551,19790506,    0,    0
143551,19790507,   79,    0
143551,19790508,   18,    0
143551,19790509,   16,    0
144417,19790510,   29,    0
144417,19790511,    0,    0
144417,19790512,    0,    0
144417,19790513,   14,    0
144417,19790514,    0,    0
144417,19790515,    0,    0
144417,19790516,    0,    0
144417,19790517,    0,    0
144417,19790518,    0,    0
143551,19790519,    2,    0
143551,19790520,    7,    0
143551,19790521,    3,    0
143551,19790522,    5,    0
143551,19790523,    0,    0
143551,19790524,    0,    0
143551,19790525,    0,    0
144417,19790526,    0,    0
144417,19790527,    0,    0
144417,19790528,   11,    0
144417,19790529,    0,    0
144417,19790530,    0,    0
144417,19790531,    0,    0
144417,19790601,    0,    0
144417,19790602,    0,    0
144417,19790603,    0,    0
144417,19790604,    0,    0
