EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, JUUPAJOKI HYYTIALA (STAID: 7285).
Blended and updated with sources: 143596 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
143596,19790101,    1,    0
143596,19790102,    0,    0
143596,19790103,   22,    0
143596,19790104,    0,    0
143596,19790105,    0,    0
143596,19790106,   31,    0
143596,19790107,  156,    0
143596,19790108,    0,    0
143596,19790109,    7,    0
143596,19790110,   53,    0
143596,19790111,    0,    0
143596,19790112,   42,    0
143596,19790113,  133,    0
143596,19790114,   24,    0
143596,19790115,    3,    0
143596,19790116,    0,    0
143596,19790117,    2,    0
143596,19790118,    0,    0
143596,19790119,    1,    0
143596,19790120,    0,    0
143596,19790121,    0,    0
143596,19790122,    4,    0
143596,19790123,   19,    0
143596,19790124,   37,    0
143596,19790125,   26,    0
143596,19790126,   90,    0
143596,19790127,   31,    0
143596,19790128,    2,    0
143596,19790129,    1,    0
143596,19790130,    2,    0
143596,19790131,    1,    0
143596,19790201,   23,    0
143596,19790202,   92,    0
143596,19790203,    3,    0
143596,19790204,    4,    0
143596,19790205,    0,    0
143596,19790206,    0,    0
143596,19790207,    4,    0
143596,19790208,    8,    0
143596,19790209,    8,    0
143596,19790210,    4,    0
143596,19790211,    6,    0
143596,19790212,    1,    0
143596,19790213,    0,    0
143596,19790214,    0,    0
143596,19790215,    0,    0
143596,19790216,    0,    0
143596,19790217,    0,    0
143596,19790218,    0,    0
143596,19790219,    0,    0
143596,19790220,    7,    0
143596,19790221,    0,    0
143596,19790222,    0,    0
143596,19790223,    8,    0
143596,19790224,    0,    0
143596,19790225,    5,    0
143596,19790226,    0,    0
143596,19790227,    0,    0
143596,19790228,    3,    0
143596,19790301,    6,    0
143596,19790302,   44,    0
143596,19790303,   17,    0
143596,19790304,    0,    0
143596,19790305,    0,    0
143596,19790306,    0,    0
143596,19790307,    0,    0
143596,19790308,   15,    0
143596,19790309,    0,    0
143596,19790310,    1,    0
143596,19790311,    9,    0
143596,19790312,   52,    0
143596,19790313,   32,    0
143596,19790314,    6,    0
143596,19790315,    0,    0
143596,19790316,    0,    0
143596,19790317,    0,    0
143596,19790318,    0,    0
143596,19790319,   11,    0
143596,19790320,    1,    0
143596,19790321,   59,    0
143596,19790322,   19,    0
143596,19790323,    2,    0
143596,19790324,   60,    0
143596,19790325,   14,    0
143596,19790326,    0,    0
143596,19790327,   11,    0
143596,19790328,    3,    0
143596,19790329,    0,    0
143596,19790330,    0,    0
143596,19790331,    2,    0
143596,19790401,    3,    0
143596,19790402,    6,    0
143596,19790403,   40,    0
143596,19790404,    4,    0
143596,19790405,    0,    0
143596,19790406,    5,    0
143596,19790407,    0,    0
143596,19790408,    7,    0
143596,19790409,    0,    0
143596,19790410,    0,    0
143596,19790411,    0,    0
143596,19790412,    0,    0
143596,19790413,   31,    0
143596,19790414,    7,    0
143596,19790415,    1,    0
143596,19790416,    0,    0
143596,19790417,    0,    0
143596,19790418,    2,    0
143596,19790419,    0,    0
143596,19790420,    0,    0
143596,19790421,    0,    0
143596,19790422,    0,    0
143596,19790423,    0,    0
143596,19790424,    0,    0
143596,19790425,   11,    0
143596,19790426,   98,    0
143596,19790427,    0,    0
143596,19790428,    2,    0
143596,19790429,   34,    0
143596,19790430,   45,    0
143596,19790501,    6,    0
143596,19790502,   33,    0
143596,19790503,   49,    0
143596,19790504,    0,    0
143596,19790505,    0,    0
143596,19790506,    0,    0
143596,19790507,  225,    0
143596,19790508,   23,    0
143596,19790509,   41,    0
143596,19790510,    6,    0
143596,19790511,    0,    0
143596,19790512,    0,    0
143596,19790513,   11,    0
143596,19790514,    0,    0
143596,19790515,    8,    0
143596,19790516,    0,    0
143596,19790517,    0,    0
143596,19790518,    0,    0
143596,19790519,    8,    0
143596,19790520,    0,    0
143596,19790521,    0,    0
143596,19790522,    5,    0
143596,19790523,    0,    0
143596,19790524,   19,    0
143596,19790525,    0,    0
143596,19790526,    0,    0
143596,19790527,    0,    0
143596,19790528,    5,    0
143596,19790529,    0,    0
143596,19790530,    0,    0
143596,19790531,    0,    0
143596,19790601,    0,    0
143596,19790602,    0,    0
143596,19790603,    0,    0
143596,19790604,    0,    0
143596,19790605,    0,    0
143596,19790606,    0,    0
143596,19790607,    0,    0
143596,19790608,    2,    0
143596,19790609,   21,    0
143596,19790610,    7,    0
143596,19790611,    0,    0
143596,19790612,    0,    0
143596,19790613,    0,    0
143596,19790614,   22,    0
143596,19790615,    8,    0
143596,19790616,    0,    0
143596,19790617,    6,    0
143596,19790618,    0,    0
143596,19790619,    0,    0
143596,19790620,    0,    0
143596,19790621,    0,    0
143596,19790622,    0,    0
143596,19790623,    0,    0
143596,19790624,    0,    0
143596,19790625,    5,    0
143596,19790626,    2,    0
143596,19790627,   95,    0
143596,19790628,  126,    0
143596,19790629,    4,    0
143596,19790630,   81,    0
143596,19790701,   12,    0
143596,19790702,    6,    0
143596,19790703,    4,    0
143596,19790704,   26,    0
143596,19790705,    0,    0
143596,19790706,   45,    0
143596,19790707,  144,    0
143596,19790708,   58,    0
143596,19790709,    2,    0
143596,19790710,   37,    0
143596,19790711,   74,    0
143596,19790712,    8,    0
143596,19790713,   80,    0
143596,19790714,   85,    0
143596,19790715,  575,    0
143596,19790716,   14,    0
143596,19790717,    0,    0
143596,19790718,    4,    0
143596,19790719,   37,    0
143596,19790720,  232,    0
143596,19790721,  170,    0
143596,19790722,   72,    0
143596,19790723,  257,    0
143596,19790724,    0,    0
143596,19790725,   58,    0
143596,19790726,    7,    0
143596,19790727,    5,    0
143596,19790728,   40,    0
143596,19790729,   62,    0
143596,19790730,    0,    0
143596,19790731,    0,    0
143596,19790801,   66,    0
143596,19790802,   51,    0
143596,19790803,   16,    0
143596,19790804,   18,    0
143596,19790805,    0,    0
143596,19790806,    0,    0
143596,19790807,    0,    0
143596,19790808,    0,    0
143596,19790809,    8,    0
143596,19790810,    2,    0
