EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, JOUTSA MIESKONMAKI KALA (STAID: 7344).
Blended and updated with sources: 143887 143892 143917 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
143892,19790101,    0,    0
143892,19790102,    0,    0
143892,19790103,   13,    0
143892,19790104,    0,    0
143892,19790105,    0,    0
143892,19790106,    0,    0
143892,19790107,  188,    0
143892,19790108,   16,    0
143892,19790109,    0,    0
143892,19790110,   87,    0
143892,19790111,   23,    0
143892,19790112,   10,    0
143892,19790113,   13,    0
143892,19790114,    0,    0
143892,19790115,    0,    0
143892,19790116,    0,    0
143892,19790117,    0,    0
143892,19790118,    0,    0
143892,19790119,    0,    0
143892,19790120,    0,    0
143892,19790121,    0,    0
143892,19790122,   43,    0
143892,19790123,    0,    0
143892,19790124,   38,    0
143892,19790125,   24,    0
143892,19790126,   27,    0
143892,19790127,   48,    0
143892,19790128,    0,    0
143892,19790129,    0,    0
143892,19790130,    0,    0
143892,19790131,    0,    0
143892,19790201,   33,    0
143892,19790202,  127,    0
143892,19790203,    3,    0
143892,19790204,    0,    0
143892,19790205,    0,    0
143892,19790206,    0,    0
143892,19790207,    0,    0
143892,19790208,   10,    0
143892,19790209,    0,    0
143892,19790210,    0,    0
143892,19790211,    0,    0
143892,19790212,    0,    0
143892,19790213,    0,    0
143892,19790214,    0,    0
143892,19790215,    0,    0
143892,19790216,    0,    0
143892,19790217,    0,    0
143892,19790218,    0,    0
143892,19790219,    0,    0
143892,19790220,    0,    0
143892,19790221,    0,    0
143892,19790222,    0,    0
143892,19790223,    3,    0
143892,19790224,    0,    0
143892,19790225,    0,    0
143892,19790226,    0,    0
143892,19790227,    0,    0
143892,19790228,    0,    0
143892,19790301,    3,    0
143892,19790302,   16,    0
143892,19790303,    8,    0
143892,19790304,    0,    0
143892,19790305,    0,    0
143892,19790306,    0,    0
143892,19790307,    0,    0
143892,19790308,   17,    0
143892,19790309,    0,    0
143892,19790310,    0,    0
143892,19790311,    4,    0
143892,19790312,   31,    0
143892,19790313,   40,    0
143892,19790314,    0,    0
143892,19790315,    0,    0
143892,19790316,    0,    0
143892,19790317,    0,    0
143892,19790318,    0,    0
143892,19790319,    0,    0
143892,19790320,    0,    0
143892,19790321,  160,    0
143892,19790322,    5,    0
143892,19790323,    0,    0
143892,19790324,    0,    0
143892,19790325,    0,    0
143892,19790326,    0,    0
143892,19790327,    4,    0
143892,19790328,    0,    0
143892,19790329,    0,    0
143892,19790330,    0,    0
143892,19790331,    0,    0
143892,19790401,    4,    0
143892,19790402,    2,    0
143892,19790403,    1,    0
143892,19790404,    0,    0
143892,19790405,    0,    0
143892,19790406,    0,    0
143892,19790407,    0,    0
143892,19790408,    8,    0
143892,19790409,    0,    0
143892,19790410,    0,    0
143892,19790411,    0,    0
143892,19790412,    0,    0
143892,19790413,   29,    0
143892,19790414,   28,    0
143892,19790415,    0,    0
143892,19790416,    0,    0
143892,19790417,    0,    0
143892,19790418,    0,    0
143892,19790419,    0,    0
143892,19790420,    0,    0
143892,19790421,    0,    0
143892,19790422,    0,    0
143892,19790423,    0,    0
143892,19790424,    0,    0
143892,19790425,   35,    0
143892,19790426,   35,    0
143892,19790427,   30,    0
143892,19790428,   22,    0
143892,19790429,   11,    0
143892,19790430,   23,    0
143892,19790501,    0,    0
143892,19790502,    0,    0
143892,19790503,   45,    0
143892,19790504,    0,    0
143892,19790505,    0,    0
143892,19790506,   25,    0
143892,19790507,  140,    0
143892,19790508,    0,    0
143892,19790509,  117,    0
143892,19790510,   33,    0
143892,19790511,   15,    0
143892,19790512,    0,    0
143892,19790513,   20,    0
143892,19790514,    7,    0
143892,19790515,    0,    0
143892,19790516,    0,    0
143892,19790517,    0,    0
143892,19790518,    2,    0
143892,19790519,    0,    0
143892,19790520,    0,    0
143892,19790521,    0,    0
143892,19790522,    0,    0
143892,19790523,    0,    0
143892,19790524,    0,    0
143892,19790525,    0,    0
143892,19790526,    0,    0
143892,19790527,    0,    0
143892,19790528,    0,    0
143892,19790529,    5,    0
143892,19790530,    0,    0
143892,19790531,    0,    0
143892,19790601,    0,    0
143892,19790602,    0,    0
143892,19790603,    0,    0
143892,19790604,    0,    0
143892,19790605,    0,    0
143892,19790606,    0,    0
143892,19790607,    0,    0
143892,19790608,   63,    0
143892,19790609,   35,    0
143892,19790610,    2,    0
143892,19790611,    2,    0
143892,19790612,    0,    0
143892,19790613,    0,    0
143892,19790614,   26,    0
143892,19790615,  160,    0
143892,19790616,    0,    0
143892,19790617,    0,    0
143892,19790618,    1,    0
143892,19790619,    0,    0
143892,19790620,    0,    0
143892,19790621,    0,    0
143892,19790622,    0,    0
143892,19790623,    0,    0
143892,19790624,    3,    0
143892,19790625,    2,    0
143892,19790626,   30,    0
143892,19790627,   95,    0
143892,19790628,  130,    0
143892,19790629,   15,    0
143892,19790630,  105,    0
143892,19790701,    0,    0
143892,19790702,    8,    0
143892,19790703,    0,    0
143892,19790704,   23,    0
143892,19790705,    6,    0
143892,19790706,   73,    0
143892,19790707,  152,    0
143892,19790708,    0,    0
143892,19790709,    1,    0
143892,19790710,   32,    0
143892,19790711,   95,    0
143892,19790712,    3,    0
143892,19790713,  127,    0
143892,19790714,   45,    0
143892,19790715,    0,    0
143892,19790716,    0,    0
143892,19790717,    0,    0
143892,19790718,    3,    0
143892,19790719,   70,    0
143892,19790720,  160,    0
143892,19790721,   38,    0
143892,19790722,   40,    0
143892,19790723,   33,    0
143892,19790724,    0,    0
143892,19790725,   46,    0
143892,19790726,   32,    0
143892,19790727,  130,    0
143892,19790728,   22,    0
143892,19790729,   28,    0
143892,19790730,    0,    0
143892,19790731,    4,    0
143892,19790801,   30,    0
143892,19790802,  105,    0
143892,19790803,   60,    0
143892,19790804,   80,    0
143892,19790805,    0,    0
143892,19790806,    0,    0
143892,19790807,    0,    0
143892,19790808,    0,    0
