EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, MUSTASAARI SULVA FORSBACKEN (STAID: 7419).
Blended and updated with sources: 144257 144272 144277 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144277,19790101,    0,    0
144277,19790102,    0,    0
144277,19790103,    0,    0
144277,19790104,    0,    0
144277,19790105,    0,    0
144277,19790106,    0,    0
144277,19790107,   24,    0
144277,19790108,    0,    0
144277,19790109,    0,    0
144277,19790110,    0,    0
144277,19790111,    0,    0
144277,19790112,   20,    0
144277,19790113,   37,    0
144277,19790114,    0,    0
144277,19790115,   29,    0
144277,19790116,    0,    0
144277,19790117,    0,    0
144277,19790118,    0,    0
144277,19790119,    0,    0
144277,19790120,    0,    0
144277,19790121,    6,    0
144277,19790122,    0,    0
144277,19790123,   23,    0
144277,19790124,    0,    0
144277,19790125,   48,    0
144277,19790126,   22,    0
144277,19790127,    0,    0
144277,19790128,    0,    0
144277,19790129,    0,    0
144277,19790130,    0,    0
144277,19790131,    0,    0
144277,19790201,   53,    0
144277,19790202,   18,    0
144277,19790203,    0,    0
144277,19790204,    0,    0
144277,19790205,   15,    0
144277,19790206,   10,    0
144277,19790207,    0,    0
144277,19790208,   13,    0
144277,19790209,    0,    0
144277,19790210,    0,    0
144277,19790211,    0,    0
144277,19790212,    0,    0
144277,19790213,    0,    0
144277,19790214,    0,    0
144277,19790215,    0,    0
144277,19790216,    0,    0
144277,19790217,    0,    0
144277,19790218,    0,    0
144277,19790219,    0,    0
144277,19790220,    0,    0
144277,19790221,   10,    0
144277,19790222,    0,    0
144277,19790223,    0,    0
144277,19790224,   10,    0
144277,19790225,    0,    0
144277,19790226,    0,    0
144277,19790227,    0,    0
144277,19790228,    0,    0
144277,19790301,    0,    0
144277,19790302,   25,    0
144277,19790303,    0,    0
144277,19790304,    0,    0
144277,19790305,    0,    0
144277,19790306,    0,    0
144277,19790307,    0,    0
144277,19790308,    0,    0
144277,19790309,    0,    0
144277,19790310,    0,    0
144277,19790311,    7,    0
144277,19790312,    8,    0
144277,19790313,    0,    0
144277,19790314,    0,    0
144277,19790315,    0,    0
144277,19790316,    0,    0
144277,19790317,    0,    0
144277,19790318,    0,    0
144277,19790319,    0,    0
144277,19790320,    0,    0
144277,19790321,    0,    0
144277,19790322,   39,    0
144277,19790323,   15,    0
144277,19790324,   42,    0
144277,19790325,    0,    0
144277,19790326,    6,    0
144277,19790327,   22,    0
144277,19790328,    0,    0
144277,19790329,    0,    0
144277,19790330,    0,    0
144277,19790331,    0,    0
144277,19790401,    4,    0
144277,19790402,    0,    0
144277,19790403,   14,    0
144277,19790404,    0,    0
144277,19790405,    0,    0
144277,19790406,    0,    0
144277,19790407,    0,    0
144277,19790408,    0,    0
144277,19790409,    0,    0
144277,19790410,    0,    0
144277,19790411,    0,    0
144277,19790412,    0,    0
144277,19790413,    0,    0
144277,19790414,    0,    0
144277,19790415,    0,    0
144277,19790416,    0,    0
144277,19790417,    0,    0
144277,19790418,    0,    0
144277,19790419,    0,    0
144277,19790420,    0,    0
144277,19790421,    0,    0
144277,19790422,    0,    0
144277,19790423,    0,    0
144277,19790424,    0,    0
144277,19790425,   96,    0
144277,19790426,    8,    0
144277,19790427,   12,    0
144277,19790428,    0,    0
144277,19790429,  117,    0
144277,19790430,   78,    0
144277,19790501,   10,    0
