EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, YLISTARO ASEMANSEUTU (STAID: 7435).
Blended and updated with sources: 144322 144357 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144357,19790101,    1,    0
144357,19790102,    1,    0
144357,19790103,    0,    0
144357,19790104,    0,    0
144357,19790105,    0,    0
144357,19790106,   14,    0
144357,19790107,   40,    0
144357,19790108,    9,    0
144357,19790109,    1,    0
144357,19790110,    0,    0
144357,19790111,    1,    0
144357,19790112,   36,    0
144357,19790113,   57,    0
144357,19790114,    7,    0
144357,19790115,   20,    0
144357,19790116,    0,    0
144357,19790117,    1,    0
144357,19790118,    0,    0
144357,19790119,    1,    0
144357,19790120,    0,    0
144357,19790121,    2,    0
144357,19790122,    0,    0
144357,19790123,   24,    0
144357,19790124,   23,    0
144357,19790125,   15,    0
144357,19790126,   47,    0
144357,19790127,   15,    0
144357,19790128,    0,    0
144357,19790129,    0,    0
144357,19790130,    2,    0
144357,19790131,    0,    0
144357,19790201,   43,    0
144357,19790202,    5,    0
144357,19790203,    4,    0
144357,19790204,    3,    0
144357,19790205,    5,    0
144357,19790206,    1,    0
144357,19790207,   15,    0
144357,19790208,   28,    0
144357,19790209,    2,    0
144357,19790210,    0,    0
144357,19790211,   13,    0
144357,19790212,    0,    0
144357,19790213,    0,    0
144357,19790214,    0,    0
144357,19790215,    0,    0
144357,19790216,    0,    0
144357,19790217,    0,    0
144357,19790218,    0,    0
144357,19790219,    0,    0
144357,19790220,    4,    0
144357,19790221,    0,    0
144357,19790222,    0,    0
144357,19790223,    2,    0
144357,19790224,   10,    0
144357,19790225,   15,    0
144357,19790226,    0,    0
144357,19790227,    0,    0
144357,19790228,    8,    0
144357,19790301,    7,    0
144357,19790302,   13,    0
144357,19790303,    3,    0
144357,19790304,    0,    0
144357,19790305,    3,    0
144357,19790306,    0,    0
144357,19790307,    2,    0
144357,19790308,    3,    0
144357,19790309,    1,    0
144357,19790310,    0,    0
144357,19790311,    2,    0
144357,19790312,    9,    0
144357,19790313,    6,    0
144357,19790314,    1,    0
144357,19790315,    0,    0
144357,19790316,    0,    0
144357,19790317,    0,    0
144357,19790318,    2,    0
144357,19790319,    1,    0
144357,19790320,    0,    0
144357,19790321,   13,    0
144357,19790322,   45,    0
144357,19790323,   31,    0
144357,19790324,   53,    0
144357,19790325,    1,    0
144357,19790326,    3,    0
144357,19790327,   15,    0
144357,19790328,    0,    0
144357,19790329,    0,    0
144357,19790330,    0,    0
144357,19790331,    0,    0
144357,19790401,    6,    0
144357,19790402,    0,    0
144357,19790403,   20,    0
144357,19790404,    1,    0
144357,19790405,    0,    0
144357,19790406,    0,    0
144357,19790407,    0,    0
144357,19790408,    3,    0
144357,19790409,    0,    0
144357,19790410,    1,    0
144357,19790411,    0,    0
144357,19790412,    0,    0
144357,19790413,    0,    0
144357,19790414,   12,    0
144357,19790415,    0,    0
144357,19790416,    0,    0
144357,19790417,    0,    0
144357,19790418,    0,    0
144357,19790419,    0,    0
144357,19790420,   17,    0
144357,19790421,    0,    0
144357,19790422,    0,    0
