EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, YLISTARO PELMA (STAID: 7438).
Blended and updated with sources: 144322 144372 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144322,19790101,    0,    0
144322,19790102,    0,    0
144322,19790103,    0,    0
144322,19790104,    0,    0
144322,19790105,    0,    0
144372,19790106,    6,    0
144322,19790107,   29,    0
144322,19790108,    0,    0
144322,19790109,    1,    0
144322,19790110,    0,    0
144322,19790111,    0,    0
144372,19790112,   36,    0
144372,19790113,   64,    0
144372,19790114,    9,    0
144322,19790115,   18,    0
144322,19790116,    0,    0
144322,19790117,    0,    0
144322,19790118,    0,    0
144322,19790119,    0,    0
144322,19790120,    0,    0
144322,19790121,    0,    0
144322,19790122,    0,    0
144372,19790123,   14,    0
144372,19790124,   18,    0
144372,19790125,   16,    0
144372,19790126,   52,    0
144372,19790127,   12,    0
144322,19790128,    0,    0
144322,19790129,    0,    0
144322,19790130,    1,    0
144322,19790131,    0,    0
144372,19790201,   37,    0
144372,19790202,    3,    0
144372,19790203,    6,    0
144372,19790204,    3,    0
144372,19790205,    5,    0
144372,19790206,    1,    0
144372,19790207,   12,    0
144372,19790208,   21,    0
144372,19790209,    3,    0
144372,19790210,    1,    0
144322,19790211,   12,    0
144322,19790212,    0,    0
144322,19790213,    0,    0
144322,19790214,    0,    0
144322,19790215,    0,    0
144322,19790216,    0,    0
144322,19790217,    0,    0
144322,19790218,    0,    0
144322,19790219,    0,    0
144322,19790220,    2,    0
144322,19790221,    0,    0
144322,19790222,    0,    0
144372,19790223,    1,    0
144372,19790224,    8,    0
144322,19790225,   12,    0
144322,19790226,    0,    0
144322,19790227,    0,    0
144372,19790228,    6,    0
144372,19790301,    7,    0
144372,19790302,    6,    0
144322,19790303,    2,    0
144322,19790304,    0,    0
144322,19790305,    3,    0
144322,19790306,    0,    0
144322,19790307,    0,    0
144322,19790308,    0,    0
144322,19790309,    0,    0
144322,19790310,    0,    0
144372,19790311,    2,    0
144372,19790312,   11,    0
144322,19790313,    6,    0
144322,19790314,    0,    0
144322,19790315,    0,    0
144322,19790316,    0,    0
144322,19790317,    0,    0
144372,19790318,    1,    0
144322,19790319,    2,    0
144322,19790320,    0,    0
144372,19790321,   12,    0
144372,19790322,   43,    0
144372,19790323,   14,    0
144322,19790324,   54,    0
144322,19790325,    0,    0
144372,19790326,    3,    0
144322,19790327,    9,    0
144322,19790328,    0,    0
144322,19790329,    0,    0
144322,19790330,    0,    0
144322,19790331,    0,    0
144322,19790401,    9,    0
144322,19790402,    0,    0
144372,19790403,   14,    0
144322,19790404,    2,    0
144322,19790405,    0,    0
144322,19790406,    0,    0
144322,19790407,    0,    0
144322,19790408,    8,    0
144322,19790409,    0,    0
144322,19790410,    0,    0
144322,19790411,    0,    0
144322,19790412,    0,    0
144322,19790413,    0,    0
144322,19790414,    6,    0
144322,19790415,    0,    0
144322,19790416,    0,    0
144322,19790417,    0,    0
144322,19790418,    0,    0
144322,19790419,    0,    0
