EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, KAUHAVA KK UUNIMAANTIE (STAID: 7459).
Blended and updated with sources: 144407 144477 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144407,19790101,    1,    0
144407,19790102,    1,    0
144407,19790103,    0,    0
144407,19790104,    0,    0
144407,19790105,    0,    0
144407,19790106,   13,    0
144407,19790107,   13,    0
144407,19790108,    0,    0
144407,19790109,    0,    0
144407,19790110,    0,    0
144407,19790111,    1,    0
144407,19790112,    9,    0
144407,19790113,   68,    0
144407,19790114,    1,    0
144407,19790115,   18,    0
144407,19790116,    0,    0
144407,19790117,    1,    0
144407,19790118,    1,    0
144407,19790119,    1,    0
144407,19790120,    0,    0
144407,19790121,    1,    0
144407,19790122,    2,    0
144407,19790123,   12,    0
144407,19790124,    4,    0
144407,19790125,    9,    0
144407,19790126,   24,    0
144407,19790127,   14,    0
144407,19790128,    1,    0
144407,19790129,    1,    0
144407,19790130,    2,    0
144407,19790131,    1,    0
144407,19790201,   30,    0
144407,19790202,    1,    0
144407,19790203,    4,    0
144407,19790204,    3,    0
144407,19790205,    2,    0
144407,19790206,    1,    0
144407,19790207,    8,    0
144407,19790208,    7,    0
144407,19790209,    2,    0
144407,19790210,    1,    0
144407,19790211,   20,    0
144407,19790212,    1,    0
144407,19790213,    0,    0
144407,19790214,    0,    0
144407,19790215,    0,    0
144407,19790216,    0,    0
144407,19790217,    0,    0
144407,19790218,    0,    0
144407,19790219,    0,    0
144407,19790220,    5,    0
144407,19790221,    1,    0
144407,19790222,    0,    0
144407,19790223,    1,    0
144407,19790224,    1,    0
144407,19790225,    3,    0
144407,19790226,    0,    0
144407,19790227,    0,    0
144407,19790228,    7,    0
144407,19790301,    1,    0
144407,19790302,    3,    0
144407,19790303,    1,    0
144407,19790304,    0,    0
144407,19790305,    0,    0
144407,19790306,   14,    0
144407,19790307,    1,    0
144407,19790308,    1,    0
144407,19790309,    0,    0
144407,19790310,    0,    0
144407,19790311,    1,    0
144407,19790312,    5,    0
144407,19790313,    4,    0
144407,19790314,    1,    0
144407,19790315,    0,    0
144407,19790316,    0,    0
144407,19790317,    0,    0
144407,19790318,    1,    0
144407,19790319,    1,    0
144407,19790320,    1,    0
144407,19790321,    7,    0
