EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, HALSUA KANALA PUROLA (STAID: 7466).
Blended and updated with sources: 144517 144522 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144522,19790101,    0,    0
144522,19790102,    0,    0
144522,19790103,    0,    0
144522,19790104,    0,    0
144522,19790105,    0,    0
144522,19790106,   28,    0
144522,19790107,   17,    0
144522,19790108,    6,    0
144522,19790109,    0,    0
144522,19790110,    4,    0
144522,19790111,    3,    0
144522,19790112,   28,    0
144522,19790113,   97,    0
144522,19790114,   25,    0
144522,19790115,    8,    0
144522,19790116,    7,    0
144522,19790117,    2,    0
144522,19790118,    0,    0
144522,19790119,    0,    0
144522,19790120,    0,    0
144522,19790121,    2,    0
144522,19790122,    3,    0
144522,19790123,   20,    0
144522,19790124,    9,    0
144522,19790125,   23,    0
144522,19790126,   35,    0
144522,19790127,   12,    0
144522,19790128,    0,    0
144522,19790129,    0,    0
144522,19790130,    0,    0
144522,19790131,    0,    0
144522,19790201,   20,    0
144522,19790202,   21,    0
144522,19790203,    6,    0
144522,19790204,    2,    0
144522,19790205,    3,    0
144522,19790206,    0,    0
144522,19790207,   16,    0
144522,19790208,   43,    0
144522,19790209,    8,    0
144522,19790210,    3,    0
144522,19790211,   12,    0
144522,19790212,    0,    0
144522,19790213,    0,    0
144522,19790214,    0,    0
144522,19790215,    0,    0
144522,19790216,    0,    0
144522,19790217,    0,    0
144522,19790218,    0,    0
144522,19790219,    0,    0
144522,19790220,    6,    0
144522,19790221,    0,    0
144522,19790222,    0,    0
144522,19790223,    3,    0
144522,19790224,   18,    0
144522,19790225,    3,    0
144522,19790226,    0,    0
144522,19790227,    2,    0
144522,19790228,    3,    0
144522,19790301,    1,    0
144522,19790302,   10,    0
144522,19790303,   21,    0
144522,19790304,    0,    0
144522,19790305,    0,    0
144522,19790306,    0,    0
144522,19790307,    0,    0
144522,19790308,   26,    0
144522,19790309,    3,    0
144522,19790310,    0,    0
144522,19790311,    3,    0
144522,19790312,    7,    0
144522,19790313,   10,    0
144522,19790314,    2,    0
144522,19790315,    0,    0
144522,19790316,    0,    0
144522,19790317,    0,    0
144522,19790318,    5,    0
144522,19790319,   20,    0
144522,19790320,    0,    0
144522,19790321,   18,    0
144522,19790322,   77,    0
144522,19790323,   38,    0
144522,19790324,   28,    0
144522,19790325,    8,    0
144522,19790326,    1,    0
144522,19790327,   11,    0
144522,19790328,    0,    0
144522,19790329,    0,    0
144522,19790330,    0,    0
144522,19790331,    0,    0
144522,19790401,    8,    0
144522,19790402,    0,    0
144522,19790403,    8,    0
144522,19790404,   10,    0
144522,19790405,    2,    0
144522,19790406,    0,    0
144522,19790407,    0,    0
144522,19790408,   21,    0
144522,19790409,    1,    0
144522,19790410,    9,    0
144522,19790411,    0,    0
144522,19790412,    0,    0
144522,19790413,    0,    0
144522,19790414,   10,    0
144522,19790415,    0,    0
144522,19790416,    0,    0
144522,19790417,    4,    0
144522,19790418,    0,    0
144522,19790419,    0,    0
144522,19790420,    1,    0
144522,19790421,   13,    0
144522,19790422,    0,    0
