EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, RAUTAVAARA ALA-LUOSTA (STAID: 7528).
Blended and updated with sources: 144842 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144842,19790101,    0,    0
144842,19790102,    7,    0
144842,19790103,    0,    0
144842,19790104,    0,    0
144842,19790105,    0,    0
144842,19790106,    8,    0
144842,19790107,   64,    0
144842,19790108,    0,    0
144842,19790109,    1,    0
144842,19790110,   28,    0
144842,19790111,    0,    0
144842,19790112,    0,    0
144842,19790113,   25,    0
144842,19790114,   20,    0
144842,19790115,    3,    0
144842,19790116,   15,    0
144842,19790117,    2,    0
144842,19790118,    0,    0
144842,19790119,    0,    0
144842,19790120,    0,    0
144842,19790121,    0,    0
144842,19790122,   11,    0
144842,19790123,   11,    0
144842,19790124,   22,    0
144842,19790125,   14,    0
144842,19790126,   47,    0
144842,19790127,   38,    0
144842,19790128,   13,    0
144842,19790129,    4,    0
144842,19790130,    1,    0
144842,19790131,    0,    0
144842,19790201,-9999,    9
144842,19790202,-9999,    9
144842,19790203,-9999,    9
144842,19790204,-9999,    9
144842,19790205,-9999,    9
144842,19790206,-9999,    9
144842,19790207,-9999,    9
144842,19790208,-9999,    9
144842,19790209,-9999,    9
144842,19790210,-9999,    9
144842,19790211,-9999,    9
144842,19790212,-9999,    9
144842,19790213,-9999,    9
144842,19790214,-9999,    9
144842,19790215,-9999,    9
144842,19790216,-9999,    9
144842,19790217,-9999,    9
144842,19790218,-9999,    9
144842,19790219,-9999,    9
144842,19790220,-9999,    9
144842,19790221,-9999,    9
144842,19790222,-9999,    9
144842,19790223,-9999,    9
144842,19790224,-9999,    9
144842,19790225,-9999,    9
144842,19790226,-9999,    9
144842,19790227,-9999,    9
144842,19790228,-9999,    9
144842,19790301,   22,    0
144842,19790302,   70,    0
144842,19790303,   15,    0
144842,19790304,    0,    0
144842,19790305,    2,    0
144842,19790306,    0,    0
144842,19790307,    0,    0
144842,19790308,   20,    0
144842,19790309,   10,    0
144842,19790310,    5,    0
144842,19790311,    4,    0
144842,19790312,   10,    0
144842,19790313,   15,    0
144842,19790314,    1,    0
144842,19790315,    0,    0
144842,19790316,    0,    0
144842,19790317,    0,    0
144842,19790318,    0,    0
144842,19790319,   17,    0
144842,19790320,    6,    0
144842,19790321,   15,    0
144842,19790322,   40,    0
144842,19790323,    0,    0
144842,19790324,   42,    0
144842,19790325,    4,    0
144842,19790326,    0,    0
144842,19790327,    0,    0
144842,19790328,    0,    0
144842,19790329,    0,    0
144842,19790330,    0,    0
144842,19790331,    1,    0
144842,19790401,    1,    0
144842,19790402,    0,    0
144842,19790403,    3,    0
144842,19790404,    1,    0
144842,19790405,    0,    0
144842,19790406,    0,    0
144842,19790407,    0,    0
144842,19790408,    0,    0
144842,19790409,    0,    0
144842,19790410,    0,    0
144842,19790411,    5,    0
144842,19790412,    1,    0
144842,19790413,    0,    0
144842,19790414,   18,    0
144842,19790415,    0,    0
144842,19790416,    0,    0
144842,19790417,    0,    0
144842,19790418,    0,    0
144842,19790419,    0,    0
144842,19790420,    0,    0
144842,19790421,    0,    0
144842,19790422,    0,    0
144842,19790423,    0,    0
144842,19790424,    0,    0
144842,19790425,   10,    0
144842,19790426,   14,    0
144842,19790427,    0,    0
144842,19790428,   17,    0
144842,19790429,    3,    0
144842,19790430,   14,    0
144842,19790501,   11,    0
144842,19790502,    0,    0
144842,19790503,   15,    0
144842,19790504,   31,    0
144842,19790505,    1,    0
144842,19790506,   11,    0
144842,19790507,  143,    0
144842,19790508,   29,    0
144842,19790509,   29,    0
144842,19790510,   13,    0
144842,19790511,   14,    0
144842,19790512,    3,    0
144842,19790513,   28,    0
144842,19790514,   12,    0
144842,19790515,    0,    0
144842,19790516,    0,    0
144842,19790517,    0,    0
144842,19790518,    0,    0
144842,19790519,   31,    0
144842,19790520,   16,    0
144842,19790521,    0,    0
144842,19790522,    2,    0
144842,19790523,    0,    0
144842,19790524,    0,    0
144842,19790525,    0,    0
144842,19790526,    0,    0
144842,19790527,    0,    0
144842,19790528,   45,    0
144842,19790529,   33,    0
144842,19790530,    1,    0
144842,19790531,    0,    0
144842,19790601,    0,    0
144842,19790602,    3,    0
144842,19790603,    0,    0
144842,19790604,    0,    0
144842,19790605,    0,    0
144842,19790606,    0,    0
144842,19790607,    0,    0
144842,19790608,    0,    0
144842,19790609,   74,    0
144842,19790610,    2,    0
144842,19790611,    4,    0
144842,19790612,    0,    0
144842,19790613,    0,    0
144842,19790614,   26,    0
144842,19790615,   55,    0
144842,19790616,    0,    0
144842,19790617,   26,    0
144842,19790618,   23,    0
144842,19790619,    2,    0
144842,19790620,    0,    0
144842,19790621,    0,    0
144842,19790622,    0,    0
144842,19790623,    0,    0
144842,19790624,  156,    0
144842,19790625,    0,    0
144842,19790626,    0,    0
144842,19790627,   28,    0
144842,19790628,    6,    0
144842,19790629,   12,    0
144842,19790630,  107,    0
144842,19790701,    0,    0
144842,19790702,    4,    0
144842,19790703,    0,    0
144842,19790704,   36,    0
144842,19790705,    0,    0
144842,19790706,   48,    0
