EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, KOKKOLA HOLLIHAKA (STAID: 7591).
Blended and updated with sources: 145122 145157 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145122,19790101,    0,    0
145122,19790102,    0,    0
145122,19790103,    0,    0
145122,19790104,    0,    0
145122,19790105,    0,    0
145122,19790106,   18,    0
145122,19790107,   38,    0
145122,19790108,    0,    0
145122,19790109,    0,    0
145122,19790110,    0,    0
145122,19790111,    5,    0
145122,19790112,   30,    0
145122,19790113,   80,    0
145122,19790114,    0,    0
145122,19790115,    0,    0
145122,19790116,    0,    0
145122,19790117,   17,    0
145122,19790118,    0,    0
145122,19790119,    0,    0
145122,19790120,    0,    0
145122,19790121,    3,    0
145122,19790122,    3,    0
145122,19790123,   16,    0
145122,19790124,    6,    0
145122,19790125,   19,    0
145122,19790126,   18,    0
145122,19790127,   22,    0
145122,19790128,    1,    0
145122,19790129,    0,    0
145122,19790130,    0,    0
145122,19790131,    0,    0
145122,19790201,   22,    0
145122,19790202,    7,    0
145122,19790203,    3,    0
145122,19790204,    5,    0
145122,19790205,    7,    0
145122,19790206,    3,    0
145122,19790207,   49,    0
145122,19790208,   19,    0
145122,19790209,   14,    0
145122,19790210,    3,    0
145122,19790211,   11,    0
145122,19790212,    0,    0
145122,19790213,    0,    0
145122,19790214,    0,    0
145122,19790215,    0,    0
145122,19790216,    0,    0
145122,19790217,    0,    0
145122,19790218,    0,    0
145122,19790219,    0,    0
145122,19790220,    7,    0
145122,19790221,    0,    0
145122,19790222,    0,    0
145122,19790223,    7,    0
145122,19790224,   11,    0
145122,19790225,    7,    0
145122,19790226,    0,    0
145122,19790227,    3,    0
145122,19790228,    6,    0
145122,19790301,    3,    0
145122,19790302,    6,    0
145122,19790303,   23,    0
145122,19790304,    0,    0
145122,19790305,   16,    0
145122,19790306,    8,    0
145122,19790307,    0,    0
145122,19790308,    0,    0
145122,19790309,    0,    0
145122,19790310,    0,    0
145122,19790311,    0,    0
145122,19790312,    4,    0
145122,19790313,    3,    0
145122,19790314,    0,    0
145122,19790315,    0,    0
145122,19790316,    0,    0
145122,19790317,    0,    0
145122,19790318,    8,    0
145122,19790319,    7,    0
145122,19790320,    5,    0
145122,19790321,    0,    0
145122,19790322,   11,    0
145122,19790323,    7,    0
145122,19790324,   32,    0
145122,19790325,    0,    0
145122,19790326,    1,    0
145122,19790327,   13,    0
145122,19790328,    0,    0
145122,19790329,    0,    0
145122,19790330,    0,    0
145122,19790331,    0,    0
145122,19790401,   12,    0
145122,19790402,    0,    0
145122,19790403,   18,    0
145122,19790404,    2,    0
145122,19790405,    2,    0
145122,19790406,    0,    0
145122,19790407,    0,    0
145122,19790408,   19,    0
145122,19790409,    0,    0
145122,19790410,   11,    0
145122,19790411,    0,    0
145122,19790412,    0,    0
145122,19790413,    0,    0
145122,19790414,    5,    0
145122,19790415,    0,    0
145122,19790416,    0,    0
145122,19790417,    0,    0
145122,19790418,    0,    0
145122,19790419,    0,    0
145122,19790420,   18,    0
145122,19790421,    0,    0
145122,19790422,    0,    0
145122,19790423,    0,    0
145122,19790424,    0,    0
145122,19790425,   81,    0
145122,19790426,   30,    0
145122,19790427,   42,    0
145122,19790428,   13,    0
145122,19790429,   71,    0
145122,19790430,   53,    0
145122,19790501,   35,    0
145122,19790502,   69,    0
145122,19790503,   18,    0
145122,19790504,    0,    0
145122,19790505,   16,    0
145122,19790506,   10,    0
145122,19790507,    0,    0
145122,19790508,    0,    0
145122,19790509,    9,    0
145122,19790510,   40,    0
145122,19790511,    0,    0
145122,19790512,    0,    0
145122,19790513,   37,    0
145122,19790514,    0,    0
145122,19790515,    4,    0
145122,19790516,   11,    0
145122,19790517,    0,    0
145122,19790518,    0,    0
145122,19790519,   11,    0
145122,19790520,   20,    0
145122,19790521,    1,    0
145122,19790522,   39,    0
145122,19790523,    0,    0
145122,19790524,   61,    0
145122,19790525,   34,    0
145122,19790526,    0,    0
145122,19790527,    0,    0
145122,19790528,   28,    0
145122,19790529,    7,    0
145122,19790530,    0,    0
145122,19790531,    0,    0
145122,19790601,    0,    0
145122,19790602,    0,    0
145122,19790603,    0,    0
