EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, SOTKAMO VIHTAMOJARVI (STAID: 7651).
Blended and updated with sources: 145472 145502 902739 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145472,19790101,    0,    0
145472,19790102,    0,    0
145472,19790103,    0,    0
145472,19790104,    0,    0
145472,19790105,    0,    0
145472,19790106,    0,    0
145472,19790107,   51,    0
145472,19790108,   12,    0
145472,19790109,    2,    0
145472,19790110,    6,    0
145472,19790111,    0,    0
145472,19790112,    4,    0
145472,19790113,   29,    0
145472,19790114,   16,    0
145472,19790115,   20,    0
145472,19790116,    4,    0
145472,19790117,    3,    0
145472,19790118,    2,    0
145472,19790119,    0,    0
145472,19790120,    0,    0
145472,19790121,    2,    0
145472,19790122,    7,    0
145472,19790123,    3,    0
145472,19790124,   16,    0
145472,19790125,   25,    0
145472,19790126,   32,    0
145472,19790127,   42,    0
145472,19790128,    0,    0
145472,19790129,    0,    0
145472,19790130,    5,    0
145472,19790131,    0,    0
145472,19790201,   17,    0
145472,19790202,   83,    0
145472,19790203,   28,    0
145472,19790204,    1,    0
145472,19790205,    1,    0
145472,19790206,    0,    0
145472,19790207,   48,    0
145472,19790208,   31,    0
145472,19790209,    8,    0
145472,19790210,    4,    0
145472,19790211,    0,    0
145472,19790212,    0,    0
145472,19790213,    0,    0
145472,19790214,    0,    0
145472,19790215,    0,    0
145472,19790216,    0,    0
145472,19790217,    0,    0
145472,19790218,    0,    0
145472,19790219,    0,    0
145472,19790220,    8,    0
145472,19790221,    5,    0
145472,19790222,    0,    0
145472,19790223,    7,    0
145472,19790224,    3,    0
145472,19790225,   65,    0
145472,19790226,   20,    0
145472,19790227,    9,    0
145472,19790228,   21,    0
145472,19790301,   13,    0
145472,19790302,   42,    0
145472,19790303,    9,    0
145472,19790304,    0,    0
145472,19790305,   14,    0
145472,19790306,   13,    0
145472,19790307,    0,    0
145472,19790308,    3,    0
145472,19790309,    4,    0
145472,19790310,    3,    0
145472,19790311,    5,    0
145472,19790312,    8,    0
145472,19790313,    6,    0
145472,19790314,    1,    0
145472,19790315,    0,    0
145472,19790316,    0,    0
145472,19790317,    0,    0
145472,19790318,    1,    0
145472,19790319,   16,    0
145472,19790320,   13,    0
145472,19790321,    3,    0
145472,19790322,   48,    0
145472,19790323,   33,    0
145472,19790324,   32,    0
145472,19790325,   26,    0
145472,19790326,    0,    0
145472,19790327,    0,    0
145472,19790328,    7,    0
145472,19790329,    0,    0
145472,19790330,    0,    0
145472,19790331,    7,    0
145472,19790401,    5,    0
145472,19790402,    4,    0
145472,19790403,    2,    0
145472,19790404,    2,    0
145472,19790405,    3,    0
145472,19790406,    0,    0
145472,19790407,    0,    0
145472,19790408,    0,    0
145472,19790409,    0,    0
145472,19790410,    0,    0
145472,19790411,   27,    0
145472,19790412,    4,    0
145472,19790413,    2,    0
145472,19790414,   39,    0
145472,19790415,    0,    0
145472,19790416,    0,    0
145472,19790417,    0,    0
145472,19790418,    0,    0
145472,19790419,    0,    0
145472,19790420,    0,    0
145472,19790421,    0,    0
145472,19790422,    0,    0
145472,19790423,    0,    0
145472,19790424,    0,    0
145472,19790425,   16,    0
145472,19790426,   71,    0
145472,19790427,    0,    0
145472,19790428,   24,    0
145472,19790429,   18,    0
145472,19790430,   35,    0
145472,19790501,    4,    0
145472,19790502,    0,    0
145472,19790503,   28,    0
145472,19790504,   11,    0
145472,19790505,   10,    0
145472,19790506,    0,    0
145472,19790507,  216,    0
145472,19790508,   51,    0
145472,19790509,   20,    0
145472,19790510,   47,    0
145472,19790511,   60,    0
145472,19790512,   28,    0
145472,19790513,   20,    0
145472,19790514,   14,    0
145472,19790515,    9,    0
145472,19790516,    0,    0
145472,19790517,    1,    0
145472,19790518,    0,    0
145472,19790519,    7,    0
145472,19790520,   55,    0
145472,19790521,    2,    0
145472,19790522,    0,    0
145472,19790523,    0,    0
145472,19790524,    0,    0
145472,19790525,    0,    0
145472,19790526,    2,    0
145472,19790527,    0,    0
145472,19790528,   33,    0
145472,19790529,   43,    0
145472,19790530,    5,    0
145472,19790531,    0,    0
145472,19790601,    0,    0
145472,19790602,    0,    0
145472,19790603,    0,    0
145472,19790604,    0,    0
145472,19790605,    0,    0
145472,19790606,    0,    0
145472,19790607,   17,    0
145472,19790608,    4,    0
145472,19790609,  220,    0
145472,19790610,    4,    0
145472,19790611,    2,    0
145472,19790612,    0,    0
145472,19790613,    0,    0
145472,19790614,   82,    0
145472,19790615,   14,    0
145472,19790616,   45,    0
145472,19790617,    0,    0
145472,19790618,   64,    0
145472,19790619,    0,    0
145472,19790620,    0,    0
145472,19790621,    0,    0
145472,19790622,    1,    0
145472,19790623,    2,    0
145472,19790624,   18,    0
145472,19790625,   73,    0
145472,19790626,   64,    0
145472,19790627,    0,    0
145472,19790628,   92,    0
145472,19790629,    2,    0
145472,19790630,  176,    0
145472,19790701,    0,    0
145472,19790702,    0,    0
145472,19790703,   21,    0
145472,19790704,    6,    0
145472,19790705,    1,    0
145472,19790706,    2,    0
145472,19790707,    0,    0
145472,19790708,    0,    0
145472,19790709,   74,    0
145472,19790710,    4,    0
145472,19790711,    0,    0
145472,19790712,    2,    0
145472,19790713,    1,    0
145472,19790714,    0,    0
145472,19790715,    0,    0
145472,19790716,    0,    0
145472,19790717,    0,    0
145472,19790718,    4,    0
145472,19790719,  174,    0
145472,19790720,   97,    0
145472,19790721,   75,    0
145472,19790722,   77,    0
145472,19790723,    3,    0
145472,19790724,    4,    0
145472,19790725,    0,    0
145472,19790726,    0,    0
145472,19790727,    0,    0
145472,19790728,    0,    0
145472,19790729,    0,    0
145472,19790730,    0,    0
145472,19790731,    0,    0
145472,19790801,   40,    0
145472,19790802,   71,    0
145472,19790803,  183,    0
145472,19790804,  179,    0
145472,19790805,    3,    0
145472,19790806,    0,    0
145472,19790807,    0,    0
145472,19790808,    0,    0
145472,19790809,    0,    0
145472,19790810,    0,    0
145472,19790811,    3,    0
145472,19790812,    0,    0
145472,19790813,    0,    0
145472,19790814,   60,    0
145472,19790815,    0,    0
145472,19790816,    0,    0
145472,19790817,    0,    0
145472,19790818,    0,    0
145472,19790819,    0,    0
145472,19790820,  116,    0
145472,19790821,  354,    0
145472,19790822,   72,    0
145472,19790823,    7,    0
145472,19790824,   81,    0
145472,19790825,    2,    0
145472,19790826,   30,    0
145472,19790827,   54,    0
145472,19790828,    0,    0
145472,19790829,    0,    0
145472,19790830,   62,    0
145472,19790831,    3,    0
145472,19790901,   48,    0
145472,19790902,    0,    0
145472,19790903,    0,    0
145472,19790904,  170,    0
145472,19790905,    0,    0
145472,19790906,    0,    0
145472,19790907,    0,    0
145472,19790908,    0,    0
145472,19790909,    0,    0
145472,19790910,    8,    0
145472,19790911,   78,    0
145472,19790912,   89,    0
145472,19790913,  157,    0
145472,19790914,   95,    0
145472,19790915,   49,    0
145472,19790916,    6,    0
145472,19790917,   43,    0
145472,19790918,   53,    0
145472,19790919,  115,    0
145472,19790920,    0,    0
145472,19790921,   87,    0
145472,19790922,   18,    0
145472,19790923,    0,    0
145472,19790924,   24,    0
145472,19790925,    0,    0
145472,19790926,   12,    0
145472,19790927,  160,    0
145472,19790928,    3,    0
145472,19790929,    0,    0
145472,19790930,    0,    0
145472,19791001,    0,    0
145472,19791002,    0,    0
145472,19791003,    0,    0
145472,19791004,    0,    0
145472,19791005,    0,    0
145472,19791006,    0,    0
145472,19791007,    2,    0
145472,19791008,   53,    0
145472,19791009,    0,    0
145472,19791010,  240,    0
145472,19791011,  210,    0
145472,19791012,    2,    0
145472,19791013,    3,    0
145472,19791014,   58,    0
145472,19791015,  212,    0
145472,19791016,   86,    0
145472,19791017,   10,    0
145472,19791018,    0,    0
145472,19791019,    3,    0
145472,19791020,    5,    0
145472,19791021,   47,    0
145472,19791022,   53,    0
145472,19791023,    0,    0
145472,19791024,    0,    0
145472,19791025,    0,    0
145472,19791026,    0,    0
145472,19791027,    0,    0
145472,19791028,    0,    0
145472,19791029,    2,    0
145472,19791030,    1,    0
145472,19791031,    0,    0
145472,19791101,    1,    0
145472,19791102,    0,    0
145472,19791103,    0,    0
145472,19791104,   31,    0
145472,19791105,   28,    0
145472,19791106,   10,    0
145472,19791107,   51,    0
145472,19791108,   47,    0
145472,19791109,    3,    0
145472,19791110,    4,    0
145472,19791111,   28,    0
145472,19791112,   27,    0
145472,19791113,   53,    0
145472,19791114,   12,    0
145472,19791115,    0,    0
145472,19791116,   41,    0
145472,19791117,    5,    0
145472,19791118,    3,    0
145472,19791119,   13,    0
145472,19791120,   47,    0
145472,19791121,    0,    0
145472,19791122,   24,    0
145472,19791123,   29,    0
145472,19791124,   87,    0
145472,19791125,   46,    0
145472,19791126,   39,    0
145472,19791127,    0,    0
145472,19791128,    6,    0
145472,19791129,    8,    0
145472,19791130,    2,    0
145472,19791201,    1,    0
145472,19791202,   20,    0
145472,19791203,    0,    0
145472,19791204,    8,    0
145472,19791205,   87,    0
145472,19791206,   13,    0
145472,19791207,    0,    0
145472,19791208,    2,    0
145472,19791209,    9,    0
145472,19791210,    3,    0
145472,19791211,    0,    0
145472,19791212,    0,    0
145472,19791213,    2,    0
145472,19791214,    6,    0
145472,19791215,   27,    0
145472,19791216,   38,    0
145472,19791217,   57,    0
145472,19791218,   36,    0
145472,19791219,    3,    0
145472,19791220,    0,    0
145472,19791221,    0,    0
145472,19791222,    4,    0
145472,19791223,    5,    0
145472,19791224,    3,    0
145472,19791225,    7,    0
145472,19791226,   49,    0
145472,19791227,   17,    0
145472,19791228,   37,    0
145472,19791229,    5,    0
145472,19791230,    6,    0
145472,19791231,    8,    0
145472,19800101,   10,    0
145472,19800102,   38,    0
145472,19800103,   32,    0
145472,19800104,    5,    0
145472,19800105,    0,    0
145472,19800106,    4,    0
145472,19800107,    0,    0
145472,19800108,    1,    0
145472,19800109,    2,    0
145472,19800110,    1,    0
145472,19800111,    0,    0
145472,19800112,   12,    0
145472,19800113,   59,    0
145472,19800114,    5,    0
145472,19800115,   14,    0
145472,19800116,    8,    0
145472,19800117,   17,    0
145472,19800118,    3,    0
145472,19800119,    0,    0
145472,19800120,    2,    0
145472,19800121,    0,    0
145472,19800122,    1,    0
145472,19800123,    3,    0
145472,19800124,    0,    0
145472,19800125,    0,    0
145472,19800126,    0,    0
145472,19800127,    0,    0
145472,19800128,   12,    0
145472,19800129,   36,    0
145472,19800130,    4,    0
145472,19800131,    0,    0
145472,19800201,    2,    0
145472,19800202,    4,    0
145472,19800203,   26,    0
145472,19800204,   10,    0
145472,19800205,    4,    0
145472,19800206,    1,    0
145472,19800207,   12,    0
145472,19800208,    7,    0
145472,19800209,    2,    0
145472,19800210,    0,    0
145472,19800211,    0,    0
145472,19800212,   15,    0
145472,19800213,    7,    0
145472,19800214,   14,    0
145472,19800215,  130,    0
145472,19800216,   29,    0
145472,19800217,    0,    0
145472,19800218,    0,    0
145472,19800219,    0,    0
145472,19800220,    0,    0
145472,19800221,    0,    0
145472,19800222,    0,    0
145472,19800223,    0,    0
145472,19800224,    0,    0
145472,19800225,    0,    0
145472,19800226,    0,    0
145472,19800227,    0,    0
145472,19800228,   34,    0
145472,19800229,    5,    0
145472,19800301,   44,    0
145472,19800302,    4,    0
145472,19800303,   12,    0
145472,19800304,    6,    0
145472,19800305,   12,    0
145472,19800306,   26,    0
145472,19800307,    0,    0
145472,19800308,    0,    0
145472,19800309,    0,    0
145472,19800310,    0,    0
145472,19800311,    0,    0
145472,19800312,    0,    0
145472,19800313,    0,    0
145472,19800314,    0,    0
145472,19800315,    2,    0
145472,19800316,    3,    0
145472,19800317,    0,    0
145472,19800318,    0,    0
145472,19800319,    0,    0
145472,19800320,    0,    0
145472,19800321,    0,    0
145472,19800322,    0,    0
145472,19800323,    0,    0
145472,19800324,    0,    0
145472,19800325,    0,    0
145472,19800326,    0,    0
145472,19800327,    0,    0
145472,19800328,    0,    0
145472,19800329,    2,    0
145472,19800330,    0,    0
145472,19800331,   43,    0
145472,19800401,    2,    0
145472,19800402,    0,    0
145472,19800403,    0,    0
145472,19800404,    0,    0
145472,19800405,    0,    0
145472,19800406,    0,    0
145472,19800407,    0,    0
145472,19800408,   20,    0
145472,19800409,   13,    0
145472,19800410,    7,    0
145472,19800411,    0,    0
145472,19800412,    0,    0
145472,19800413,    0,    0
145472,19800414,    0,    0
145472,19800415,    0,    0
145472,19800416,    0,    0
145472,19800417,    0,    0
145472,19800418,    5,    0
145472,19800419,    2,    0
145472,19800420,   48,    0
145472,19800421,    3,    0
145472,19800422,    0,    0
145472,19800423,    0,    0
145472,19800424,    0,    0
145472,19800425,  177,    0
145472,19800426,    0,    0
145472,19800427,   17,    0
145472,19800428,    0,    0
145472,19800429,  144,    0
145472,19800430,   12,    0
145472,19800501,    0,    0
145472,19800502,    0,    0
145472,19800503,    0,    0
145472,19800504,    0,    0
145472,19800505,    0,    0
145472,19800506,    0,    0
145472,19800507,    0,    0
145472,19800508,  132,    0
145472,19800509,   45,    0
145472,19800510,   48,    0
145472,19800511,    0,    0
145472,19800512,    3,    0
145472,19800513,    0,    0
145472,19800514,    0,    0
145472,19800515,    0,    0
145472,19800516,    0,    0
145472,19800517,    7,    0
145472,19800518,   30,    0
145472,19800519,    0,    0
145472,19800520,    4,    0
145472,19800521,    1,    0
145472,19800522,    0,    0
145472,19800523,    7,    0
145472,19800524,   16,    0
145472,19800525,   45,    0
145472,19800526,   18,    0
145472,19800527,   36,    0
145472,19800528,    0,    0
145472,19800529,    0,    0
145472,19800530,    0,    0
145472,19800531,   10,    0
145472,19800601,    0,    0
145472,19800602,    0,    0
145472,19800603,    0,    0
145472,19800604,    0,    0
145472,19800605,    2,    0
145472,19800606,    0,    0
145472,19800607,    0,    0
145472,19800608,    0,    0
145472,19800609,    0,    0
145472,19800610,   13,    0
145472,19800611,  168,    0
145472,19800612,   17,    0
145472,19800613,    0,    0
145472,19800614,    0,    0
145472,19800615,    0,    0
145472,19800616,    0,    0
145472,19800617,    0,    0
145472,19800618,    0,    0
145472,19800619,    0,    0
145472,19800620,    1,    0
145472,19800621,  215,    0
145472,19800622,   27,    0
145472,19800623,    0,    0
145472,19800624,    5,    0
145472,19800625,  104,    0
145472,19800626,   25,    0
145472,19800627,  149,    0
145472,19800628,  178,    0
145472,19800629,    0,    0
145472,19800630,    0,    0
145472,19800701,    0,    0
145472,19800702,    0,    0
145472,19800703,    0,    0
145472,19800704,    2,    0
145472,19800705,    0,    0
145472,19800706,   48,    0
145472,19800707,    2,    0
145472,19800708,   23,    0
145472,19800709,    8,    0
145472,19800710,    0,    0
145472,19800711,    0,    0
145472,19800712,    0,    0
145472,19800713,    0,    0
145472,19800714,    0,    0
145472,19800715,    0,    0
145472,19800716,    0,    0
145472,19800717,  199,    0
145472,19800718,   70,    0
145472,19800719,   37,    0
145472,19800720,    1,    0
145472,19800721,    0,    0
145472,19800722,   50,    0
145472,19800723,   27,    0
145472,19800724,    0,    0
145472,19800725,    0,    0
145472,19800726,    0,    0
145472,19800727,    0,    0
145472,19800728,    0,    0
145472,19800729,    0,    0
145472,19800730,    0,    0
145472,19800731,    0,    0
145472,19800801,    0,    0
145472,19800802,    0,    0
145472,19800803,    0,    0
145472,19800804,    0,    0
145472,19800805,   47,    0
145472,19800806,    5,    0
145472,19800807,   77,    0
145472,19800808,    0,    0
145472,19800809,    0,    0
145472,19800810,   57,    0
145472,19800811,    3,    0
145472,19800812,    0,    0
145472,19800813,    0,    0
145472,19800814,    0,    0
145472,19800815,    0,    0
145472,19800816,    0,    0
145472,19800817,    0,    0
145472,19800818,    0,    0
145472,19800819,    0,    0
145472,19800820,    0,    0
145472,19800821,    6,    0
145472,19800822,    0,    0
145472,19800823,    0,    0
145472,19800824,    1,    0
145472,19800825,    0,    0
145472,19800826,    0,    0
145472,19800827,    0,    0
145472,19800828,   75,    0
145472,19800829,  396,    0
145472,19800830,    0,    0
145472,19800831,    2,    0
145472,19800901,    3,    0
145472,19800902,    0,    0
145472,19800903,  120,    0
145472,19800904,    0,    0
145472,19800905,    0,    0
145472,19800906,    8,    0
145472,19800907,   43,    0
145472,19800908,    1,    0
145472,19800909,    5,    0
145472,19800910,  103,    0
145472,19800911,    0,    0
145472,19800912,    0,    0
145472,19800913,   34,    0
145472,19800914,  227,    0
145472,19800915,   15,    0
145472,19800916,    0,    0
145472,19800917,    0,    0
145472,19800918,    0,    0
145472,19800919,    0,    0
145472,19800920,    0,    0
145472,19800921,    0,    0
145472,19800922,    0,    0
145472,19800923,    0,    0
145472,19800924,    0,    0
145472,19800925,    0,    0
145472,19800926,    0,    0
145472,19800927,    0,    0
145472,19800928,    0,    0
145472,19800929,    0,    0
145472,19800930,    6,    0
145472,19801001,  109,    0
145472,19801002,   51,    0
145472,19801003,   14,    0
145472,19801004,    0,    0
145472,19801005,    0,    0
145472,19801006,    0,    0
145472,19801007,   18,    0
145472,19801008,   94,    0
145472,19801009,   12,    0
145472,19801010,   53,    0
145472,19801011,  175,    0
145472,19801012,   42,    0
145472,19801013,  214,    0
145472,19801014,   28,    0
145472,19801015,   69,    0
145472,19801016,   31,    0
145472,19801017,   12,    0
145472,19801018,  182,    0
145472,19801019,    8,    0
145472,19801020,    3,    0
145472,19801021,   17,    0
