EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, RISTIJARVI MUSTAVAARA (STAID: 7654).
Blended and updated with sources: 145487 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145487,19790101,-9999,    9
145487,19790102,-9999,    9
145487,19790103,-9999,    9
145487,19790104,-9999,    9
145487,19790105,-9999,    9
145487,19790106,-9999,    9
145487,19790107,-9999,    9
145487,19790108,-9999,    9
145487,19790109,-9999,    9
145487,19790110,-9999,    9
145487,19790111,-9999,    9
145487,19790112,-9999,    9
145487,19790113,-9999,    9
145487,19790114,-9999,    9
145487,19790115,-9999,    9
145487,19790116,-9999,    9
145487,19790117,-9999,    9
145487,19790118,-9999,    9
145487,19790119,-9999,    9
145487,19790120,-9999,    9
145487,19790121,-9999,    9
145487,19790122,-9999,    9
145487,19790123,-9999,    9
145487,19790124,-9999,    9
145487,19790125,-9999,    9
145487,19790126,-9999,    9
145487,19790127,-9999,    9
145487,19790128,-9999,    9
145487,19790129,-9999,    9
145487,19790130,-9999,    9
145487,19790131,-9999,    9
145487,19790201,   34,    0
145487,19790202,   55,    0
145487,19790203,   62,    0
145487,19790204,   24,    0
145487,19790205,    1,    0
145487,19790206,    0,    0
145487,19790207,   84,    0
145487,19790208,   38,    0
145487,19790209,    3,    0
145487,19790210,    0,    0
145487,19790211,    0,    0
145487,19790212,    0,    0
145487,19790213,    0,    0
145487,19790214,    0,    0
145487,19790215,    2,    0
145487,19790216,    0,    0
145487,19790217,    1,    0
145487,19790218,    1,    0
145487,19790219,    1,    0
145487,19790220,   12,    0
145487,19790221,    0,    0
145487,19790222,    0,    0
145487,19790223,    3,    0
145487,19790224,   47,    0
145487,19790225,   32,    0
145487,19790226,   13,    0
145487,19790227,   15,    0
145487,19790228,   13,    0
145487,19790301,    0,    0
145487,19790302,   21,    0
145487,19790303,    9,    0
145487,19790304,    4,    0
145487,19790305,   18,    0
145487,19790306,    2,    0
145487,19790307,    5,    0
145487,19790308,   15,    0
145487,19790309,    2,    0
145487,19790310,    3,    0
145487,19790311,    2,    0
145487,19790312,    5,    0
145487,19790313,    0,    0
145487,19790314,    4,    0
145487,19790315,   10,    0
145487,19790316,    0,    0
145487,19790317,    1,    0
145487,19790318,    4,    0
145487,19790319,   16,    0
145487,19790320,    9,    0
145487,19790321,    7,    0
145487,19790322,    4,    0
145487,19790323,   28,    0
145487,19790324,   27,    0
145487,19790325,    3,    0
145487,19790326,    0,    0
145487,19790327,    0,    0
145487,19790328,    0,    0
145487,19790329,    0,    0
145487,19790330,    0,    0
145487,19790331,    0,    0
145487,19790401,   10,    0
145487,19790402,    4,    0
145487,19790403,    7,    0
145487,19790404,    2,    0
145487,19790405,    0,    0
145487,19790406,    0,    0
145487,19790407,    0,    0
145487,19790408,    0,    0
