EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, NURMES MUJEJARVI (STAID: 7661).
Blended and updated with sources: 145522 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145522,19790101,    0,    0
145522,19790102,    0,    0
145522,19790103,    0,    0
145522,19790104,    0,    0
145522,19790105,    0,    0
145522,19790106,    0,    0
145522,19790107,   56,    0
145522,19790108,   12,    0
145522,19790109,    4,    0
145522,19790110,   26,    0
145522,19790111,    4,    0
145522,19790112,    2,    0
145522,19790113,   18,    0
145522,19790114,   17,    0
145522,19790115,    0,    0
145522,19790116,   21,    0
145522,19790117,    4,    0
145522,19790118,    3,    0
145522,19790119,    0,    0
145522,19790120,    0,    0
145522,19790121,    5,    0
145522,19790122,    9,    0
145522,19790123,   12,    0
145522,19790124,   15,    0
145522,19790125,   19,    0
145522,19790126,   23,    0
145522,19790127,   68,    0
145522,19790128,    4,    0
145522,19790129,    3,    0
145522,19790130,    2,    0
145522,19790131,    3,    0
145522,19790201,    2,    0
145522,19790202,   21,    0
145522,19790203,   18,    0
145522,19790204,    9,    0
145522,19790205,    7,    0
145522,19790206,    4,    0
145522,19790207,   26,    0
145522,19790208,   12,    0
145522,19790209,    8,    0
145522,19790210,    0,    0
145522,19790211,    0,    0
145522,19790212,    0,    0
145522,19790213,    0,    0
145522,19790214,    0,    0
145522,19790215,    0,    0
145522,19790216,    0,    0
145522,19790217,    0,    0
145522,19790218,    0,    0
145522,19790219,    0,    0
145522,19790220,   14,    0
145522,19790221,   12,    0
145522,19790222,    0,    0
145522,19790223,    4,    0
145522,19790224,    7,    0
145522,19790225,   67,    0
145522,19790226,    8,    0
145522,19790227,    6,    0
145522,19790228,   17,    0
145522,19790301,    5,    0
145522,19790302,   35,    0
145522,19790303,   31,    0
145522,19790304,    0,    0
145522,19790305,    8,    0
145522,19790306,   31,    0
145522,19790307,    6,    0
145522,19790308,   20,    0
145522,19790309,    0,    0
145522,19790310,    2,    0
145522,19790311,    8,    0
145522,19790312,   11,    0
145522,19790313,   18,    0
145522,19790314,    3,    0
