EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, UTSJOKI NUORGAM (STAID: 7888).
Blended and updated with sources: 146703 201243 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
146703,19790101,   48,    0
146703,19790102,    4,    0
146703,19790103,    1,    0
146703,19790104,    2,    0
146703,19790105,    0,    0
146703,19790106,    1,    0
146703,19790107,   64,    0
146703,19790108,    2,    0
146703,19790109,    5,    0
146703,19790110,    0,    0
146703,19790111,    1,    0
146703,19790112,    0,    0
146703,19790113,   16,    0
146703,19790114,    1,    0
146703,19790115,    0,    0
146703,19790116,    4,    0
146703,19790117,    1,    0
146703,19790118,   14,    0
146703,19790119,   31,    0
146703,19790120,   28,    0
146703,19790121,   21,    0
146703,19790122,    0,    0
146703,19790123,   19,    0
146703,19790124,   24,    0
146703,19790125,    8,    0
146703,19790126,    9,    0
146703,19790127,    0,    0
146703,19790128,    1,    0
146703,19790129,    6,    0
146703,19790130,    0,    0
146703,19790131,    0,    0
146703,19790201,    0,    0
146703,19790202,    6,    0
146703,19790203,    1,    0
146703,19790204,   16,    0
146703,19790205,    0,    0
146703,19790206,    1,    0
146703,19790207,    9,    0
146703,19790208,   11,    0
146703,19790209,   14,    0
146703,19790210,    2,    0
146703,19790211,    2,    0
146703,19790212,    2,    0
146703,19790213,    5,    0
146703,19790214,    6,    0
146703,19790215,    1,    0
146703,19790216,    6,    0
146703,19790217,    3,    0
146703,19790218,    0,    0
146703,19790219,    0,    0
146703,19790220,    0,    0
146703,19790221,    1,    0
146703,19790222,    1,    0
146703,19790223,   36,    0
