EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, INARI NAATAMO (STAID: 7908).
Blended and updated with sources: 146798 146803 201957 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
146803,19790101,    6,    0
146803,19790102,    0,    0
146803,19790103,    0,    0
146803,19790104,    1,    0
146803,19790105,    0,    0
146803,19790106,    0,    0
146803,19790107,    2,    0
146803,19790108,    9,    0
146803,19790109,    3,    0
146803,19790110,    0,    0
146803,19790111,    0,    0
146803,19790112,    2,    0
146803,19790113,   42,    0
146803,19790114,    3,    0
146803,19790115,    0,    0
146803,19790116,    0,    0
146803,19790117,    2,    0
146803,19790118,    4,    0
146803,19790119,   30,    0
146803,19790120,    6,    0
146803,19790121,   19,    0
146803,19790122,   11,    0
146803,19790123,    0,    0
146803,19790124,   23,    0
146803,19790125,    0,    0
146803,19790126,    5,    0
146803,19790127,    4,    0
146803,19790128,    0,    0
146803,19790129,    0,    0
146803,19790130,    0,    0
146803,19790131,    0,    0
146803,19790201,    0,    0
146803,19790202,    0,    0
146803,19790203,    3,    0
146803,19790204,    4,    0
146803,19790205,    5,    0
146803,19790206,    6,    0
146803,19790207,   18,    0
146803,19790208,   15,    0
146803,19790209,   20,    0
146803,19790210,   28,    0
146803,19790211,    5,    0
146803,19790212,   46,    0
146803,19790213,   12,    0
146803,19790214,   10,    0
146803,19790215,    0,    0
146803,19790216,    2,    0
146803,19790217,    3,    0
146803,19790218,    0,    0
146803,19790219,    0,    0
146803,19790220,    0,    0
146803,19790221,    1,    0
146803,19790222,    3,    0
146803,19790223,   60,    0
146803,19790224,    0,    0
146803,19790225,    5,    0
146803,19790226,   85,    0
146803,19790227,    3,    0
146803,19790228,    0,    0
146803,19790301,    3,    0
146803,19790302,    1,    0
146803,19790303,   10,    0
146803,19790304,    0,    0
146803,19790305,    6,    0
146803,19790306,   22,    0
146803,19790307,    5,    0
146803,19790308,    0,    0
146803,19790309,    9,    0
146803,19790310,    8,    0
146803,19790311,    0,    0
146803,19790312,    0,    0
146803,19790313,   11,    0
146803,19790314,    0,    0
146803,19790315,    0,    0
146803,19790316,    0,    0
146803,19790317,    0,    0
146803,19790318,   14,    0
146803,19790319,    1,    0
146803,19790320,    3,    0
146803,19790321,    0,    0
146803,19790322,    0,    0
146803,19790323,    0,    0
146803,19790324,    4,    0
146803,19790325,    6,    0
146803,19790326,   31,    0
146803,19790327,    0,    0
146803,19790328,    0,    0
146803,19790329,    0,    0
146803,19790330,    0,    0
