EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, TOULOUSE-BLAGNAC (STAID: 33).
Blended and updated with sources: 100105 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100105,19790101,   10,    0
100105,19790102,    0,    0
100105,19790103,  108,    0
100105,19790104,    0,    0
100105,19790105,    2,    0
100105,19790106,    0,    0
100105,19790107,   28,    0
100105,19790108,  100,    0
100105,19790109,   14,    0
100105,19790110,  228,    0
100105,19790111,   82,    0
100105,19790112,   18,    0
100105,19790113,    0,    0
100105,19790114,    0,    0
100105,19790115,    0,    0
100105,19790116,    0,    0
100105,19790117,    0,    0
100105,19790118,    0,    0
100105,19790119,   16,    0
100105,19790120,    0,    0
100105,19790121,    6,    0
100105,19790122,   24,    0
100105,19790123,    0,    0
100105,19790124,    6,    0
100105,19790125,    0,    0
100105,19790126,    6,    0
100105,19790127,   14,    0
100105,19790128,    2,    0
100105,19790129,   22,    0
100105,19790130,   58,    0
100105,19790131,    0,    0
100105,19790201,   14,    0
100105,19790202,   84,    0
100105,19790203,   36,    0
100105,19790204,  284,    0
100105,19790205,   40,    0
100105,19790206,   84,    0
100105,19790207,   48,    0
100105,19790208,   12,    0
100105,19790209,    4,    0
100105,19790210,    2,    0
100105,19790211,   53,    0
100105,19790212,   18,    0
100105,19790213,   36,    0
100105,19790214,   12,    0
100105,19790215,    4,    0
100105,19790216,    0,    0
100105,19790217,    0,    0
100105,19790218,    0,    0
100105,19790219,    0,    0
100105,19790220,    0,    0
100105,19790221,    0,    0
100105,19790222,    0,    0
100105,19790223,   16,    0
100105,19790224,    0,    0
100105,19790225,    0,    0
100105,19790226,    0,    0
100105,19790227,    0,    0
100105,19790228,   18,    0
100105,19790301,    0,    0
100105,19790302,    8,    0
100105,19790303,    2,    0
100105,19790304,    0,    0
100105,19790305,   22,    0
