EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, LYON - ST EXUPERY (STAID: 37).
Blended and updated with sources: 100121 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100121,19790101,    0,    0
100121,19790102,   16,    0
100121,19790103,   10,    0
100121,19790104,   39,    0
100121,19790105,    0,    0
100121,19790106,    0,    0
100121,19790107,    0,    0
100121,19790108,  180,    0
100121,19790109,   31,    0
100121,19790110,   46,    0
100121,19790111,   10,    0
100121,19790112,    9,    0
100121,19790113,    0,    0
100121,19790114,    0,    0
100121,19790115,    0,    0
100121,19790116,    0,    0
100121,19790117,    0,    0
100121,19790118,    0,    0
100121,19790119,    8,    0
100121,19790120,   72,    0
100121,19790121,    0,    0
100121,19790122,  252,    0
100121,19790123,   16,    0
100121,19790124,    1,    0
100121,19790125,    2,    0
100121,19790126,  348,    0
100121,19790127,  164,    0
100121,19790128,   47,    0
100121,19790129,    0,    0
100121,19790130,    3,    0
100121,19790131,    0,    0
100121,19790201,   29,    0
100121,19790202,   18,    0
100121,19790203,    0,    0
100121,19790204,  100,    0
100121,19790205,   62,    0
100121,19790206,   92,    0
100121,19790207,   49,    0
100121,19790208,    2,    0
100121,19790209,   73,    0
100121,19790210,   27,    0
100121,19790211,  120,    0
100121,19790212,    2,    0
100121,19790213,   22,    0
100121,19790214,    0,    0
