EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, RENNES-ST JACQUES (STAID: 322).
Blended and updated with sources: 104924 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104924,19790101,    0,    0
104924,19790102,    0,    0
104924,19790103,   14,    0
104924,19790104,   95,    0
104924,19790105,    1,    0
104924,19790106,    0,    0
104924,19790107,    0,    0
104924,19790108,   55,    0
104924,19790109,   47,    0
104924,19790110,  117,    0
104924,19790111,   48,    0
104924,19790112,    0,    0
104924,19790113,    0,    0
104924,19790114,    0,    0
104924,19790115,    0,    0
104924,19790116,    0,    0
104924,19790117,    0,    0
104924,19790118,    9,    0
104924,19790119,   96,    0
104924,19790120,   11,    0
104924,19790121,    0,    0
104924,19790122,   64,    0
104924,19790123,    0,    0
104924,19790124,    0,    0
104924,19790125,    1,    0
104924,19790126,    0,    0
104924,19790127,    0,    0
104924,19790128,   62,    0
104924,19790129,   19,    0
104924,19790130,    2,    0
104924,19790131,    6,    0
104924,19790201,   92,    0
104924,19790202,    1,    0
104924,19790203,    1,    0
104924,19790204,  206,    0
104924,19790205,   28,    0
104924,19790206,   88,    0
104924,19790207,    9,    0
104924,19790208,  114,    0
104924,19790209,  114,    0
104924,19790210,   41,    0
104924,19790211,   61,    0
104924,19790212,   41,    0
104924,19790213,   69,    0
104924,19790214,    1,    0
104924,19790215,    4,    0
104924,19790216,    0,    0
104924,19790217,    0,    0
104924,19790218,    4,    0
104924,19790219,   15,    0
104924,19790220,    0,    0
104924,19790221,    0,    0
104924,19790222,    4,    0
104924,19790223,    0,    0
104924,19790224,    0,    0
104924,19790225,    0,    0
104924,19790226,    0,    0
104924,19790227,    7,    0
104924,19790228,   58,    0
104924,19790301,   16,    0
104924,19790302,   11,    0
104924,19790303,    0,    0
104924,19790304,   40,    0
104924,19790305,    0,    0
104924,19790306,   67,    0
104924,19790307,    3,    0
104924,19790308,    1,    0
104924,19790309,   26,    0
104924,19790310,   41,    0
104924,19790311,    0,    0
104924,19790312,    0,    0
104924,19790313,   21,    0
104924,19790314,   50,    0
104924,19790315,  143,    0
104924,19790316,    9,    0
104924,19790317,   24,    0
104924,19790318,   28,    0
104924,19790319,   16,    0
104924,19790320,   12,    0
104924,19790321,   10,    0
104924,19790322,   58,    0
104924,19790323,    0,    0
104924,19790324,   95,    0
104924,19790325,   26,    0
104924,19790326,   15,    0
104924,19790327,   33,    0
104924,19790328,   59,    0
104924,19790329,   50,    0
104924,19790330,    4,    0
104924,19790331,   18,    0
104924,19790401,   13,    0
104924,19790402,   94,    0
104924,19790403,    3,    0
104924,19790404,    0,    0
104924,19790405,   20,    0
104924,19790406,   25,    0
104924,19790407,    7,    0
104924,19790408,    1,    0
104924,19790409,   28,    0
104924,19790410,   31,    0
104924,19790411,   20,    0
104924,19790412,   18,    0
104924,19790413,    0,    0
104924,19790414,    0,    0
104924,19790415,    0,    0
104924,19790416,    0,    0
104924,19790417,    0,    0
104924,19790418,    0,    0
104924,19790419,    4,    0
104924,19790420,    0,    0
104924,19790421,   86,    0
104924,19790422,   16,    0
104924,19790423,   21,    0
104924,19790424,   88,    0
104924,19790425,    6,    0
104924,19790426,    2,    0
104924,19790427,    0,    0
104924,19790428,   52,    0
104924,19790429,    0,    0
104924,19790430,    2,    0
104924,19790501,   53,    0
104924,19790502,   28,    0
104924,19790503,   19,    0
104924,19790504,    0,    0
104924,19790505,    3,    0
104924,19790506,    1,    0
104924,19790507,    0,    0
104924,19790508,    0,    0
104924,19790509,    0,    0
104924,19790510,    0,    0
104924,19790511,    0,    0
104924,19790512,    0,    0
