EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, ROUEN - BOOS (STAID: 2184).
Blended and updated with sources: 106184 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
106184,19790101,    1,    0
106184,19790102,    6,    0
106184,19790103,    0,    0
106184,19790104,    0,    0
106184,19790105,    0,    0
106184,19790106,    0,    0
106184,19790107,    0,    0
106184,19790108,   50,    0
106184,19790109,   34,    0
106184,19790110,  106,    0
106184,19790111,    0,    0
106184,19790112,   20,    0
106184,19790113,    0,    0
106184,19790114,    0,    0
106184,19790115,    0,    0
106184,19790116,    0,    0
106184,19790117,    0,    0
106184,19790118,    2,    0
106184,19790119,   30,    0
106184,19790120,    8,    0
106184,19790121,    0,    0
106184,19790122,   27,    0
106184,19790123,    8,    0
106184,19790124,    1,    0
106184,19790125,    0,    0
106184,19790126,    0,    0
106184,19790127,    0,    0
106184,19790128,    2,    0
106184,19790129,    0,    0
106184,19790130,    7,    0
106184,19790131,    0,    0
106184,19790201,   80,    0
106184,19790202,    3,    0
106184,19790203,    0,    0
106184,19790204,   45,    0
106184,19790205,    0,    0
106184,19790206,   89,    0
106184,19790207,   38,    0
106184,19790208,   65,    0
106184,19790209,   46,    0
106184,19790210,   61,    0
106184,19790211,   93,    0
106184,19790212,   34,    0
106184,19790213,   65,    0
106184,19790214,    4,    0
106184,19790215,   11,    0
106184,19790216,    3,    0
106184,19790217,    0,    0
106184,19790218,    1,    0
106184,19790219,    0,    0
106184,19790220,    0,    0
106184,19790221,    0,    0
106184,19790222,    5,    0
106184,19790223,    0,    0
106184,19790224,    0,    0
106184,19790225,    0,    0
106184,19790226,    0,    0
106184,19790227,    0,    0
106184,19790228,    6,    0
106184,19790301,   13,    0
106184,19790302,   40,    0
106184,19790303,   10,    0
106184,19790304,   76,    0
106184,19790305,    0,    0
106184,19790306,   12,    0
106184,19790307,   17,    0
106184,19790308,   11,    0
106184,19790309,  104,    0
106184,19790310,  192,    0
106184,19790311,   60,    0
106184,19790312,   26,    0
106184,19790313,  101,    0
106184,19790314,   92,    0
106184,19790315,   38,    0
106184,19790316,   14,    0
106184,19790317,    0,    0
106184,19790318,    1,    0
106184,19790319,   20,    0
106184,19790320,   56,    0
106184,19790321,   42,    0
106184,19790322,   65,    0
106184,19790323,    0,    0
106184,19790324,   41,    0
106184,19790325,   59,    0
106184,19790326,   31,    0
106184,19790327,   55,    0
106184,19790328,  101,    0
106184,19790329,   52,    0
106184,19790330,    3,    0
106184,19790331,    1,    0
106184,19790401,   28,    0
106184,19790402,   49,    0
106184,19790403,   81,    0
106184,19790404,    5,    0
106184,19790405,   18,    0
106184,19790406,    0,    0
106184,19790407,    0,    0
106184,19790408,    0,    0
106184,19790409,    6,    0
106184,19790410,   77,    0
106184,19790411,    3,    0
106184,19790412,    0,    0
106184,19790413,    0,    0
106184,19790414,    0,    0
106184,19790415,    0,    0
106184,19790416,    2,    0
106184,19790417,    6,    0
106184,19790418,    0,    0
106184,19790419,    1,    0
106184,19790420,   14,    0
106184,19790421,    1,    0
106184,19790422,   50,    0
106184,19790423,   69,    0
106184,19790424,   28,    0
106184,19790425,   45,    0
106184,19790426,    8,    0
106184,19790427,   11,    0
106184,19790428,   68,    0
106184,19790429,    1,    0
106184,19790430,   27,    0
106184,19790501,   49,    0
106184,19790502,   30,    0
106184,19790503,   50,    0
106184,19790504,   16,    0
106184,19790505,   18,    0
106184,19790506,    0,    0
106184,19790507,    0,    0
106184,19790508,    0,    0
106184,19790509,    0,    0
106184,19790510,    4,    0
106184,19790511,    4,    0
106184,19790512,    0,    0
106184,19790513,    0,    0
106184,19790514,    0,    0
106184,19790515,    0,    0
106184,19790516,   24,    0
106184,19790517,    5,    0
106184,19790518,    0,    0
106184,19790519,    2,    0
106184,19790520,  115,    0
106184,19790521,   28,    0
106184,19790522,   56,    0
106184,19790523,   36,    0
106184,19790524,   87,    0
106184,19790525,   15,    0
106184,19790526,   40,    0
106184,19790527,   50,    0
106184,19790528,    2,    0
106184,19790529,    8,    0
106184,19790530,    7,    0
106184,19790531,    9,    0
106184,19790601,   42,    0
106184,19790602,    1,    0
106184,19790603,    0,    0
106184,19790604,    1,    0
106184,19790605,    0,    0
106184,19790606,    0,    0
106184,19790607,   19,    0
106184,19790608,    0,    0
106184,19790609,    0,    0
106184,19790610,   70,    0
106184,19790611,    0,    0
106184,19790612,   37,    0
106184,19790613,   12,    0
106184,19790614,   90,    0
106184,19790615,   36,    0
106184,19790616,    0,    0
106184,19790617,    0,    0
106184,19790618,    0,    0
106184,19790619,    0,    0
106184,19790620,    0,    0
106184,19790621,    1,    0
106184,19790622,    0,    0
106184,19790623,   13,    0
106184,19790624,   20,    0
106184,19790625,    3,    0
106184,19790626,    0,    0
106184,19790627,    0,    0
106184,19790628,    3,    0
106184,19790629,    1,    0
106184,19790630,    0,    0
106184,19790701,    0,    0
106184,19790702,    0,    0
106184,19790703,    0,    0
106184,19790704,    0,    0
