EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MONTPELLIER-AEROPORT (STAID: 2207).
Blended and updated with sources: 106207 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
106207,19790101,    0,    0
106207,19790102,    0,    0
106207,19790103,  725,    0
106207,19790104,   73,    0
106207,19790105,    0,    0
106207,19790106,    0,    0
106207,19790107,    0,    0
106207,19790108,  388,    0
106207,19790109,    3,    0
106207,19790110,   60,    0
106207,19790111,    0,    0
106207,19790112,    0,    0
106207,19790113,    0,    0
106207,19790114,    0,    0
106207,19790115,    0,    0
106207,19790116,    0,    0
106207,19790117,    4,    0
106207,19790118,  104,    0
106207,19790119, 1150,    0
106207,19790120,   72,    0
106207,19790121,  121,    0
106207,19790122,  541,    0
106207,19790123,   22,    0
106207,19790124,    0,    0
106207,19790125,    0,    0
106207,19790126,    0,    0
106207,19790127,    0,    0
106207,19790128,    2,    0
106207,19790129,    2,    0
106207,19790130,    0,    0
106207,19790131,    0,    0
106207,19790201,    0,    0
106207,19790202,    1,    0
106207,19790203,    0,    0
106207,19790204,   74,    0
106207,19790205,    0,    0
106207,19790206,   56,    0
106207,19790207,    0,    0
106207,19790208,    0,    0
106207,19790209,    0,    0
106207,19790210,    4,    0
106207,19790211,    8,    0
106207,19790212,    0,    0
106207,19790213,   15,    0
106207,19790214,    0,    0
106207,19790215,   10,    0
106207,19790216,   26,    0
106207,19790217,    0,    0
106207,19790218,    0,    0
106207,19790219,    0,    0
106207,19790220,   20,    0
106207,19790221,    0,    0
106207,19790222,    0,    0
106207,19790223,    0,    0
106207,19790224,    0,    0
106207,19790225,    0,    0
106207,19790226,    0,    0
106207,19790227,    0,    0
106207,19790228,    0,    0
106207,19790301,    0,    0
106207,19790302,    0,    0
106207,19790303,    1,    0
106207,19790304,    0,    0
106207,19790305,   10,    0
106207,19790306,    6,    0
106207,19790307,    0,    0
106207,19790308,    0,    0
106207,19790309,    0,    0
106207,19790310,    0,    0
106207,19790311,    0,    0
106207,19790312,    0,    0
106207,19790313,    1,    0
106207,19790314,  154,    0
106207,19790315,    0,    0
106207,19790316,    0,    0
106207,19790317,    0,    0
106207,19790318,    0,    0
106207,19790319,  110,    0
106207,19790320,    0,    0
106207,19790321,    0,    0
106207,19790322,    0,    0
106207,19790323,    0,    0
106207,19790324,    0,    0
106207,19790325,    3,    0
106207,19790326,   76,    0
106207,19790327,    0,    0
106207,19790328,    2,    0
106207,19790329,    7,    0
106207,19790330,    0,    0
106207,19790331,    0,    0
106207,19790401,    0,    0
106207,19790402,    0,    0
106207,19790403,    0,    0
106207,19790404,    0,    0
106207,19790405,    0,    0
106207,19790406,    0,    0
106207,19790407,    0,    0
106207,19790408,    0,    0
106207,19790409,    0,    0
106207,19790410,   31,    0
106207,19790411,   39,    0
106207,19790412,    0,    0
106207,19790413,    0,    0
106207,19790414,    2,    0
106207,19790415,    0,    0
106207,19790416,   23,    0
106207,19790417,    0,    0
106207,19790418,    0,    0
106207,19790419,    0,    0
106207,19790420,    0,    0
106207,19790421,    7,    0
106207,19790422,   33,    0
106207,19790423,  120,    0
106207,19790424,    0,    0
106207,19790425,    0,    0
106207,19790426,    2,    0
106207,19790427,    0,    0
106207,19790428,    0,    0
106207,19790429,    0,    0
106207,19790430,    0,    0
106207,19790501,    0,    0
106207,19790502,    2,    0
106207,19790503,    0,    0
106207,19790504,    0,    0
106207,19790505,    0,    0
106207,19790506,    0,    0
106207,19790507,    0,    0
106207,19790508,    0,    0
106207,19790509,    0,    0
106207,19790510,    0,    0
106207,19790511,    0,    0
106207,19790512,    0,    0
106207,19790513,    0,    0
106207,19790514,    0,    0
106207,19790515,    0,    0
106207,19790516,    0,    0
106207,19790517,    0,    0
106207,19790518,    1,    0
106207,19790519,  167,    0
106207,19790520,   22,    0
106207,19790521,    0,    0
106207,19790522,    0,    0
106207,19790523,   73,    0
106207,19790524,    0,    0
106207,19790525,    0,    0
106207,19790526,    3,    0
106207,19790527,    0,    0
106207,19790528,    0,    0
106207,19790529,    0,    0
106207,19790530,    0,    0
106207,19790531,    1,    0
106207,19790601,    4,    0
106207,19790602,    0,    0
106207,19790603,    0,    0
106207,19790604,    0,    0
106207,19790605,    0,    0
106207,19790606,    0,    0
106207,19790607,    0,    0
106207,19790608,    0,    0
106207,19790609,    0,    0
106207,19790610,    0,    0
106207,19790611,    0,    0
106207,19790612,    0,    0
106207,19790613,   19,    0
106207,19790614,    0,    0
106207,19790615,    5,    0
106207,19790616,    0,    0
106207,19790617,    0,    0
106207,19790618,    0,    0
106207,19790619,    0,    0
106207,19790620,    0,    0
106207,19790621,    0,    0
106207,19790622,    0,    0
106207,19790623,    0,    0
106207,19790624,    0,    0
106207,19790625,    0,    0
106207,19790626,    0,    0
106207,19790627,    0,    0
106207,19790628,    0,    0
106207,19790629,    0,    0
106207,19790630,    0,    0
106207,19790701,    0,    0
106207,19790702,    0,    0
106207,19790703,    0,    0
106207,19790704,    0,    0
106207,19790705,    0,    0
106207,19790706,    0,    0
106207,19790707,    0,    0
106207,19790708,    0,    0
106207,19790709,    0,    0
106207,19790710,    0,    0
106207,19790711,    0,    0
106207,19790712,  114,    0
106207,19790713,    0,    0
