EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, SALTVIK KVARNBO (STAID: 6944).
Blended and updated with sources: 141835 141855 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
141835,19790101,    6,    0
141835,19790102,   42,    0
141835,19790103,   44,    0
141835,19790104,    5,    0
141835,19790105,   25,    0
141835,19790106,   22,    0
141835,19790107,    0,    0
141835,19790108,    6,    0
141835,19790109,    0,    0
141835,19790110,   31,    0
141835,19790111,    0,    0
141835,19790112,   43,    0
141835,19790113,    0,    0
141835,19790114,    0,    0
141835,19790115,   24,    0
141835,19790116,    0,    0
141835,19790117,    0,    0
141835,19790118,    0,    0
141835,19790119,    0,    0
141835,19790120,    0,    0
141835,19790121,    0,    0
141835,19790122,    0,    0
141835,19790123,   25,    0
141835,19790124,   33,    0
141835,19790125,   20,    0
141835,19790126,   93,    0
141835,19790127,   36,    0
141835,19790128,    0,    0
141835,19790129,    0,    0
141835,19790130,    0,    0
141835,19790131,   45,    0
141835,19790201,   34,    0
141835,19790202,   32,    0
141835,19790203,  116,    0
141835,19790204,   11,    0
141835,19790205,    0,    0
141835,19790206,    0,    0
141835,19790207,    0,    0
141835,19790208,    0,    0
141835,19790209,    0,    0
141835,19790210,    0,    0
141835,19790211,    0,    0
141835,19790212,    0,    0
141835,19790213,    0,    0
141835,19790214,    0,    0
141835,19790215,    0,    0
141835,19790216,    0,    0
141835,19790217,    0,    0
141835,19790218,    0,    0
141835,19790219,    0,    0
141835,19790220,    0,    0
141835,19790221,    0,    0
141835,19790222,    0,    0
141835,19790223,    0,    0
141835,19790224,    0,    0
141835,19790225,    0,    0
141835,19790226,    0,    0
141835,19790227,    0,    0
141835,19790228,    0,    0
141835,19790301,    0,    0
141835,19790302,   53,    0
141835,19790303,    0,    0
141835,19790304,    0,    0
141835,19790305,    0,    0
141835,19790306,    0,    0
141835,19790307,    0,    0
141835,19790308,    0,    0
141835,19790309,    0,    0
141835,19790310,   25,    0
141835,19790311,    0,    0
141835,19790312,    0,    0
