EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, SUOMUSJARVI KETTULA (STAID: 6981).
Blended and updated with sources: 142020 142055 142060 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142020,19790101,    0,    0
142020,19790102,   20,    0
142020,19790103,   46,    0
142020,19790104,    3,    0
142020,19790105,    0,    0
142020,19790106,   12,    0
142020,19790107,   48,    0
142020,19790108,    0,    0
142020,19790109,   16,    0
142020,19790110,   83,    0
142020,19790111,    0,    0
142020,19790112,   42,    0
142020,19790113,   65,    0
142020,19790114,   17,    0
142020,19790115,    5,    0
142020,19790116,    1,    0
142020,19790117,    3,    0
142020,19790118,    2,    0
142020,19790119,    0,    0
142020,19790120,    0,    0
142020,19790121,    1,    0
142020,19790122,    4,    0
142020,19790123,   16,    0
142020,19790124,   46,    0
142020,19790125,   29,    0
142020,19790126,  104,    0
142020,19790127,   27,    0
142020,19790128,    0,    0
142020,19790129,    0,    0
142020,19790130,    1,    0
142020,19790131,   18,    0
142020,19790201,   27,    0
142020,19790202,   96,    0
142020,19790203,   46,    0
142020,19790204,    4,    0
142020,19790205,    1,    0
142020,19790206,    1,    0
142020,19790207,    7,    0
142020,19790208,   11,    0
142020,19790209,   15,    0
142020,19790210,    0,    0
142020,19790211,    5,    0
142055,19790212,   12,    0
142055,19790213,    0,    0
142055,19790214,    0,    0
142055,19790215,    0,    0
142055,19790216,    0,    0
142055,19790217,    0,    0
142055,19790218,    0,    0
142055,19790219,    0,    0
142055,19790220,    0,    0
142055,19790221,    0,    0
142055,19790222,    0,    0
142020,19790223,    2,    0
142020,19790224,    0,    0
142020,19790225,    0,    0
142020,19790226,    1,    0
142020,19790227,    0,    0
142020,19790228,    2,    0
142020,19790301,   11,    0
142020,19790302,   61,    0
142020,19790303,   30,    0
142020,19790304,    0,    0
142020,19790305,    0,    0
142020,19790306,    0,    0
142020,19790307,    2,    0
142020,19790308,   12,    0
142020,19790309,    0,    0
142020,19790310,    3,    0
142020,19790311,   21,    0
142020,19790312,    4,    0
142020,19790313,   22,    0
142020,19790314,    5,    0
142020,19790315,    2,    0
142020,19790316,    1,    0
142020,19790317,    0,    0
142020,19790318,    0,    0
142020,19790319,    9,    0
142020,19790320,    4,    0
142020,19790321,   58,    0
142020,19790322,    8,    0
142020,19790323,   84,    0
142020,19790324,    7,    0
142020,19790325,    0,    0
142020,19790326,   16,    0
142020,19790327,   70,    0
142020,19790328,    0,    0
142020,19790329,    0,    0
142020,19790330,    0,    0
142020,19790331,   15,    0
142020,19790401,   15,    0
142020,19790402,   26,    0
142020,19790403,    4,    0
142020,19790404,    0,    0
142020,19790405,    0,    0
142020,19790406,    0,    0
142020,19790407,    0,    0
142020,19790408,    0,    0
142020,19790409,    0,    0
142020,19790410,    0,    0
142020,19790411,    0,    0
142020,19790412,    0,    0
142020,19790413,    9,    0
142020,19790414,    1,    0
142020,19790415,    0,    0
142020,19790416,    0,    0
142020,19790417,    0,    0
142020,19790418,    8,    0
142020,19790419,    0,    0
142020,19790420,    0,    0
142020,19790421,    0,    0
142020,19790422,    0,    0
142020,19790423,    0,    0
142020,19790424,    0,    0
142020,19790425,   14,    0
142020,19790426,   68,    0
142020,19790427,    0,    0
142020,19790428,    0,    0
