EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, SOMERO SUOJOKI (STAID: 7099).
Blended and updated with sources: 142060 142651 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142651,19790101,    0,    0
142651,19790102,   15,    0
142651,19790103,   50,    0
142651,19790104,    0,    0
142651,19790105,    0,    0
142651,19790106,    7,    0
142651,19790107,   25,    0
142651,19790108,    3,    0
142651,19790109,   15,    0
142651,19790110,   69,    0
142651,19790111,    0,    0
142651,19790112,   31,    0
142651,19790113,   64,    0
142651,19790114,   18,    0
142651,19790115,    6,    0
142651,19790116,    2,    0
142651,19790117,    0,    0
142651,19790118,    3,    0
142651,19790119,    2,    0
142651,19790120,    0,    0
142651,19790121,    0,    0
142651,19790122,    3,    0
142651,19790123,   15,    0
142651,19790124,   33,    0
142651,19790125,   23,    0
142651,19790126,   68,    0
142651,19790127,   18,    0
142651,19790128,    1,    0
142651,19790129,    0,    0
142651,19790130,    0,    0
142651,19790131,    5,    0
142651,19790201,   10,    0
142651,19790202,   77,    0
142651,19790203,   35,    0
142651,19790204,    5,    0
142651,19790205,    2,    0
142651,19790206,    0,    0
142651,19790207,    2,    0
142651,19790208,    6,    0
142651,19790209,   17,    0
142651,19790210,    2,    0
142651,19790211,    3,    0
142651,19790212,   11,    0
142651,19790213,    0,    0
142651,19790214,    0,    0
142651,19790215,    0,    0
142651,19790216,    0,    0
142651,19790217,    0,    0
142651,19790218,    0,    0
142651,19790219,    0,    0
142651,19790220,    0,    0
142651,19790221,    0,    0
142651,19790222,    0,    0
142651,19790223,    2,    0
142651,19790224,    0,    0
142651,19790225,    0,    0
142651,19790226,    0,    0
142651,19790227,    2,    0
142651,19790228,    2,    0
142651,19790301,    5,    0
142651,19790302,   48,    0
142651,19790303,   21,    0
142651,19790304,    0,    0
142651,19790305,    0,    0
142651,19790306,    0,    0
142651,19790307,    2,    0
142651,19790308,   11,    0
142651,19790309,    0,    0
142651,19790310,    0,    0
142651,19790311,   16,    0
142651,19790312,    2,    0
142651,19790313,   24,    0
142651,19790314,    6,    0
142651,19790315,    0,    0
142651,19790316,    0,    0
142651,19790317,    0,    0
142651,19790318,    0,    0
142651,19790319,    6,    0
142651,19790320,    1,    0
142651,19790321,   49,    0
142651,19790322,    9,    0
142651,19790323,   58,    0
142651,19790324,   18,    0
142651,19790325,    0,    0
142651,19790326,   14,    0
142651,19790327,   39,    0
142651,19790328,    0,    0
142651,19790329,    0,    0
142651,19790330,    0,    0
142651,19790331,   17,    0
142651,19790401,   18,    0
142651,19790402,   29,    0
142651,19790403,   12,    0
142651,19790404,    0,    0
142651,19790405,    0,    0
142651,19790406,    0,    0
142651,19790407,    0,    0
142651,19790408,    0,    0
142651,19790409,    0,    0
142651,19790410,    0,    0
142651,19790411,    0,    0
142651,19790412,    0,    0
142651,19790413,    4,    0
142651,19790414,    6,    0
142651,19790415,    0,    0
142651,19790416,    0,    0
142651,19790417,    0,    0
142651,19790418,    8,    0
142651,19790419,    0,    0
142651,19790420,    0,    0
142651,19790421,    0,    0
142651,19790422,    0,    0
142651,19790423,    0,    0
142651,19790424,    0,    0
142651,19790425,    8,    0
142651,19790426,   56,    0
142651,19790427,    0,    0
142651,19790428,    3,    0
142651,19790429,   43,    0
142651,19790430,  144,    0
142651,19790501,   13,    0
142651,19790502,   27,    0
142651,19790503,   78,    0
142651,19790504,    0,    0
142651,19790505,    0,    0
142651,19790506,    0,    0
142651,19790507,   24,    0
142651,19790508,   37,    0
142651,19790509,   11,    0
142651,19790510,   15,    0
142651,19790511,    2,    0
142651,19790512,    0,    0
142651,19790513,    0,    0
142651,19790514,    0,    0
142651,19790515,   10,    0
142651,19790516,    0,    0
142651,19790517,    0,    0
142651,19790518,    5,    0
142651,19790519,    0,    0
142651,19790520,    0,    0
142651,19790521,    0,    0
142651,19790522,   10,    0
142651,19790523,    0,    0
142651,19790524,    2,    0
142651,19790525,    0,    0
142651,19790526,    0,    0
142651,19790527,    0,    0
142651,19790528,    0,    0
142651,19790529,    7,    0
142651,19790530,    0,    0
142651,19790531,    0,    0
142651,19790601,    0,    0
142651,19790602,    0,    0
142651,19790603,    0,    0
142651,19790604,    0,    0
142651,19790605,    0,    0
142651,19790606,    0,    0
142651,19790607,    0,    0
142651,19790608,    2,    0
142651,19790609,   33,    0
142651,19790610,    0,    0
142651,19790611,    0,    0
142651,19790612,    0,    0
142651,19790613,   43,    0
142651,19790614,   33,    0
142651,19790615,   30,    0
142651,19790616,   15,    0
142651,19790617,    7,    0
142651,19790618,    0,    0
142651,19790619,    0,    0
142651,19790620,    0,    0
142651,19790621,    0,    0
142651,19790622,    0,    0
142651,19790623,    0,    0
142651,19790624,    0,    0
142651,19790625,    4,    0
142651,19790626,    0,    0
142651,19790627,   29,    0
142651,19790628,   30,    0
142651,19790629,    6,    0
142651,19790630,   31,    0
142651,19790701,    1,    0
142651,19790702,    1,    0
142651,19790703,  100,    0
142651,19790704,   70,    0
142651,19790705,    2,    0
142651,19790706,   68,    0
142651,19790707,   85,    0
142651,19790708,   59,    0
142651,19790709,    1,    0
142651,19790710,  101,    0
142651,19790711,   59,    0
142651,19790712,   76,    0
142651,19790713,   91,    0
142651,19790714,   16,    0
142651,19790715,    0,    0
142651,19790716,   14,    0
142651,19790717,  107,    0
142651,19790718,    4,    0
142651,19790719,   91,    0
142651,19790720,  108,    0
142651,19790721,   18,    0
142651,19790722,    4,    0
142651,19790723,  140,    0
142651,19790724,    1,    0
142651,19790725,   23,    0
142651,19790726,  117,    0
142651,19790727,   22,    0
142651,19790728,    0,    0
142651,19790729,    7,    0
142651,19790730,    0,    0
142651,19790731,    0,    0
142651,19790801,    9,    0
142651,19790802,  102,    0
142651,19790803,   36,    0
142651,19790804,    0,    0
142651,19790805,    0,    0
142651,19790806,    0,    0
142651,19790807,    0,    0
142651,19790808,    0,    0
142651,19790809,    3,    0
142651,19790810,    2,    0
142651,19790811,   38,    0
142651,19790812,    3,    0
142651,19790813,   28,    0
142651,19790814,    4,    0
142651,19790815,    1,    0
142651,19790816,    0,    0
142651,19790817,    0,    0
142651,19790818,    0,    0
142651,19790819,   22,    0
142651,19790820,   59,    0
142651,19790821,    7,    0
142651,19790822,    5,    0
142651,19790823,    5,    0
142651,19790824,    0,    0
142651,19790825,  200,    0
142651,19790826,  232,    0
142651,19790827,   39,    0
142651,19790828,   44,    0
142651,19790829,    0,    0
142651,19790830,    0,    0
142651,19790831,    3,    0
142651,19790901,  112,    0
142651,19790902,    4,    0
142651,19790903,   13,    0
142651,19790904,   25,    0
142651,19790905,   15,    0
142651,19790906,    0,    0
142651,19790907,    0,    0
142651,19790908,    0,    0
142651,19790909,   24,    0
142651,19790910,   11,    0
142651,19790911,   44,    0
142651,19790912,   18,    0
142651,19790913,   43,    0
142651,19790914,    7,    0
142651,19790915,    2,    0
142651,19790916,    0,    0
