EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, NOKIA TOTTIJARVI (STAID: 7108).
Blended and updated with sources: 142696 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142696,19790101,    0,    0
142696,19790102,    0,    0
142696,19790103,   30,    0
142696,19790104,    0,    0
142696,19790105,    0,    0
142696,19790106,   26,    0
142696,19790107,  103,    0
142696,19790108,    2,    0
142696,19790109,   13,    0
142696,19790110,   43,    0
142696,19790111,    0,    0
142696,19790112,   23,    0
142696,19790113,   33,    0
142696,19790114,   19,    0
142696,19790115,    0,    0
142696,19790116,    2,    0
142696,19790117,    0,    0
142696,19790118,    0,    0
142696,19790119,    0,    0
142696,19790120,    3,    0
142696,19790121,    0,    0
142696,19790122,   20,    0
142696,19790123,   13,    0
142696,19790124,   21,    0
142696,19790125,   18,    0
142696,19790126,   69,    0
142696,19790127,   22,    0
142696,19790128,    3,    0
142696,19790129,    0,    0
142696,19790130,    2,    0
142696,19790131,    2,    0
142696,19790201,   29,    0
142696,19790202,   35,    0
142696,19790203,   19,    0
142696,19790204,    1,    0
142696,19790205,    2,    0
142696,19790206,    2,    0
142696,19790207,    3,    0
142696,19790208,   11,    0
142696,19790209,    8,    0
142696,19790210,    0,    0
142696,19790211,    6,    0
142696,19790212,    0,    0
142696,19790213,    0,    0
142696,19790214,    0,    0
142696,19790215,    0,    0
142696,19790216,    0,    0
142696,19790217,    0,    0
142696,19790218,    0,    0
142696,19790219,    0,    0
142696,19790220,    5,    0
142696,19790221,    0,    0
142696,19790222,    0,    0
142696,19790223,   15,    0
142696,19790224,    0,    0
142696,19790225,    0,    0
142696,19790226,    0,    0
142696,19790227,    0,    0
142696,19790228,    3,    0
142696,19790301,   14,    0
142696,19790302,   39,    0
142696,19790303,   15,    0
142696,19790304,    0,    0
142696,19790305,    0,    0
142696,19790306,    0,    0
142696,19790307,    0,    0
142696,19790308,   10,    0
142696,19790309,    0,    0
142696,19790310,    0,    0
142696,19790311,    5,    0
142696,19790312,    5,    0
142696,19790313,   25,    0
142696,19790314,    0,    0
142696,19790315,    0,    0
142696,19790316,    0,    0
142696,19790317,    0,    0
142696,19790318,    0,    0
142696,19790319,    4,    0
142696,19790320,    0,    0
142696,19790321,   55,    0
142696,19790322,   15,    0
142696,19790323,   34,    0
142696,19790324,   28,    0
142696,19790325,   10,    0
142696,19790326,    0,    0
142696,19790327,   45,    0
142696,19790328,    0,    0
142696,19790329,    0,    0
142696,19790330,    0,    0
142696,19790331,   15,    0
142696,19790401,    6,    0
142696,19790402,   23,    0
142696,19790403,   28,    0
142696,19790404,    0,    0
142696,19790405,    0,    0
142696,19790406,    0,    0
142696,19790407,    0,    0
142696,19790408,    0,    0
142696,19790409,    0,    0
142696,19790410,    0,    0
142696,19790411,    0,    0
142696,19790412,    0,    0
142696,19790413,   19,    0
142696,19790414,    2,    0
142696,19790415,    0,    0
142696,19790416,    0,    0
142696,19790417,    4,    0
142696,19790418,    0,    0
142696,19790419,    0,    0
142696,19790420,    0,    0
142696,19790421,    0,    0
142696,19790422,    0,    0
142696,19790423,    0,    0
142696,19790424,    0,    0
142696,19790425,    0,    0
142696,19790426,    0,    0
142696,19790427,   41,    0
142696,19790428,   63,    0
142696,19790429,   16,    0
142696,19790430,  100,    0
142696,19790501,   18,    0
142696,19790502,   20,    0
142696,19790503,    4,    0
142696,19790504,    0,    0
142696,19790505,    0,    0
142696,19790506,    0,    0
142696,19790507,   11,    0
142696,19790508,   54,    0
142696,19790509,   14,    0
142696,19790510,    0,    0
142696,19790511,    0,    0
142696,19790512,    0,    0
