EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, SOMERO SALKOLA (STAID: 7117).
Blended and updated with sources: 142656 142741 902949 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142656,19790101,    0,    0
142656,19790102,    0,    0
142656,19790103,    0,    0
142656,19790104,   19,    0
142656,19790105,    0,    0
142656,19790106,    0,    0
142656,19790107,    0,    0
142656,19790108,   62,    0
142656,19790109,    0,    0
142656,19790110,   90,    0
142656,19790111,    0,    0
142656,19790112,   46,    0
142656,19790113,    0,    0
142656,19790114,   72,    0
142656,19790115,    0,    0
142656,19790116,    0,    0
142656,19790117,    0,    0
142656,19790118,    0,    0
142656,19790119,    0,    0
142656,19790120,    0,    0
142656,19790121,    0,    0
142656,19790122,    0,    0
142656,19790123,    0,    0
142656,19790124,   98,    0
142656,19790125,   28,    0
142656,19790126,    0,    0
142656,19790127,   94,    0
142656,19790128,    0,    0
142656,19790129,    0,    0
142656,19790130,    0,    0
142656,19790131,   17,    0
142656,19790201,    0,    0
142656,19790202,   93,    0
142656,19790203,   32,    0
142656,19790204,    0,    0
142656,19790205,    0,    0
142656,19790206,    0,    0
142656,19790207,    0,    0
142656,19790208,    0,    0
142656,19790209,   29,    0
142656,19790210,    0,    0
142656,19790211,    0,    0
142656,19790212,    0,    0
142656,19790213,    0,    0
142656,19790214,    0,    0
142656,19790215,    0,    0
142656,19790216,    0,    0
142656,19790217,    0,    0
142656,19790218,    0,    0
142656,19790219,    0,    0
142656,19790220,    0,    0
142656,19790221,    0,    0
142656,19790222,    0,    0
142656,19790223,    0,    0
142656,19790224,    0,    0
142656,19790225,    0,    0
142656,19790226,    0,    0
142656,19790227,    0,    0
142656,19790228,   36,    0
142656,19790301,    0,    0
142656,19790302,   72,    0
142656,19790303,   24,    0
142656,19790304,    0,    0
142656,19790305,    0,    0
142656,19790306,    0,    0
142656,19790307,    0,    0
142656,19790308,    2,    0
142656,19790309,    0,    0
142656,19790310,   29,    0
142656,19790311,    0,    0
142656,19790312,    0,    0
142656,19790313,   28,    0
142656,19790314,    0,    0
142656,19790315,    0,    0
142656,19790316,    9,    0
142656,19790317,    0,    0
142656,19790318,    0,    0
142656,19790319,   11,    0
142656,19790320,    8,    0
142656,19790321,   52,    0
142656,19790322,    0,    0
142656,19790323,   72,    0
142656,19790324,    0,    0
142656,19790325,    0,    0
142656,19790326,    0,    0
142656,19790327,   57,    0
142656,19790328,    0,    0
142656,19790329,    0,    0
142656,19790330,    0,    0
142656,19790331,    0,    0
142656,19790401,   37,    0
142656,19790402,   53,    0
142656,19790403,    0,    0
142656,19790404,    0,    0
142656,19790405,    0,    0
142656,19790406,    0,    0
142656,19790407,    0,    0
142656,19790408,    0,    0
142656,19790409,    0,    0
142656,19790410,    0,    0
142656,19790411,    0,    0
142656,19790412,    0,    0
142656,19790413,    0,    0
142656,19790414,    1,    0
142656,19790415,    0,    0
142656,19790416,    0,    0
142656,19790417,    0,    0
142656,19790418,    1,    0
142656,19790419,    0,    0
142656,19790420,    0,    0
142656,19790421,    0,    0
142656,19790422,    0,    0
142656,19790423,    0,    0
142656,19790424,    0,    0
142656,19790425,   34,    0
142656,19790426,   92,    0
142656,19790427,    0,    0
142656,19790428,    0,    0
142656,19790429,   32,    0
142656,19790430,  182,    0
142656,19790501,    0,    0
142656,19790502,   49,    0
142656,19790503,   86,    0
142656,19790504,    0,    0
142656,19790505,    0,    0
142656,19790506,    0,    0
142656,19790507,   94,    0
142656,19790508,   42,    0
142656,19790509,    0,    0
142656,19790510,    4,    0
142656,19790511,    0,    0
142656,19790512,    0,    0
142656,19790513,    0,    0
142656,19790514,    0,    0
142656,19790515,   10,    0
142656,19790516,    0,    0
142656,19790517,    0,    0
142656,19790518,    0,    0
142656,19790519,    0,    0
142656,19790520,    0,    0
142656,19790521,    0,    0
