EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, NURMIJARVI GEOFYSIIKAN OBSERVATORIO (STAID: 7137).
Blended and updated with sources: 142781 142846 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
142846,19790101,    0,    0
142846,19790102,   17,    0
142846,19790103,   43,    0
142846,19790104,    0,    0
142846,19790105,    0,    0
142846,19790106,    9,    0
142846,19790107,   40,    0
142846,19790108,    1,    0
142846,19790109,    9,    0
142846,19790110,   86,    0
142846,19790111,    2,    0
142846,19790112,   82,    0
142846,19790113,   97,    0
142846,19790114,   21,    0
142846,19790115,    3,    0
142846,19790116,    2,    0
142846,19790117,    0,    0
142846,19790118,    3,    0
142846,19790119,    3,    0
142846,19790120,    0,    0
142846,19790121,    0,    0
142846,19790122,    7,    0
142846,19790123,   10,    0
142846,19790124,   32,    0
142846,19790125,   19,    0
142846,19790126,   93,    0
142846,19790127,   21,    0
142846,19790128,    2,    0
142846,19790129,    0,    0
142846,19790130,    4,    0
142846,19790131,   21,    0
142846,19790201,   32,    0
142846,19790202,  112,    0
142846,19790203,   32,    0
142846,19790204,    4,    0
142846,19790205,    0,    0
142846,19790206,    2,    0
142846,19790207,    6,    0
142846,19790208,    9,    0
142846,19790209,   15,    0
142846,19790210,    2,    0
142846,19790211,    6,    0
142846,19790212,    5,    0
142846,19790213,    0,    0
142846,19790214,    0,    0
142846,19790215,    0,    0
142846,19790216,    2,    0
142846,19790217,    0,    0
142846,19790218,    0,    0
142846,19790219,    0,    0
142846,19790220,    4,    0
142846,19790221,    0,    0
142846,19790222,    0,    0
142846,19790223,    5,    0
142846,19790224,    0,    0
142846,19790225,    0,    0
142846,19790226,    0,    0
142846,19790227,    0,    0
142846,19790228,    3,    0
142846,19790301,   16,    0
142846,19790302,   55,    0
142846,19790303,   21,    0
142846,19790304,    0,    0
142846,19790305,    0,    0
142846,19790306,    0,    0
142846,19790307,    2,    0
142846,19790308,   17,    0
142846,19790309,    0,    0
142846,19790310,    3,    0
142846,19790311,   18,    0
142846,19790312,    4,    0
142846,19790313,   26,    0
142846,19790314,    4,    0
142846,19790315,    2,    0
142846,19790316,    0,    0
142846,19790317,    0,    0
142846,19790318,    0,    0
142846,19790319,    2,    0
142846,19790320,    2,    0
142846,19790321,   75,    0
142846,19790322,   10,    0
142846,19790323,   95,    0
142846,19790324,   18,    0
142846,19790325,    0,    0
142846,19790326,    0,    0
142846,19790327,   36,    0
142846,19790328,    3,    0
142846,19790329,    1,    0
142846,19790330,    0,    0
142846,19790331,    6,    0
142846,19790401,   15,    0
142846,19790402,   44,    0
142846,19790403,    7,    0
142846,19790404,    1,    0
142846,19790405,    1,    0
142846,19790406,    0,    0
142846,19790407,    0,    0
142846,19790408,    0,    0
142846,19790409,    0,    0
142846,19790410,    0,    0
142846,19790411,    0,    0
142846,19790412,    0,    0
142846,19790413,    5,    0
142846,19790414,    0,    0
142846,19790415,    0,    0
142846,19790416,    0,    0
142846,19790417,    0,    0
142846,19790418,    1,    0
142846,19790419,    0,    0
142846,19790420,    0,    0
142846,19790421,    0,    0
142846,19790422,    0,    0
142846,19790423,    0,    0
142846,19790424,    0,    0
142846,19790425,   22,    0
142846,19790426,   58,    0
142846,19790427,    1,    0
142846,19790428,    1,    0
142846,19790429,   16,    0
142846,19790430,  132,    0
142846,19790501,    5,    0
142846,19790502,   51,    0
142846,19790503,   83,    0
142846,19790504,    0,    0
142846,19790505,    0,    0
142846,19790506,   13,    0
142846,19790507,   98,    0
142846,19790508,   36,    0
142846,19790509,    3,    0
142846,19790510,    2,    0
142846,19790511,    5,    0
142846,19790512,    0,    0
142846,19790513,    0,    0
142846,19790514,    0,    0
142846,19790515,    0,    0
142846,19790516,    0,    0
142846,19790517,    0,    0
142846,19790518,    0,    0
142846,19790519,    0,    0
142846,19790520,    0,    0
142846,19790521,    0,    0
142846,19790522,   34,    0
142846,19790523,    1,    0
142846,19790524,    0,    0
142846,19790525,    0,    0
142846,19790526,    0,    0
142846,19790527,    0,    0
142846,19790528,   69,    0
142846,19790529,    1,    0
142846,19790530,    0,    0
142846,19790531,    0,    0
142846,19790601,    0,    0
142846,19790602,    0,    0
142846,19790603,    0,    0
142846,19790604,    0,    0
142846,19790605,    0,    0
142846,19790606,    0,    0
142846,19790607,    0,    0
142846,19790608,    1,    0
142846,19790609,   32,    0
142846,19790610,    0,    0
142846,19790611,    0,    0
142846,19790612,   14,    0
142846,19790613,  119,    0
142846,19790614,   87,    0
142846,19790615,   28,    0
142846,19790616,    0,    0
142846,19790617,   26,    0
142846,19790618,    0,    0
142846,19790619,    1,    0
142846,19790620,    0,    0
142846,19790621,    0,    0
142846,19790622,    0,    0
142846,19790623,    0,    0
142846,19790624,    0,    0
142846,19790625,    3,    0
142846,19790626,    2,    0
142846,19790627,   38,    0
142846,19790628,   68,    0
142846,19790629,   17,    0
142846,19790630,    0,    0
142846,19790701,   38,    0
142846,19790702,  149,    0
142846,19790703,   73,    0
142846,19790704,    5,    0
142846,19790705,   26,    0
142846,19790706,   60,    0
142846,19790707,  217,    0
142846,19790708,    1,    0
142846,19790709,    0,    0
