EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, ISOJOKI VANHAKYLA (STAID: 7234).
Blended and updated with sources: 143326 143331 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
143331,19790101,    0,    0
143331,19790102,    0,    0
143331,19790103,    0,    0
143331,19790104,    2,    0
143331,19790105,    0,    0
143331,19790106,   14,    0
143331,19790107,    0,    0
143331,19790108,   48,    0
143331,19790109,    1,    0
143331,19790110,    2,    0
143331,19790111,    0,    0
143331,19790112,    9,    0
143331,19790113,   39,    0
143331,19790114,    1,    0
143331,19790115,    0,    0
143331,19790116,   11,    0
143331,19790117,    3,    0
143331,19790118,    0,    0
143331,19790119,    0,    0
143331,19790120,    1,    0
143331,19790121,    0,    0
143331,19790122,    0,    0
143331,19790123,    4,    0
143331,19790124,   21,    0
143331,19790125,   15,    0
143331,19790126,   55,    0
143331,19790127,   21,    0
143331,19790128,    0,    0
143331,19790129,    2,    0
143331,19790130,    0,    0
143331,19790131,    0,    0
143331,19790201,   12,    0
143331,19790202,    0,    0
143331,19790203,    0,    0
143331,19790204,    4,    0
143331,19790205,    4,    0
143331,19790206,    0,    0
143331,19790207,    3,    0
143331,19790208,    2,    0
143331,19790209,   15,    0
143331,19790210,    1,    0
143331,19790211,    0,    0
143331,19790212,    0,    0
143331,19790213,    0,    0
143331,19790214,    0,    0
143331,19790215,    0,    0
143331,19790216,    0,    0
143331,19790217,    0,    0
143331,19790218,    0,    0
143331,19790219,    1,    0
143331,19790220,    0,    0
143331,19790221,    0,    0
143331,19790222,    0,    0
143331,19790223,    4,    0
143331,19790224,    0,    0
143331,19790225,   21,    0
143331,19790226,    0,    0
143331,19790227,    0,    0
143331,19790228,    3,    0
143331,19790301,    0,    0
143331,19790302,   45,    0
143331,19790303,    1,    0
143331,19790304,    0,    0
143331,19790305,    0,    0
143331,19790306,    0,    0
143331,19790307,    0,    0
143331,19790308,    7,    0
143331,19790309,    0,    0
143331,19790310,    0,    0
143331,19790311,    4,    0
143331,19790312,    0,    0
143331,19790313,    0,    0
143331,19790314,    7,    0
143331,19790315,    0,    0
143331,19790316,    0,    0
143331,19790317,    0,    0
143331,19790318,    3,    0
143331,19790319,    5,    0
143331,19790320,    0,    0
143331,19790321,   40,    0
143331,19790322,   61,    0
143331,19790323,   30,    0
143331,19790324,   32,    0
143331,19790325,    0,    0
143331,19790326,   10,    0
143331,19790327,   16,    0
143331,19790328,    0,    0
143331,19790329,    0,    0
143331,19790330,    0,    0
143331,19790331,    0,    0
143331,19790401,    4,    0
143331,19790402,    3,    0
143331,19790403,   24,    0
143331,19790404,    1,    0
143331,19790405,    0,    0
143331,19790406,    0,    0
143331,19790407,    0,    0
143331,19790408,    0,    0
143331,19790409,    0,    0
143331,19790410,    0,    0
143331,19790411,    0,    0
143331,19790412,    0,    0
143331,19790413,    5,    0
143331,19790414,    3,    0
143331,19790415,    0,    0
143331,19790416,    0,    0
143331,19790417,    0,    0
143331,19790418,    0,    0
143331,19790419,    0,    0
143331,19790420,    0,    0
143331,19790421,    0,    0
143331,19790422,    0,    0
143331,19790423,    0,    0
143331,19790424,    0,    0
143331,19790425,   70,    0
143331,19790426,   45,    0
143331,19790427,    0,    0
143331,19790428,    4,    0
143331,19790429,  229,    0
143331,19790430,  104,    0
143331,19790501,   21,    0
143331,19790502,   11,    0
143331,19790503,   40,    0
143331,19790504,    0,    0
143331,19790505,    0,    0
143331,19790506,    0,    0
143331,19790507,    0,    0
143331,19790508,   21,    0
143331,19790509,   14,    0
143331,19790510,    0,    0
143331,19790511,    7,    0
143331,19790512,    0,    0
143331,19790513,   12,    0
143331,19790514,    0,    0
143331,19790515,    0,    0
143331,19790516,    0,    0
143331,19790517,    0,    0
143331,19790518,    0,    0
143331,19790519,   20,    0
143331,19790520,    0,    0
143331,19790521,    0,    0
143331,19790522,    0,    0
143331,19790523,   20,    0
143331,19790524,   19,    0
143331,19790525,    0,    0
143331,19790526,    0,    0
143331,19790527,    0,    0
143331,19790528,   70,    0
143331,19790529,    0,    0
143331,19790530,    0,    0
143331,19790531,    0,    0
143331,19790601,    0,    0
143331,19790602,    0,    0
143331,19790603,    0,    0
143331,19790604,    0,    0
143331,19790605,    0,    0
143331,19790606,    0,    0
143331,19790607,   32,    0
143331,19790608,  113,    0
143331,19790609,    0,    0
143331,19790610,    0,    0
143331,19790611,    0,    0
143331,19790612,    0,    0
143331,19790613,    0,    0
143331,19790614,   83,    0
143331,19790615,    0,    0
143331,19790616,    0,    0
143331,19790617,    0,    0
143331,19790618,    0,    0
143331,19790619,    0,    0
143331,19790620,    0,    0
143331,19790621,    0,    0
143331,19790622,    0,    0
143331,19790623,    0,    0
143331,19790624,    0,    0
143331,19790625,    0,    0
143331,19790626,    0,    0
143331,19790627,    0,    0
143331,19790628,   19,    0
143331,19790629,    0,    0
143331,19790630,    0,    0
143331,19790701,   20,    0
143331,19790702,    9,    0
143331,19790703,   48,    0
143331,19790704,    0,    0
143331,19790705,   22,    0
143331,19790706,   28,    0
143331,19790707,   87,    0
143331,19790708,   29,    0
143331,19790709,    2,    0
143331,19790710,   10,    0
143331,19790711,   57,    0
143331,19790712,   70,    0
143331,19790713,  130,    0
143331,19790714,  110,    0
143331,19790715,    0,    0
143331,19790716,   38,    0
143331,19790717,    0,    0
143331,19790718,    0,    0
143331,19790719,    9,    0
143331,19790720,   12,    0
143331,19790721,   43,    0
143331,19790722,    9,    0
143331,19790723,   49,    0
143331,19790724,    6,    0
143331,19790725,   81,    0
143331,19790726,    0,    0
143331,19790727,    0,    0
143331,19790728,   32,    0
143331,19790729,    2,    0
143331,19790730,    0,    0
143331,19790731,    6,    0
143331,19790801,   79,    0
143331,19790802,   80,    0
143331,19790803,  169,    0
143331,19790804,    0,    0
143331,19790805,   49,    0
143331,19790806,    0,    0
143331,19790807,    0,    0
143331,19790808,    0,    0
143331,19790809,    0,    0
