EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, ENONKOSKI SIMANALA (STAID: 7396).
Blended and updated with sources: 144157 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144157,19790101,    0,    0
144157,19790102,    0,    0
144157,19790103,    0,    0
144157,19790104,    0,    0
144157,19790105,    0,    0
144157,19790106,   21,    0
144157,19790107,  105,    0
144157,19790108,    7,    0
144157,19790109,   22,    0
144157,19790110,   73,    0
144157,19790111,    0,    0
144157,19790112,    0,    0
144157,19790113,   11,    0
144157,19790114,    3,    0
144157,19790115,    4,    0
144157,19790116,    0,    0
144157,19790117,    3,    0
144157,19790118,    0,    0
144157,19790119,    0,    0
144157,19790120,    0,    0
144157,19790121,    0,    0
144157,19790122,   12,    0
144157,19790123,   15,    0
144157,19790124,   28,    0
144157,19790125,   17,    0
144157,19790126,   34,    0
144157,19790127,   15,    0
144157,19790128,    5,    0
144157,19790129,    6,    0
144157,19790130,    3,    0
144157,19790131,    2,    0
144157,19790201,   19,    0
144157,19790202,   53,    0
144157,19790203,   45,    0
144157,19790204,    5,    0
144157,19790205,    3,    0
144157,19790206,    0,    0
144157,19790207,    0,    0
144157,19790208,   17,    0
144157,19790209,   20,    0
144157,19790210,    8,    0
144157,19790211,    0,    0
144157,19790212,    0,    0
144157,19790213,    0,    0
144157,19790214,    0,    0
144157,19790215,    0,    0
144157,19790216,    0,    0
144157,19790217,    0,    0
144157,19790218,    0,    0
144157,19790219,    0,    0
144157,19790220,   11,    0
144157,19790221,    0,    0
144157,19790222,    0,    0
144157,19790223,    4,    0
144157,19790224,   18,    0
144157,19790225,   55,    0
144157,19790226,    0,    0
144157,19790227,    0,    0
