EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, MAALAHTI OVER-MALAX (STAID: 7416).
Blended and updated with sources: 144257 144262 144272 144277 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144257,19790101,    0,    0
144257,19790102,    0,    0
144257,19790103,    0,    0
144257,19790104,    0,    0
144257,19790105,    0,    0
144257,19790106,   16,    0
144257,19790107,   20,    0
144257,19790108,    0,    0
144257,19790109,    0,    0
144257,19790110,    0,    0
144257,19790111,    0,    0
144257,19790112,   35,    0
144257,19790113,   34,    0
144257,19790114,    4,    0
144257,19790115,   24,    0
144257,19790116,    0,    0
144257,19790117,    3,    0
144257,19790118,    0,    0
144257,19790119,    0,    0
144257,19790120,    2,    0
144257,19790121,    0,    0
144257,19790122,    0,    0
144257,19790123,   17,    0
144257,19790124,   15,    0
144257,19790125,   13,    0
144257,19790126,   37,    0
144257,19790127,   12,    0
144257,19790128,    0,    0
144257,19790129,    0,    0
144257,19790130,    0,    0
144257,19790131,    0,    0
144257,19790201,   50,    0
144257,19790202,   10,    0
144257,19790203,    4,    0
144257,19790204,    2,    0
144257,19790205,   10,    0
144257,19790206,    5,    0
144257,19790207,   14,    0
144257,19790208,    7,    0
144257,19790209,    3,    0
144257,19790210,    0,    0
144257,19790211,    3,    0
144257,19790212,    0,    0
144257,19790213,    0,    0
144257,19790214,    0,    0
144257,19790215,    0,    0
144257,19790216,    0,    0
144257,19790217,    0,    0
144257,19790218,    0,    0
