EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, PERASEINAJOKI HAUKINEVA (STAID: 7444).
Blended and updated with sources: 143456 144402 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144402,19790101,    5,    0
144402,19790102,    0,    0
144402,19790103,    0,    0
144402,19790104,    3,    0
144402,19790105,    0,    0
144402,19790106,    8,    0
144402,19790107,    9,    0
144402,19790108,    4,    0
144402,19790109,    0,    0
144402,19790110,    2,    0
144402,19790111,    0,    0
144402,19790112,   32,    0
144402,19790113,   61,    0
144402,19790114,    3,    0
144402,19790115,   13,    0
144402,19790116,    0,    0
144402,19790117,    2,    0
144402,19790118,    2,    0
144402,19790119,    0,    0
144402,19790120,    0,    0
144402,19790121,    1,    0
144402,19790122,    3,    0
144402,19790123,   11,    0
144402,19790124,   22,    0
144402,19790125,   16,    0
144402,19790126,   50,    0
143456,19790127,   40,    0
143456,19790128,    0,    0
143456,19790129,    0,    0
143456,19790130,    1,    0
143456,19790131,    0,    0
144402,19790201,   36,    0
144402,19790202,    3,    0
144402,19790203,    3,    0
144402,19790204,    5,    0
144402,19790205,    0,    0
144402,19790206,    0,    0
144402,19790207,    5,    0
144402,19790208,   23,    0
144402,19790209,    7,    0
144402,19790210,    0,    0
144402,19790211,   12,    0
143456,19790212,    0,    0
143456,19790213,    0,    0
143456,19790214,    0,    0
143456,19790215,    0,    0
143456,19790216,    0,    0
143456,19790217,    0,    0
143456,19790218,    0,    0
143456,19790219,    0,    0
144402,19790220,    4,    0
144402,19790221,    0,    0
144402,19790222,    0,    0
144402,19790223,    2,    0
144402,19790224,    6,    0
144402,19790225,    7,    0
144402,19790226,    0,    0
144402,19790227,    0,    0
144402,19790228,    2,    0
144402,19790301,    2,    0
144402,19790302,   10,    0
143456,19790303,    0,    0
143456,19790304,    0,    0
143456,19790305,    0,    0
143456,19790306,    0,    0
143456,19790307,    0,    0
144402,19790308,    5,    0
144402,19790309,    1,    0
144402,19790310,    1,    0
144402,19790311,    4,    0
144402,19790312,   17,    0
143456,19790313,    2,    0
143456,19790314,    0,    0
143456,19790315,    0,    0
143456,19790316,    0,    0
143456,19790317,    0,    0
143456,19790318,    5,    0
144402,19790319,    3,    0
144402,19790320,    1,    0
144402,19790321,   65,    0
144402,19790322,   58,    0
144402,19790323,   21,    0
144402,19790324,   59,    0
144402,19790325,    3,    0
144402,19790326,    3,    0
143456,19790327,   12,    0
143456,19790328,    0,    0
143456,19790329,    0,    0
143456,19790330,    0,    0
143456,19790331,    0,    0
144402,19790401,    2,    0
144402,19790402,    0,    0
144402,19790403,   19,    0
144402,19790404,    0,    0
144402,19790405,    0,    0
144402,19790406,    2,    0
144402,19790407,    0,    0
143456,19790408,    3,    0
143456,19790409,    0,    0
143456,19790410,    0,    0
143456,19790411,    0,    0
143456,19790412,    0,    0
144402,19790413,   12,    0
144402,19790414,   13,    0
144402,19790415,    1,    0
144402,19790416,    0,    0
144402,19790417,    4,    0
144402,19790418,    0,    0
144402,19790419,    0,    0
143456,19790420,   20,    0
143456,19790421,    0,    0
143456,19790422,    0,    0
143456,19790423,    0,    0
143456,19790424,    0,    0
144402,19790425,   51,    0
144402,19790426,   34,    0
144402,19790427,    2,    0
144402,19790428,    0,    0
144402,19790429,   29,    0
144402,19790430,   54,    0
144402,19790501,   11,    0
144402,19790502,   11,    0
144402,19790503,   25,    0
144402,19790504,    0,    0
144402,19790505,    5,    0
144402,19790506,    7,    0
144402,19790507,    0,    0
144402,19790508,   17,    0
144402,19790509,   24,    0
144402,19790510,   32,    0
144402,19790511,    1,    0
144402,19790512,    0,    0
144402,19790513,    2,    0
144402,19790514,    0,    0
144402,19790515,    0,    0
144402,19790516,    1,    0
144402,19790517,    0,    0
144402,19790518,    0,    0
144402,19790519,   23,    0
144402,19790520,    1,    0
144402,19790521,    0,    0
144402,19790522,    2,    0
144402,19790523,    3,    0
144402,19790524,   12,    0
144402,19790525,    3,    0
144402,19790526,    6,    0
144402,19790527,    0,    0
143456,19790528,    9,    0
143456,19790529,    0,    0
143456,19790530,    0,    0
143456,19790531,    0,    0
143456,19790601,    0,    0
143456,19790602,    0,    0
143456,19790603,    0,    0
143456,19790604,    0,    0
143456,19790605,    0,    0
143456,19790606,    0,    0
144402,19790607,    7,    0
144402,19790608,    0,    0
143456,19790609,  145,    0
143456,19790610,    0,    0
143456,19790611,    0,    0
143456,19790612,    0,    0
144402,19790613,    2,    0
144402,19790614,   44,    0
144402,19790615,    0,    0
144402,19790616,    1,    0
144402,19790617,    0,    0
143456,19790618,   12,    0
143456,19790619,    0,    0
143456,19790620,    0,    0
143456,19790621,    0,    0
143456,19790622,    0,    0
143456,19790623,    0,    0
143456,19790624,    0,    0
143456,19790625,    0,    0
143456,19790626,    0,    0
143456,19790627,    1,    0
144402,19790628,   45,    0
144402,19790629,    2,    0
144402,19790630,    3,    0
144402,19790701,   15,    0
144402,19790702,    2,    0
144402,19790703,    0,    0
144402,19790704,    0,    0
