EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, LAPINLAHTI LAMMINKAYRA (STAID: 7508).
Blended and updated with sources: 144737 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
144737,19790101,    0,    0
144737,19790102,    0,    0
144737,19790103,    0,    0
144737,19790104,    0,    0
144737,19790105,    0,    0
144737,19790106,   16,    0
144737,19790107,   66,    0
144737,19790108,    1,    0
144737,19790109,    0,    0
144737,19790110,   21,    0
144737,19790111,    5,    0
144737,19790112,    2,    0
144737,19790113,   32,    0
144737,19790114,   36,    0
144737,19790115,    0,    0
144737,19790116,    8,    0
144737,19790117,    3,    0
144737,19790118,    0,    0
144737,19790119,    0,    0
144737,19790120,    0,    0
144737,19790121,    5,    0
144737,19790122,   10,    0
144737,19790123,   15,    0
144737,19790124,    6,    0
144737,19790125,   13,    0
144737,19790126,   51,    0
144737,19790127,   41,    0
144737,19790128,    4,    0
144737,19790129,    5,    0
144737,19790130,    3,    0
144737,19790131,    0,    0
144737,19790201,    9,    0
144737,19790202,   50,    0
144737,19790203,   42,    0
144737,19790204,    4,    0
144737,19790205,    0,    0
144737,19790206,    0,    0
144737,19790207,   48,    0
144737,19790208,   15,    0
144737,19790209,    8,    0
144737,19790210,    6,    0
144737,19790211,    0,    0
144737,19790212,    0,    0
144737,19790213,    0,    0
144737,19790214,    0,    0
144737,19790215,    0,    0
144737,19790216,    0,    0
144737,19790217,    0,    0
144737,19790218,    0,    0
144737,19790219,    0,    0
144737,19790220,   13,    0
144737,19790221,    0,    0
144737,19790222,    0,    0
144737,19790223,    6,    0
144737,19790224,   17,    0
144737,19790225,   86,    0
144737,19790226,    0,    0
144737,19790227,    4,    0
144737,19790228,    7,    0
144737,19790301,    7,    0
144737,19790302,   30,    0
144737,19790303,   31,    0
144737,19790304,    0,    0
144737,19790305,    0,    0
144737,19790306,   15,    0
144737,19790307,    0,    0
144737,19790308,    0,    0
144737,19790309,   15,    0
144737,19790310,    0,    0
144737,19790311,    5,    0
144737,19790312,   11,    0
144737,19790313,   11,    0
144737,19790314,    0,    0
144737,19790315,    0,    0
144737,19790316,    0,    0
144737,19790317,    0,    0
144737,19790318,    3,    0
144737,19790319,    8,    0
144737,19790320,    0,    0
144737,19790321,   28,    0
144737,19790322,   26,    0
144737,19790323,    5,    0
144737,19790324,   27,    0
144737,19790325,    9,    0
144737,19790326,    0,    0
144737,19790327,    0,    0
144737,19790328,   10,    0
144737,19790329,    0,    0
144737,19790330,    0,    0
144737,19790331,    0,    0
144737,19790401,   13,    0
144737,19790402,    0,    0
144737,19790403,    9,    0
144737,19790404,    3,    0
144737,19790405,    0,    0
144737,19790406,    0,    0
144737,19790407,    0,    0
144737,19790408,    5,    0
144737,19790409,    0,    0
144737,19790410,    0,    0
144737,19790411,    8,    0
144737,19790412,    2,    0
144737,19790413,    0,    0
144737,19790414,   10,    0
144737,19790415,    0,    0
144737,19790416,    0,    0
144737,19790417,    0,    0
144737,19790418,    0,    0
144737,19790419,    0,    0
144737,19790420,    0,    0
144737,19790421,    0,    0
144737,19790422,    0,    0
144737,19790423,    0,    0
144737,19790424,    0,    0
144737,19790425,   18,    0
144737,19790426,   64,    0
144737,19790427,    0,    0
144737,19790428,   27,    0
144737,19790429,   26,    0
144737,19790430,   24,    0
144737,19790501,    0,    0
144737,19790502,    0,    0
144737,19790503,   23,    0
144737,19790504,    0,    0
144737,19790505,    0,    0
144737,19790506,    0,    0
144737,19790507,  150,    0
144737,19790508,    8,    0
144737,19790509,   25,    0
144737,19790510,   10,    0
144737,19790511,    6,    0
144737,19790512,    0,    0
144737,19790513,   41,    0
144737,19790514,    9,    0
144737,19790515,    0,    0
144737,19790516,    7,    0
144737,19790517,    2,    0
144737,19790518,    0,    0
144737,19790519,   14,    0
144737,19790520,   23,    0
