EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, KALAJOKI METSAKYLA (STAID: 7600).
Blended and updated with sources: 145207 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145207,19790101,    0,    0
145207,19790102,    0,    0
145207,19790103,    0,    0
145207,19790104,    0,    0
145207,19790105,    0,    0
145207,19790106,   12,    0
145207,19790107,   82,    0
145207,19790108,    6,    0
145207,19790109,    0,    0
145207,19790110,    0,    0
145207,19790111,    0,    0
145207,19790112,   36,    0
145207,19790113,   69,    0
145207,19790114,    0,    0
145207,19790115,    0,    0
145207,19790116,    0,    0
145207,19790117,    0,    0
145207,19790118,    0,    0
145207,19790119,    0,    0
145207,19790120,    0,    0
145207,19790121,    0,    0
145207,19790122,    0,    0
145207,19790123,    0,    0
145207,19790124,    4,    0
145207,19790125,   18,    0
145207,19790126,   30,    0
145207,19790127,    0,    0
145207,19790128,    0,    0
145207,19790129,    0,    0
145207,19790130,    0,    0
145207,19790131,    0,    0
145207,19790201,   31,    0
145207,19790202,   10,    0
145207,19790203,    8,    0
145207,19790204,    0,    0
145207,19790205,    0,    0
145207,19790206,    0,    0
145207,19790207,   62,    0
145207,19790208,   16,    0
145207,19790209,   12,    0
145207,19790210,    0,    0
145207,19790211,    0,    0
145207,19790212,    0,    0
145207,19790213,    0,    0
145207,19790214,    0,    0
145207,19790215,    0,    0
145207,19790216,    0,    0
145207,19790217,    0,    0
145207,19790218,    0,    0
145207,19790219,    0,    0
145207,19790220,    9,    0
145207,19790221,    0,    0
145207,19790222,    2,    0
145207,19790223,    0,    0
145207,19790224,    8,    0
145207,19790225,   76,    0
145207,19790226,    0,    0
145207,19790227,   11,    0
145207,19790228,    0,    0
145207,19790301,    0,    0
145207,19790302,    6,    0
145207,19790303,   28,    0
145207,19790304,    0,    0
145207,19790305,    6,    0
145207,19790306,    0,    0
145207,19790307,    0,    0
145207,19790308,    0,    0
145207,19790309,    0,    0
145207,19790310,    0,    0
145207,19790311,    0,    0
145207,19790312,    0,    0
145207,19790313,    0,    0
145207,19790314,    0,    0
145207,19790315,    0,    0
145207,19790316,    0,    0
145207,19790317,    0,    0
145207,19790318,   18,    0
145207,19790319,   12,    0
145207,19790320,    0,    0
145207,19790321,    0,    0
145207,19790322,    0,    0
145207,19790323,   10,    0
145207,19790324,   62,    0
145207,19790325,    0,    0
145207,19790326,    0,    0
145207,19790327,   26,    0
145207,19790328,    0,    0
145207,19790329,    0,    0
145207,19790330,    0,    0
145207,19790331,    0,    0
145207,19790401,    6,    0
145207,19790402,    0,    0
145207,19790403,    8,    0
145207,19790404,    0,    0
145207,19790405,    0,    0
145207,19790406,    0,    0
145207,19790407,    0,    0
145207,19790408,   24,    0
145207,19790409,    0,    0
145207,19790410,    2,    0
145207,19790411,    0,    0
145207,19790412,    0,    0
145207,19790413,    0,    0
145207,19790414,   60,    0
145207,19790415,    0,    0
145207,19790416,    0,    0
145207,19790417,    0,    0
