EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, HAAPAVESI MUSTIKKAMAKI (STAID: 7607).
Blended and updated with sources: 145242 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145242,19790101,    0,    0
145242,19790102,    0,    0
145242,19790103,    5,    0
145242,19790104,    0,    0
145242,19790105,    1,    0
145242,19790106,   12,    0
145242,19790107,   60,    0
145242,19790108,    8,    0
145242,19790109,    0,    0
145242,19790110,    4,    0
145242,19790111,    2,    0
145242,19790112,   10,    0
145242,19790113,   90,    0
145242,19790114,    9,    0
145242,19790115,    8,    0
145242,19790116,   15,    0
145242,19790117,    7,    0
145242,19790118,    1,    0
145242,19790119,    1,    0
145242,19790120,    1,    0
145242,19790121,    5,    0
145242,19790122,    7,    0
145242,19790123,   10,    0
145242,19790124,    6,    0
145242,19790125,   16,    0
145242,19790126,   23,    0
145242,19790127,   24,    0
145242,19790128,    1,    0
145242,19790129,    0,    0
145242,19790130,    2,    0
145242,19790131,    0,    0
145242,19790201,   13,    0
145242,19790202,   48,    0
145242,19790203,    5,    0
145242,19790204,    3,    0
145242,19790205,    0,    0
145242,19790206,    1,    0
145242,19790207,   71,    0
145242,19790208,   61,    0
145242,19790209,    8,    0
145242,19790210,    4,    0
145242,19790211,    0,    0
145242,19790212,    0,    0
145242,19790213,    0,    0
145242,19790214,    0,    0
145242,19790215,    0,    0
145242,19790216,    0,    0
145242,19790217,    0,    0
145242,19790218,    0,    0
145242,19790219,    3,    0
145242,19790220,   10,    0
145242,19790221,    0,    0
145242,19790222,    0,    0
145242,19790223,    3,    0
145242,19790224,   14,    0
145242,19790225,  116,    0
145242,19790226,    4,    0
145242,19790227,    2,    0
145242,19790228,    4,    0
145242,19790301,    1,    0
145242,19790302,   15,    0
145242,19790303,   24,    0
145242,19790304,    0,    0
145242,19790305,   15,    0
145242,19790306,    2,    0
145242,19790307,    0,    0
145242,19790308,    1,    0
145242,19790309,    0,    0
145242,19790310,    0,    0
145242,19790311,    0,    0
145242,19790312,    5,    0
145242,19790313,    4,    0
145242,19790314,    2,    0
145242,19790315,    0,    0
145242,19790316,    0,    0
145242,19790317,    0,    0
145242,19790318,    7,    0
145242,19790319,    6,    0
145242,19790320,    0,    0
145242,19790321,    0,    0
145242,19790322,   44,    0
145242,19790323,   18,    0
145242,19790324,   24,    0
145242,19790325,   13,    0
145242,19790326,    0,    0
145242,19790327,    4,    0
145242,19790328,    0,    0
145242,19790329,    0,    0
145242,19790330,    0,    0
145242,19790331,    0,    0
145242,19790401,    0,    0
145242,19790402,    0,    0
145242,19790403,   10,    0
145242,19790404,   18,    0
145242,19790405,    3,    0
145242,19790406,    0,    0
145242,19790407,    0,    0
145242,19790408,    0,    0
145242,19790409,    7,    0
145242,19790410,    0,    0
145242,19790411,   21,    0
145242,19790412,    1,    0
145242,19790413,    0,    0
145242,19790414,   18,    0
145242,19790415,    0,    0
145242,19790416,    0,    0
145242,19790417,    0,    0
145242,19790418,    0,    0
145242,19790419,    0,    0
145242,19790420,    0,    0
145242,19790421,    0,    0
145242,19790422,    0,    0
145242,19790423,    0,    0
145242,19790424,    0,    0
145242,19790425,   40,    0
145242,19790426,   95,    0
145242,19790427,    0,    0
145242,19790428,   12,    0
145242,19790429,   60,    0
145242,19790430,   55,    0
145242,19790501,    2,    0
145242,19790502,   13,    0
145242,19790503,    8,    0
145242,19790504,    0,    0
145242,19790505,    7,    0
145242,19790506,    0,    0
145242,19790507,  129,    0
145242,19790508,    1,    0
145242,19790509,    5,    0
145242,19790510,  175,    0
145242,19790511,    0,    0
145242,19790512,   11,    0
145242,19790513,   23,    0
145242,19790514,    0,    0
145242,19790515,    1,    0
145242,19790516,    0,    0
145242,19790517,    0,    0
145242,19790518,    0,    0
145242,19790519,    0,    0
145242,19790520,   39,    0
145242,19790521,    2,    0
145242,19790522,    1,    0
145242,19790523,    0,    0
145242,19790524,    1,    0
145242,19790525,    3,    0
145242,19790526,    5,    0
145242,19790527,    0,    0
145242,19790528,    0,    0
145242,19790529,    4,    0
145242,19790530,    0,    0
145242,19790531,    0,    0
145242,19790601,    0,    0
145242,19790602,   19,    0
145242,19790603,    0,    0
145242,19790604,    0,    0
145242,19790605,    0,    0
145242,19790606,    0,    0
145242,19790607,    0,    0
145242,19790608,   11,    0
145242,19790609,  125,    0
145242,19790610,   12,    0
145242,19790611,    0,    0
145242,19790612,    0,    0
145242,19790613,    0,    0
145242,19790614,   20,    0
145242,19790615,    0,    0
145242,19790616,    3,    0
145242,19790617,   18,    0
145242,19790618,   40,    0
145242,19790619,    0,    0
145242,19790620,    0,    0
145242,19790621,    0,    0
145242,19790622,    0,    0
145242,19790623,    0,    0
145242,19790624,   40,    0
145242,19790625,    2,    0
145242,19790626,    0,    0
145242,19790627,    2,    0
145242,19790628,    8,    0
145242,19790629,    6,    0
145242,19790630,  108,    0
145242,19790701,    0,    0
145242,19790702,    0,    0
145242,19790703,   20,    0
145242,19790704,   25,    0
145242,19790705,    0,    0
145242,19790706,   11,    0
145242,19790707,    0,    0
145242,19790708,    0,    0
145242,19790709,   15,    0
145242,19790710,    3,    0
145242,19790711,    9,    0
145242,19790712,    0,    0
145242,19790713,   18,    0
145242,19790714,    5,    0
145242,19790715,    0,    0
145242,19790716,    0,    0
145242,19790717,    0,    0
145242,19790718,    0,    0
145242,19790719,   35,    0
145242,19790720,   12,    0
145242,19790721,  126,    0
145242,19790722,    9,    0
145242,19790723,   49,    0
145242,19790724,   40,    0
145242,19790725,    0,    0
145242,19790726,    0,    0
145242,19790727,   13,    0
145242,19790728,    0,    0
145242,19790729,    0,    0
145242,19790730,    0,    0
145242,19790731,    0,    0
145242,19790801,    0,    0
145242,19790802,   14,    0
145242,19790803,  132,    0
145242,19790804,    1,    0
145242,19790805,    0,    0
145242,19790806,    0,    0
145242,19790807,    0,    0
145242,19790808,    0,    0
145242,19790809,    0,    0
145242,19790810,    0,    0
145242,19790811,    0,    0
145242,19790812,    0,    0
145242,19790813,    0,    0
145242,19790814,   22,    0
145242,19790815,    0,    0
145242,19790816,    0,    0
145242,19790817,    0,    0
145242,19790818,    0,    0
145242,19790819,    0,    0
145242,19790820,  110,    0
145242,19790821,   15,    0
145242,19790822,   14,    0
145242,19790823,   10,    0
145242,19790824,    0,    0
145242,19790825,    0,    0
145242,19790826,   99,    0
145242,19790827,   13,    0
145242,19790828,   33,    0
145242,19790829,    0,    0
145242,19790830,   64,    0
145242,19790831,   12,    0
145242,19790901,    0,    0
145242,19790902,    0,    0
145242,19790903,    2,    0
145242,19790904,  124,    0
145242,19790905,    0,    0
145242,19790906,    0,    0
145242,19790907,    0,    0
145242,19790908,    1,    0
145242,19790909,    4,    0
145242,19790910,    2,    0
145242,19790911,  148,    0
145242,19790912,   40,    0
145242,19790913,  182,    0
145242,19790914,   57,    0
145242,19790915,    7,    0
145242,19790916,    0,    0
145242,19790917,   57,    0
145242,19790918,  118,    0
145242,19790919,    9,    0
145242,19790920,    0,    0
145242,19790921,   53,    0
145242,19790922,    4,    0
145242,19790923,    0,    0
145242,19790924,    0,    0
145242,19790925,    0,    0
145242,19790926,   18,    0
145242,19790927,   76,    0
145242,19790928,    2,    0
145242,19790929,    0,    0
145242,19790930,    0,    0
145242,19791001,    0,    0
145242,19791002,    0,    0
145242,19791003,    0,    0
145242,19791004,    0,    0
145242,19791005,    0,    0
145242,19791006,    0,    0
145242,19791007,    0,    0
145242,19791008,   42,    0
145242,19791009,   28,    0
145242,19791010,  123,    0
145242,19791011,  298,    0
145242,19791012,    6,    0
145242,19791013,    3,    0
145242,19791014,   14,    0
145242,19791015,  155,    0
145242,19791016,   73,    0
145242,19791017,    0,    0
145242,19791018,   16,    0
145242,19791019,   53,    0
145242,19791020,    0,    0
145242,19791021,    0,    0
145242,19791022,    7,    0
145242,19791023,    0,    0
145242,19791024,    0,    0
145242,19791025,    2,    0
145242,19791026,    5,    0
145242,19791027,    0,    0
145242,19791028,    0,    0
145242,19791029,    1,    0
145242,19791030,    0,    0
145242,19791031,    0,    0
145242,19791101,    0,    0
145242,19791102,    0,    0
145242,19791103,    0,    0
145242,19791104,   69,    0
145242,19791105,    1,    0
145242,19791106,    6,    0
145242,19791107,    9,    0
145242,19791108,   24,    0
145242,19791109,    4,    0
145242,19791110,   18,    0
145242,19791111,    4,    0
145242,19791112,   26,    0
145242,19791113,   30,    0
145242,19791114,   23,    0
145242,19791115,    0,    0
145242,19791116,   66,    0
145242,19791117,   11,    0
145242,19791118,    0,    0
145242,19791119,   47,    0
145242,19791120,    0,    0
145242,19791121,    4,    0
145242,19791122,   23,    0
145242,19791123,   23,    0
145242,19791124,   29,    0
145242,19791125,   17,    0
145242,19791126,    0,    0
145242,19791127,    0,    0
145242,19791128,    6,    0
145242,19791129,   30,    0
145242,19791130,    2,    0
145242,19791201,   14,    0
145242,19791202,   11,    0
145242,19791203,    0,    0
145242,19791204,   18,    0
145242,19791205,   75,    0
145242,19791206,   25,    0
145242,19791207,    1,    0
145242,19791208,    0,    0
145242,19791209,    0,    0
145242,19791210,    0,    0
145242,19791211,    0,    0
145242,19791212,    9,    0
145242,19791213,    2,    0
145242,19791214,    7,    0
145242,19791215,   26,    0
145242,19791216,   23,    0
145242,19791217,   27,    0
145242,19791218,   32,    0
145242,19791219,    0,    0
145242,19791220,    0,    0
145242,19791221,    4,    0
145242,19791222,    5,    0
145242,19791223,   20,    0
145242,19791224,    2,    0
145242,19791225,   26,    0
145242,19791226,   36,    0
145242,19791227,   14,    0
145242,19791228,   25,    0
145242,19791229,    9,    0
145242,19791230,   10,    0
145242,19791231,    9,    0
145242,19800101,   10,    0
145242,19800102,   10,    0
145242,19800103,    9,    0
145242,19800104,    1,    0
145242,19800105,    0,    0
145242,19800106,    2,    0
145242,19800107,    0,    0
145242,19800108,    0,    0
145242,19800109,    0,    0
145242,19800110,    3,    0
145242,19800111,    0,    0
145242,19800112,   14,    0
145242,19800113,   11,    0
145242,19800114,    0,    0
145242,19800115,    3,    0
145242,19800116,   11,    0
145242,19800117,    0,    0
145242,19800118,    0,    0
145242,19800119,    0,    0
145242,19800120,    7,    0
145242,19800121,    0,    0
145242,19800122,    2,    0
145242,19800123,    0,    0
145242,19800124,    0,    0
145242,19800125,    0,    0
145242,19800126,    0,    0
145242,19800127,    0,    0
145242,19800128,    9,    0
145242,19800129,   16,    0
145242,19800130,    0,    0
145242,19800131,    7,    0
145242,19800201,    7,    0
145242,19800202,    0,    0
145242,19800203,    7,    0
145242,19800204,    0,    0
145242,19800205,    1,    0
145242,19800206,    1,    0
145242,19800207,    2,    0
145242,19800208,    1,    0
145242,19800209,    1,    0
145242,19800210,    1,    0
145242,19800211,    0,    0
145242,19800212,   10,    0
145242,19800213,    3,    0
145242,19800214,    8,    0
145242,19800215,  100,    0
145242,19800216,    6,    0
145242,19800217,    0,    0
145242,19800218,    0,    0
145242,19800219,    0,    0
145242,19800220,    0,    0
145242,19800221,    0,    0
145242,19800222,    0,    0
145242,19800223,    0,    0
145242,19800224,    0,    0
145242,19800225,    0,    0
145242,19800226,    2,    0
145242,19800227,    0,    0
145242,19800228,    0,    0
145242,19800229,   29,    0
145242,19800301,   14,    0
145242,19800302,    7,    0
145242,19800303,    2,    0
145242,19800304,    4,    0
145242,19800305,    5,    0
145242,19800306,    5,    0
145242,19800307,    0,    0
145242,19800308,    0,    0
145242,19800309,    0,    0
145242,19800310,    0,    0
145242,19800311,    1,    0
145242,19800312,    0,    0
145242,19800313,    0,    0
145242,19800314,    0,    0
145242,19800315,    0,    0
145242,19800316,    0,    0
145242,19800317,    0,    0
145242,19800318,    0,    0
145242,19800319,    0,    0
145242,19800320,    0,    0
145242,19800321,    0,    0
145242,19800322,    1,    0
145242,19800323,    0,    0
145242,19800324,    0,    0
145242,19800325,    0,    0
