EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, VALTIMO KK (STAID: 7647).
Blended and updated with sources: 145452 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145452,19790101,    0,    0
145452,19790102,    0,    0
145452,19790103,    0,    0
145452,19790104,    0,    0
145452,19790105,    0,    0
145452,19790106,   22,    0
145452,19790107,   37,    0
145452,19790108,   12,    0
145452,19790109,    0,    0
145452,19790110,   29,    0
145452,19790111,    0,    0
145452,19790112,    0,    0
145452,19790113,   29,    0
145452,19790114,    0,    0
145452,19790115,    0,    0
145452,19790116,   22,    0
145452,19790117,    0,    0
145452,19790118,    0,    0
145452,19790119,    0,    0
145452,19790120,    0,    0
145452,19790121,    0,    0
145452,19790122,    2,    0
145452,19790123,    0,    0
145452,19790124,    0,    0
145452,19790125,   11,    0
145452,19790126,   82,    0
145452,19790127,   69,    0
145452,19790128,    0,    0
145452,19790129,    0,    0
145452,19790130,    0,    0
145452,19790131,    7,    0
145452,19790201,   15,    0
145452,19790202,   34,    0
145452,19790203,   60,    0
145452,19790204,    1,    0
145452,19790205,    0,    0
145452,19790206,    0,    0
145452,19790207,   22,    0
145452,19790208,   20,    0
145452,19790209,    0,    0
145452,19790210,    0,    0
145452,19790211,    0,    0
145452,19790212,    0,    0
145452,19790213,    0,    0
145452,19790214,    0,    0
145452,19790215,    0,    0
145452,19790216,    0,    0
145452,19790217,    0,    0
145452,19790218,    0,    0
145452,19790219,    0,    0
145452,19790220,   27,    0
145452,19790221,   15,    0
145452,19790222,    0,    0
145452,19790223,   11,    0
145452,19790224,   20,    0
145452,19790225,   52,    0
145452,19790226,    0,    0
145452,19790227,    0,    0
145452,19790228,   15,    0
145452,19790301,    5,    0
145452,19790302,   25,    0
145452,19790303,    0,    0
145452,19790304,    0,    0
145452,19790305,   10,    0
145452,19790306,    0,    0
145452,19790307,    0,    0
145452,19790308,   12,    0
145452,19790309,    0,    0
145452,19790310,    0,    0
