EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, SUOMUSSALMI HULKONNIEMI (STAID: 7705).
Blended and updated with sources: 145782 145787 145817 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145782,19790101,    0,    0
145782,19790102,    0,    0
145782,19790103,    1,    0
145782,19790104,    0,    0
145782,19790105,    0,    0
145782,19790106,    0,    0
145782,19790107,   34,    0
145782,19790108,   10,    0
145782,19790109,    3,    0
145782,19790110,    1,    0
145782,19790111,    4,    0
145782,19790112,    2,    0
145782,19790113,   18,    0
145782,19790114,   41,    0
145782,19790115,   11,    0
145782,19790116,    6,    0
145782,19790117,    7,    0
145782,19790118,    0,    0
145782,19790119,    0,    0
145782,19790120,    0,    0
145782,19790121,    4,    0
145782,19790122,    9,    0
145782,19790123,    3,    0
145782,19790124,    5,    0
145782,19790125,   23,    0
145782,19790126,   13,    0
145782,19790127,   45,    0
145782,19790128,    5,    0
145782,19790129,    1,    0
145782,19790130,    0,    0
145782,19790131,    0,    0
145782,19790201,    7,    0
145782,19790202,   52,    0
145782,19790203,   79,    0
145782,19790204,   20,    0
145782,19790205,   11,    0
145782,19790206,    3,    0
145782,19790207,   43,    0
145782,19790208,   55,    0
145782,19790209,   18,    0
145782,19790210,    7,    0
145782,19790211,    4,    0
145782,19790212,    1,    0
145782,19790213,    1,    0
145782,19790214,    0,    0
145782,19790215,    2,    0
145782,19790216,    1,    0
145782,19790217,    0,    0
145782,19790218,    0,    0
145782,19790219,    0,    0
145782,19790220,    6,    0
145782,19790221,    2,    0
145782,19790222,    1,    0
145782,19790223,    6,    0
145782,19790224,    3,    0
145782,19790225,   46,    0
145782,19790226,    5,    0
145782,19790227,    8,    0
145782,19790228,   32,    0
145782,19790301,   16,    0
145782,19790302,   26,    0
145782,19790303,   20,    0
145782,19790304,    0,    0
145782,19790305,    2,    0
145782,19790306,    3,    0
145782,19790307,    0,    0
145782,19790308,    2,    0
145782,19790309,   17,    0
145782,19790310,    2,    0
145782,19790311,    3,    0
145782,19790312,    7,    0
145782,19790313,    8,    0
145782,19790314,    4,    0
145782,19790315,    0,    0
145782,19790316,    0,    0
145782,19790317,    2,    0
145782,19790318,    0,    0
145782,19790319,   15,    0
145782,19790320,   36,    0
145782,19790321,   13,    0
145782,19790322,   39,    0
145782,19790323,   30,    0
145782,19790324,   46,    0
145782,19790325,   10,    0
145782,19790326,    0,    0
145782,19790327,    0,    0
145782,19790328,    0,    0
145782,19790329,    0,    0
145782,19790330,    0,    0
145782,19790331,    0,    0
145782,19790401,   20,    0
145782,19790402,   10,    0
145782,19790403,    0,    0
145782,19790404,    4,    0
145782,19790405,    0,    0
145782,19790406,    0,    0
145782,19790407,    0,    0
145782,19790408,    0,    0
145782,19790409,    1,    0
145782,19790410,    0,    0
145782,19790411,   22,    0
145782,19790412,   14,    0
145782,19790413,    0,    0
145782,19790414,    2,    0
145782,19790415,    0,    0
145782,19790416,    0,    0
145782,19790417,    0,    0
145782,19790418,    0,    0
145782,19790419,    0,    0
145782,19790420,    0,    0
145782,19790421,    0,    0
145782,19790422,    0,    0
145782,19790423,    0,    0
145782,19790424,    0,    0
145782,19790425,    0,    0
145782,19790426,  104,    0
145782,19790427,    1,    0
145782,19790428,   20,    0
145782,19790429,   11,    0
145782,19790430,   32,    0
145782,19790501,    2,    0
145782,19790502,    0,    0
145782,19790503,    6,    0
145782,19790504,   19,    0
145782,19790505,   20,    0
