EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, SUOMUSSALMI NALJANKA (STAID: 7708).
Blended and updated with sources: 145772 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
145772,19790101,    0,    0
145772,19790102,    2,    0
145772,19790103,    2,    0
145772,19790104,    0,    0
145772,19790105,    0,    0
145772,19790106,    0,    0
145772,19790107,   51,    0
145772,19790108,   22,    0
145772,19790109,    4,    0
145772,19790110,    1,    0
145772,19790111,    1,    0
145772,19790112,    3,    0
145772,19790113,   25,    0
145772,19790114,   40,    0
145772,19790115,    4,    0
145772,19790116,   10,    0
145772,19790117,    9,    0
145772,19790118,    1,    0
145772,19790119,    7,    0
145772,19790120,    0,    0
145772,19790121,    8,    0
145772,19790122,    7,    0
145772,19790123,    3,    0
145772,19790124,    3,    0
145772,19790125,   11,    0
145772,19790126,   14,    0
145772,19790127,   30,    0
145772,19790128,    3,    0
145772,19790129,    0,    0
145772,19790130,    0,    0
145772,19790131,    0,    0
145772,19790201,    3,    0
145772,19790202,   30,    0
145772,19790203,   32,    0
145772,19790204,   13,    0
145772,19790205,    6,    0
145772,19790206,    1,    0
145772,19790207,   24,    0
145772,19790208,   54,    0
145772,19790209,   15,    0
145772,19790210,    4,    0
145772,19790211,    2,    0
145772,19790212,    0,    0
145772,19790213,    0,    0
145772,19790214,    1,    0
145772,19790215,    1,    0
145772,19790216,    1,    0
145772,19790217,    1,    0
145772,19790218,    0,    0
145772,19790219,    0,    0
145772,19790220,    7,    0
145772,19790221,    2,    0
145772,19790222,    5,    0
145772,19790223,    8,    0
145772,19790224,    2,    0
145772,19790225,   45,    0
145772,19790226,    8,    0
145772,19790227,   12,    0
145772,19790228,   42,    0
145772,19790301,   22,    0
145772,19790302,   17,    0
145772,19790303,   51,    0
145772,19790304,    1,    0
145772,19790305,    0,    0
145772,19790306,    0,    0
145772,19790307,    0,    0
145772,19790308,    7,    0
145772,19790309,    8,    0
145772,19790310,    2,    0
145772,19790311,    2,    0
145772,19790312,    1,    0
145772,19790313,   12,    0
145772,19790314,    4,    0
145772,19790315,    0,    0
145772,19790316,    0,    0
145772,19790317,    2,    0
145772,19790318,    0,    0
145772,19790319,   16,    0
145772,19790320,   92,    0
145772,19790321,   27,    0
145772,19790322,   39,    0
145772,19790323,   33,    0
145772,19790324,   53,    0
145772,19790325,    7,    0
145772,19790326,    0,    0
145772,19790327,    0,    0
145772,19790328,    2,    0
145772,19790329,    0,    0
145772,19790330,    0,    0
145772,19790331,    0,    0
145772,19790401,    8,    0
145772,19790402,    2,    0
145772,19790403,    7,    0
145772,19790404,    0,    0
145772,19790405,    0,    0
145772,19790406,    0,    0
145772,19790407,    0,    0
145772,19790408,    0,    0
145772,19790409,    0,    0
145772,19790410,    0,    0
145772,19790411,   30,    0
145772,19790412,    7,    0
145772,19790413,    1,    0
145772,19790414,   21,    0
145772,19790415,    0,    0
145772,19790416,    0,    0
145772,19790417,    0,    0
145772,19790418,    0,    0
145772,19790419,    0,    0
145772,19790420,    0,    0
145772,19790421,    0,    0
145772,19790422,    0,    0
145772,19790423,    0,    0
145772,19790424,    0,    0
145772,19790425,    0,    0
145772,19790426,  149,    0
145772,19790427,    2,    0
145772,19790428,   32,    0
145772,19790429,   55,    0
145772,19790430,   62,    0
145772,19790501,    3,    0
145772,19790502,    1,    0
145772,19790503,    9,    0
145772,19790504,    8,    0
145772,19790505,   44,    0
145772,19790506,    0,    0
145772,19790507,  109,    0
145772,19790508,   13,    0
145772,19790509,   12,    0
145772,19790510,   45,    0
145772,19790511,  107,    0
145772,19790512,    0,    0
145772,19790513,   29,    0
145772,19790514,   13,    0
145772,19790515,    4,    0
145772,19790516,    0,    0
145772,19790517,    6,    0
145772,19790518,   12,    0
145772,19790519,    8,    0
145772,19790520,   84,    0
145772,19790521,    4,    0
145772,19790522,    6,    0
145772,19790523,    0,    0
145772,19790524,    0,    0
145772,19790525,    0,    0
145772,19790526,   10,    0
145772,19790527,    3,    0
145772,19790528,    2,    0
145772,19790529,   81,    0
145772,19790530,  111,    0
145772,19790531,    0,    0
145772,19790601,    0,    0
145772,19790602,   25,    0
145772,19790603,    0,    0
145772,19790604,    0,    0
145772,19790605,    0,    0
145772,19790606,    0,    0
145772,19790607,   39,    0
145772,19790608,   23,    0
145772,19790609,   80,    0
145772,19790610,    0,    0
145772,19790611,   18,    0
145772,19790612,    0,    0
145772,19790613,    0,    0
145772,19790614,   70,    0
145772,19790615,   19,    0
145772,19790616,   60,    0
145772,19790617,    0,    0
145772,19790618,  120,    0
145772,19790619,    0,    0
145772,19790620,    0,    0
145772,19790621,    1,    0
145772,19790622,   13,    0
145772,19790623,    0,    0
145772,19790624,    1,    0
145772,19790625,  325,    0
145772,19790626,   11,    0
145772,19790627,    1,    0
145772,19790628,   50,    0
145772,19790629,   80,    0
145772,19790630,  174,    0
145772,19790701,    1,    0
145772,19790702,    0,    0
145772,19790703,    0,    0
145772,19790704,   83,    0
145772,19790705,   62,    0
145772,19790706,    4,    0
145772,19790707,    1,    0
145772,19790708,    0,    0
145772,19790709,    0,    0
145772,19790710,    0,    0
145772,19790711,   49,    0
145772,19790712,   24,    0
145772,19790713,    7,    0
145772,19790714,    0,    0
145772,19790715,    0,    0
145772,19790716,   16,    0
145772,19790717,    0,    0
145772,19790718,    4,    0
145772,19790719,   33,    0
145772,19790720,   30,    0
145772,19790721,   44,    0
145772,19790722,   28,    0
145772,19790723,    5,    0
145772,19790724,    4,    0
145772,19790725,    0,    0
145772,19790726,   12,    0
145772,19790727,    0,    0
145772,19790728,   60,    0
145772,19790729,    4,    0
145772,19790730,   24,    0
145772,19790731,  177,    0
145772,19790801,  160,    0
145772,19790802,  115,    0
145772,19790803,   17,    0
145772,19790804,   71,    0
145772,19790805,    0,    0
145772,19790806,    0,    0
145772,19790807,    0,    0
145772,19790808,    0,    0
145772,19790809,    0,    0
145772,19790810,    0,    0
145772,19790811,    6,    0
145772,19790812,    0,    0
145772,19790813,    0,    0
145772,19790814,    0,    0
145772,19790815,    0,    0
145772,19790816,    0,    0
145772,19790817,    0,    0
145772,19790818,    0,    0
145772,19790819,    0,    0
145772,19790820,   99,    0
145772,19790821,  279,    0
145772,19790822,   67,    0
145772,19790823,    7,    0
145772,19790824,   33,    0
145772,19790825,    0,    0
145772,19790826,   88,    0
145772,19790827,   34,    0
145772,19790828,    0,    0
145772,19790829,    0,    0
145772,19790830,   58,    0
145772,19790831,    1,    0
145772,19790901,   15,    0
145772,19790902,    0,    0
145772,19790903,    0,    0
145772,19790904,  174,    0
145772,19790905,    6,    0
145772,19790906,    0,    0
145772,19790907,    0,    0
145772,19790908,    0,    0
145772,19790909,    3,    0
145772,19790910,   44,    0
145772,19790911,   70,    0
145772,19790912,   51,    0
145772,19790913,   47,    0
145772,19790914,   71,    0
145772,19790915,   55,    0
145772,19790916,    3,    0
145772,19790917,   78,    0
145772,19790918,   17,    0
145772,19790919,   86,    0
145772,19790920,    0,    0
145772,19790921,  100,    0
145772,19790922,   35,    0
145772,19790923,    0,    0
145772,19790924,    6,    0
145772,19790925,    0,    0
145772,19790926,   32,    0
145772,19790927,    0,    0
145772,19790928,    0,    0
145772,19790929,    0,    0
145772,19790930,    4,    0
145772,19791001,    2,    0
145772,19791002,    0,    0
145772,19791003,   36,    0
145772,19791004,    0,    0
145772,19791005,    0,    0
145772,19791006,    3,    0
145772,19791007,   15,    0
145772,19791008,   24,    0
145772,19791009,   84,    0
145772,19791010,   48,    0
145772,19791011,   27,    0
145772,19791012,    8,    0
145772,19791013,    0,    0
145772,19791014,   23,    0
145772,19791015,   34,    0
145772,19791016,   69,    0
145772,19791017,    4,    0
145772,19791018,    0,    0
145772,19791019,   42,    0
145772,19791020,   33,    0
145772,19791021,    7,    0
145772,19791022,   31,    0
145772,19791023,    0,    0
145772,19791024,    2,    0
145772,19791025,    0,    0
145772,19791026,    0,    0
145772,19791027,    0,    0
145772,19791028,    0,    0
145772,19791029,    1,    0
145772,19791030,    2,    0
145772,19791031,    0,    0
145772,19791101,    1,    0
145772,19791102,    1,    0
145772,19791103,    3,    0
145772,19791104,   75,    0
145772,19791105,   21,    0
145772,19791106,    9,    0
145772,19791107,   17,    0
145772,19791108,   62,    0
145772,19791109,   13,    0
145772,19791110,    2,    0
145772,19791111,    3,    0
145772,19791112,   26,    0
145772,19791113,   31,    0
145772,19791114,   21,    0
145772,19791115,   30,    0
145772,19791116,    6,    0
145772,19791117,   18,    0
145772,19791118,    0,    0
145772,19791119,   34,    0
145772,19791120,    9,    0
145772,19791121,    0,    0
145772,19791122,   50,    0
145772,19791123,   54,    0
145772,19791124,   12,    0
145772,19791125,    7,    0
145772,19791126,    1,    0
145772,19791127,    0,    0
145772,19791128,    2,    0
145772,19791129,    2,    0
145772,19791130,    5,    0
