EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, KITTILA POKKA (STAID: 7850).
Blended and updated with sources: 146508 902717 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
146508,19790101,    0,    0
146508,19790102,    1,    0
146508,19790103,    0,    0
146508,19790104,    0,    0
146508,19790105,    2,    0
146508,19790106,    6,    0
146508,19790107,   16,    0
146508,19790108,   48,    0
146508,19790109,    0,    0
146508,19790110,    5,    0
146508,19790111,    5,    0
146508,19790112,    3,    0
146508,19790113,   85,    0
146508,19790114,    6,    0
146508,19790115,    0,    0
146508,19790116,    3,    0
146508,19790117,   20,    0
146508,19790118,    0,    0
146508,19790119,    0,    0
146508,19790120,    0,    0
146508,19790121,    1,    0
146508,19790122,    0,    0
146508,19790123,   23,    0
146508,19790124,    7,    0
146508,19790125,    6,    0
146508,19790126,    3,    0
146508,19790127,    1,    0
146508,19790128,    0,    0
146508,19790129,    0,    0
146508,19790130,    0,    0
146508,19790131,    5,    0
146508,19790201,    1,    0
146508,19790202,   15,    0
146508,19790203,   23,    0
146508,19790204,   20,    0
146508,19790205,    6,    0
146508,19790206,    4,    0
146508,19790207,   18,    0
146508,19790208,   13,    0
146508,19790209,    9,    0
146508,19790210,   10,    0
146508,19790211,    0,    0
146508,19790212,    0,    0
146508,19790213,    0,    0
146508,19790214,    0,    0
146508,19790215,    0,    0
146508,19790216,    0,    0
146508,19790217,    0,    0
146508,19790218,    0,    0
146508,19790219,    1,    0
146508,19790220,    0,    0
146508,19790221,    0,    0
