EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINLAND, ENONTEKIO NAKKALA (STAID: 7875).
Blended and updated with sources: 146633 146638 902726 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
146638,19790101,    0,    0
146638,19790102,    0,    0
146638,19790103,    0,    0
146638,19790104,    0,    0
146638,19790105,    5,    0
146638,19790106,    5,    0
146638,19790107,   27,    0
146638,19790108,   11,    0
146638,19790109,    0,    0
146638,19790110,    9,    0
146638,19790111,    2,    0
146638,19790112,    4,    0
146638,19790113,   28,    0
146638,19790114,    6,    0
146638,19790115,    0,    0
146638,19790116,    8,    0
146638,19790117,   11,    0
146638,19790118,    0,    0
146638,19790119,    1,    0
146638,19790120,    0,    0
146638,19790121,    0,    0
146638,19790122,    5,    0
146638,19790123,   28,    0
146638,19790124,   21,    0
146638,19790125,    4,    0
146638,19790126,    0,    0
146638,19790127,    6,    0
146638,19790128,    0,    0
146638,19790129,    0,    0
146638,19790130,    0,    0
146638,19790131,    0,    0
146638,19790201,   10,    0
146638,19790202,    6,    0
146638,19790203,   30,    0
146638,19790204,   19,    0
146638,19790205,    9,    0
146638,19790206,   37,    0
146638,19790207,   14,    0
146638,19790208,    4,    0
146638,19790209,    0,    0
146638,19790210,   12,    0
146638,19790211,    0,    0
146638,19790212,    0,    0
146638,19790213,    0,    0
146638,19790214,    4,    0
146638,19790215,    0,    0
146638,19790216,    0,    0
146638,19790217,    0,    0
146638,19790218,    0,    0
146638,19790219,    0,    0
146638,19790220,    3,    0
146638,19790221,   10,    0
146638,19790222,    1,    0
146638,19790223,   33,    0
146638,19790224,   20,    0
146638,19790225,   44,    0
146638,19790226,    8,    0
146638,19790227,    0,    0
146638,19790228,   20,    0
146638,19790301,    1,    0
146638,19790302,    0,    0
146638,19790303,    3,    0
146638,19790304,    0,    0
146638,19790305,   29,    0
146638,19790306,   29,    0
146638,19790307,    6,    0
146638,19790308,    3,    0
146638,19790309,   38,    0
146638,19790310,    1,    0
146638,19790311,    8,    0
146638,19790312,    8,    0
146638,19790313,    2,    0
146638,19790314,    0,    0
146638,19790315,    0,    0
146638,19790316,    0,    0
146638,19790317,    2,    0
146638,19790318,    0,    0
146638,19790319,    0,    0
146638,19790320,    0,    0
146638,19790321,    0,    0
146638,19790322,   13,    0
146638,19790323,    5,    0
146638,19790324,   22,    0
146638,19790325,   30,    0
146638,19790326,    9,    0
146638,19790327,    0,    0
146638,19790328,    0,    0
146638,19790329,    0,    0
146638,19790330,    0,    0
146638,19790331,    0,    0
146638,19790401,    0,    0
146638,19790402,    0,    0
146638,19790403,    1,    0
146638,19790404,   11,    0
146638,19790405,    0,    0
146638,19790406,    6,    0
146638,19790407,   16,    0
146638,19790408,    9,    0
146638,19790409,    0,    0
146638,19790410,    3,    0
146638,19790411,   37,    0
146638,19790412,    4,    0
146638,19790413,    2,    0
146638,19790414,   10,    0
146638,19790415,    0,    0
146638,19790416,    0,    0
146638,19790417,    0,    0
146638,19790418,    0,    0
146638,19790419,    0,    0
146638,19790420,    0,    0
146638,19790421,    0,    0
146638,19790422,    0,    0
146638,19790423,    0,    0
146638,19790424,    0,    0
146638,19790425,    0,    0
146638,19790426,    0,    0
146638,19790427,    4,    0
146638,19790428,   15,    0
146638,19790429,   32,    0
146638,19790430,   45,    0
146638,19790501,    3,    0
146638,19790502,    1,    0
146638,19790503,   17,    0
146638,19790504,    2,    0
146638,19790505,    1,    0
146638,19790506,    0,    0
146638,19790507,    0,    0
146638,19790508,    0,    0
146638,19790509,    1,    0
146638,19790510,    0,    0
146638,19790511,    0,    0
146638,19790512,   26,    0
146638,19790513,   31,    0
146638,19790514,    9,    0
146638,19790515,    0,    0
146638,19790516,    0,    0
146638,19790517,  152,    0
146638,19790518,   37,    0
146638,19790519,    0,    0
146638,19790520,    0,    0
146638,19790521,    4,    0
146638,19790522,   12,    0
146638,19790523,   15,    0
146638,19790524,   41,    0
146638,19790525,    9,    0
146638,19790526,    0,    0
146638,19790527,    4,    0
146638,19790528,  100,    0
146638,19790529,  137,    0
146638,19790530,    5,    0
146638,19790531,    0,    0
146638,19790601,   11,    0
146638,19790602,    6,    0
146638,19790603,    0,    0
146638,19790604,    0,    0
146638,19790605,    0,    0
146638,19790606,   26,    0
146638,19790607,   18,    0
146638,19790608,    0,    0
146638,19790609,    0,    0
146638,19790610,    4,    0
146638,19790611,    3,    0
146638,19790612,   11,    0
146638,19790613,    0,    0
146638,19790614,   11,    0
146638,19790615,   34,    0
146638,19790616,   65,    0
146638,19790617,   51,    0
146638,19790618,    0,    0
146638,19790619,    0,    0
146638,19790620,    1,    0
146638,19790621,    7,    0
146638,19790622,    0,    0
146638,19790623,  120,    0
146638,19790624,    2,    0
146638,19790625,   15,    0
146638,19790626,    1,    0
146638,19790627,    7,    0
146638,19790628,    8,    0
146638,19790629,   20,    0
146638,19790630,   50,    0
146638,19790701,   53,    0
146638,19790702,    1,    0
146638,19790703,    0,    0
146638,19790704,    0,    0
