EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

   28,100086,HELSINKI KAISANIEMI                     ,FI,+60:10:30,+024:56:52,   4, RR1,19510101,20211031,    9,Pauli Jokinen                                     
   28,117994,HELSINKI KAISANIEMI                     ,FI,+60:10:30,+024:56:52,   4, RR1,19510102,20011231,   50,GHCND                                             
   29,100090,JYVASKYLA LENTOASEMA                    ,FI,+62:24:08,+025:40:43, 139, RR1,19510101,20211031,    9,Pauli Jokinen                                     
   30,100094,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS  ,FI,+67:21:58,+026:37:59, 179, RR1,19080101,20211031,    9,Pauli Jokinen                                     
  339,140622,HAPARANDA_A                             ,SE,+65:49:12,+024:07:12,  16, RR9,20081101,20211031,   56,Marcus Flarup                                     
  339,140626,HAPARANDA                               ,SE,+65:49:38,+024:08:38,   5, RR9,18590716,20211031,   56,Marcus Flarup                                     
 5813,140712,OVERTORNEA                              ,SE,+66:22:48,+023:39:00,  70, RR9,19510101,20211031,   56,Marcus Flarup                                     
 5813,145847,YLITORNIO PORTIMOJARVI                  ,FI,+66:22:00,+023:55:00,  79, RR3,19590101,20020228,    9,Pauli Jokinen                                     
 6860,140754,SVANSTEIN                               ,SE,+66:39:00,+023:51:36,  80, RR9,19600901,20210930,   56,Marcus Flarup                                     
 6860,146142,PELLO TURTOLANKYLA                      ,FI,+66:35:00,+023:54:00,  70, RR3,19650101,20040612,    9,Pauli Jokinen                                     
 1409,140956,KARESUANDO                              ,SE,+68:26:32,+022:27:01, 330, RR9,18781015,20211031,   56,Marcus Flarup                                     
 1409,140958,KARESUANDO_A                            ,SE,+68:26:24,+022:27:00, 330, RR9,20081101,20211031,   56,Marcus Flarup                                     
 5873,140956,KARESUANDO                              ,SE,+68:26:32,+022:27:01, 330, RR9,18781015,20211031,   56,Marcus Flarup                                     
 5873,140958,KARESUANDO_A                            ,SE,+68:26:24,+022:27:00, 330, RR9,20081101,20211031,   56,Marcus Flarup                                     
